trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,2.629554641171433,1.21250262048173,None,419.43438799999785,None,420.6583079999982,None,420.6583079999982,None,420.66782182000026,None,['b'],420.6583079999982,None,None,,422.6528264000008,None,b,1.074110199999268,1,1,0.8947368421052632,425.2903688999977,None,None,425.2903688999977,None,[1.074110199999268],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
38,0,38,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.7500315165247198,1.18065738546375,None,427.1007944000012,None,428.3045259999999,None,428.3045259999999,None,428.30108694000006,None,['z'],428.3045259999999,None,None,,430.29972819999966,None,z,0.8308964999996533,1,1,0.8974358974358975,434.0503089999984,None,None,434.0503089999984,None,[0.8308964999996533],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
39,0,39,0,,,,,,,,,,3,2.0,3.0,b,63.0,0.0,3.35133458220192,1.53122835510861,None,435.8515542999994,None,437.40506639999876,None,437.40506639999876,None,437.4176355200005,None,['b'],437.40506639999876,None,None,,439.40672769999946,None,b,1.3092816999960633,1,0,0.9,442.75584159999926,None,None,442.75584159999926,None,[1.3092816999960633],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
40,0,40,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.517541937862754,2.15533949826702,None,444.567736099998,None,446.7193260999993,None,446.7193260999993,None,446.71658786000114,None,['z'],446.7193260999993,None,None,,448.7343910999989,None,z,1.641333499999746,1,1,0.9024390243902439,451.25758739999947,None,None,451.25758739999947,None,[1.641333499999746],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
41,0,41,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,2.92731383428727,3.24569326556923,None,453.06760679999934,None,456.32379579999906,None,456.32379579999906,None,456.33439212000013,None,['b'],456.32379579999906,None,None,,458.3161431000008,None,b,1.56244069999957,1,1,0.9047619047619048,461.24197509999794,None,None,461.24197509999794,None,[1.56244069999957],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
42,0,42,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.91303524001082,0.761758675042088,None,463.0531884999982,None,463.8216011000004,None,463.8216011000004,None,463.81762093999856,None,['z'],463.8216011000004,None,None,,465.8169693999989,None,z,0.9194229999993695,1,1,0.9069767441860465,468.74180129999877,None,None,468.74180129999877,None,[0.9194229999993695],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
43,0,43,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.7533305109883095,2.49839527409216,None,470.5512240999997,None,473.07154979999905,None,473.07154979999905,None,473.06769133999984,None,['b'],473.07154979999905,None,None,,475.05120850000094,None,b,1.9416856999996526,1,1,0.9090909090909091,479.8011676999995,None,None,479.8011676999995,None,[1.9416856999996526],,,,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,481.60136409999905,None,,,,,,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.6014202999977,None,None,486.6014202999977,None,,,,,,,,,,CBC_1016,003,4,1,0,15,0.95,2023-06-25_15h20.06.953,MSI_AV_v3,2022.1.1,59.95947938329022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 1, 3, 0]",1.0,0.8181818181818182,0.8181818181818182,1.0,,,,,,,,,,,,
