trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,180.4287572000003,None,t,73.81567149999955,180.4287572000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
,,,,,,,,,,None,254.27198510000017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
0,0,0,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.77723667052879,1.12425433982333,None,254.47257160000026,None,255.57254473999984,255.57254473999984,255.58924843999995,None,[],['b'],[0.5809717999991335],257.5850360000004,None,b,2.5809717999991335,1,1,1.0,None,262.3739187000001,None,262.3739187000001,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
1,0,1,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,2.82320408183943,3.33124983260532,None,264.1721816999998,None,267.4891200400005,267.4891200400005,267.5057882400004,None,[],['b'],[0.8846686999995654],269.4925680000006,None,b,2.8846686999995654,1,1,1.0,None,272.3202739999997,None,272.3202739999997,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
2,0,2,0,,,,,,,,,,0,1.0,2.0,z,9.0,1.0,4.11514536789087,1.78643585472448,None,274.1211613000005,None,275.8894697399999,275.8894697399999,275.90619274000056,None,[],['z'],[1.0569973999990907],277.89462660000027,None,z,3.0569973999990907,1,1,1.0,None,282.00909200000024,None,282.00909200000024,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
3,0,3,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,3.26539063535182,2.40378712856304,None,283.82272139999986,None,286.2057949400003,286.2057949400003,286.2222281399998,None,[],['z'],[0.8490037000001394],288.2122384000004,None,z,2.8490037000001394,1,1,1.0,None,291.4776207999994,None,291.4776207999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
4,0,4,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.792365600763554,1.95130344756745,None,293.28919270000097,None,295.22224374000035,295.22224374000035,295.2390582399992,None,[],['b'],[1.255539000000681],297.2229515000008,None,b,3.255539000000681,1,1,1.0,None,300.02666489999956,None,300.02666489999956,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
5,0,5,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.7134565917469198,1.27538462653558,None,301.83946729999934,None,303.0888508399992,303.0888508399992,303.1056598399999,None,[],['z'],[1.727998800000023],305.0951044000003,None,z,3.727998800000023,1,1,1.0,None,307.81906439999966,None,307.81906439999966,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
6,0,6,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,3.73326136168326,2.78346932462847,None,309.62129860000005,None,312.38909653999946,312.38909653999946,312.40564003999935,None,[],['z'],[0.7785293999995702],314.3947216000006,None,z,2.77852939999957,0,0,0.8571428571428571,None,318.12710199999947,None,318.12710199999947,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
7,0,7,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,3.7500315165247198,2.10421507306074,None,319.9393743999999,None,322.02247314000016,322.02247314000016,322.03901303999993,None,[],['z'],[1.4549464000001535],324.0292892000007,None,z,3.4549464000001535,1,1,0.875,None,327.7954990999997,None,327.7954990999997,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
8,0,8,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,4.46924002178158,1.36309078069689,None,329.60586520000015,None,330.9397188400006,330.9397188400006,330.95597204000006,None,[],None,,332.9451400000007,None,None,[],0,3,0.7777777777777778,None,337.41761619999943,None,337.41761619999943,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
9,0,9,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.91303524001082,1.53243550275999,None,339.22248839999975,None,340.73977473999986,340.73977473999986,340.7561966399997,None,[],None,,342.74217840000074,None,None,[],0,3,0.7,None,345.6443812999996,"['z', 'z']",345.6443812999996,None,"[0.15392189999965922, 1.2347505999996429]",,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
10,0,10,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,2.592312596923728,3.1424449555106,"['z', 'z', 'z']",347.45565290000104,None,350.5725139400009,350.5725139400009,350.5887986400001,z,"['z', 'z', 'z']",None,,352.61518569999953,None,z,0.36893359999976383,1,1,0.7272727272727273,None,355.20224710000093,None,355.20224710000093,None,,"[0.08898459999818442, 0.36441499999909865, 0.9397371999993993]",0.36893359999976383,"[0.36893359999976383, 1.2468357999996442, 1.9356830000006084]",,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
11,0,11,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,3.35133458220192,0.917519910446003,None,357.0058134000001,None,357.90655643999963,357.90655643999963,357.92304543999927,None,[],None,,359.90984300000036,None,None,[],0,3,0.6666666666666666,None,363.26530940000066,"['z', 'b']",363.26530940000066,None,"[0.8010268000007272, 1.047917900000357]",,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
12,0,12,0,,,,,,,,,,0,3.0,2.0,z,63.0,1.0,2.526044641065533,1.96568735158996,"['z', 'b', 'b', 'z']",365.0725900999996,None,367.0224894400006,367.0224894400006,367.0390948400007,z,"['z', 'b']",None,,369.06404759999987,None,z,0.027081899998847803,1,1,0.6923076923076923,None,371.5853309999993,None,371.5853309999993,None,,"[0.2505279999995764, 0.25539409999964846, 0.9893254000007801, 1.0774644000002809]",0.027081899998847803,"[0.027081899998847803, 0.3850281000004543]",,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
13,0,13,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,2.693348633324513,3.06992456303453,None,373.3892679999999,None,376.43943334000033,376.43943334000033,376.4560915400005,None,[],['z'],[0.6098728999995728],378.44426010000006,None,z,2.609872899999573,0,0,0.6428571428571429,None,381.14790020000055,None,381.14790020000055,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
14,0,14,0,,,,,,,,,,3,0.0,3.0,b,9.0,1.0,3.02234236141277,1.43470440954152,None,382.9562126999999,None,384.37255753999926,384.37255753999926,384.3893042400003,None,[],"['b', 'z']","[2.6378455999993093, 2.6819562999999107]",386.37920510000095,None,b,4.637845599999309,1,1,0.6666666666666666,None,389.40572859999975,None,389.40572859999975,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
15,0,15,0,,,,,,,,,,1,0.0,1.0,z,63.0,0.0,3.71372710086949,2.15533949826702,None,391.20598879999943,None,393.3393556399995,393.3393556399995,393.35613233999976,None,[],"['b', 'z']","[1.5273583999996845, 1.6327056000000084]",395.34471960000064,None,b,3.5273583999996845,0,1,0.625,None,399.0641332999994,None,399.0641332999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
16,0,16,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.2759877950103027,0.979776149765883,None,400.8726539999998,None,401.8392681400008,401.8392681400008,401.8563787400006,None,[],['b'],[2.181444400000146],403.8461610000004,None,b,4.181444400000146,0,0,0.5882352941176471,None,406.1336007,None,406.1336007,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
17,0,17,0,,,,,,,,,,0,0.0,2.0,z,27.0,1.0,3.3728785608729996,0.761758675042088,None,407.93963189999977,None,408.68945004000017,408.68945004000017,408.7062141400009,None,[],['z'],[0.5847119999989445],410.69550249999975,None,z,2.5847119999989445,1,1,0.6111111111111112,None,414.0738044,None,414.0738044,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
18,0,18,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.76873691643126,1.38289892513751,None,415.8728951000003,None,417.23933973999993,417.23933973999993,417.25625803999975,None,[],['b'],[3.6961180000007516],419.2449153999996,None,b,5.696118000000752,1,1,0.631578947368421,None,423.0522568000006,None,423.0522568000006,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
19,0,19,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.01714354611405,3.4543169006169,None,424.8565367000001,None,428.2896552400005,428.2896552400005,428.3062893400009,None,[],['z'],[1.1346741999996084],430.2952532999998,None,z,3.1346741999996084,0,0,0.6,None,434.32529820000036,None,434.32529820000036,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
20,0,20,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,2.517541937862754,1.1243895841892,None,436.1397286000001,None,437.2398112399995,437.2398112399995,437.25604043999994,None,[],None,,439.24289410000074,None,None,[],0,3,0.5714285714285714,None,441.76717349999944,None,441.76717349999944,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1115,003,2,2,3,20,0.95,2024-08-06_16h02.16.693,MSI_TV_v3,2022.1.1,60.01684072546641,
