trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,36.87729000000036,None,t,76.76681800000006,36.87729000000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
,,,,,,,,,,None,113.67590480000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
0,0,0,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,1.6718976049999998,0.977134615,None,113.87564580000071,None,114.96503080000002,None,114.96503080000002,None,114.9746825000002,None,['z'],[1.6612673999989056],114.96503080000002,None,None,116.83788350000032,None,z,1.6612673999989056,0,0,0.0,118.53061479999997,None,None,118.53061479999997,None,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
1,0,1,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.044827724,2.648704933,None,120.52575129999968,None,123.22800939999979,None,123.22800939999979,None,123.22568454999964,None,None,,123.22800939999979,None,['b'],125.17515009999988,None,b,3.0394233999995777,1,1,0.5,128.2118803000012,None,None,128.2118803000012,None,[1.0394233999995777],,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,2.67601813,1.313600181,None,130.2249451000007,None,131.5939312999999,None,131.5939312999999,None,131.59260054000006,None,['z'],[1.821825799999715],131.5939312999999,None,None,133.54594429999997,None,z,1.821825799999715,1,1,0.6666666666666666,136.23041639999974,None,None,136.23041639999974,None,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
3,0,3,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,1.109698721,2.297139377,None,138.24225320000005,None,140.54192930000136,None,140.54192930000136,None,140.54157328000002,None,['z'],[1.936289900000702],140.54192930000136,None,None,142.541790700001,None,z,1.936289900000702,1,1,0.75,143.6462389999997,None,None,143.6462389999997,None,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
4,0,4,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,3.884449499,1.732943574,None,145.65800000000127,None,147.4538134000013,None,147.4538134000013,None,147.4591672300001,None,['b'],[1.6795431999998982],147.4538134000013,None,None,149.3948902000011,None,b,1.6795431999998982,1,1,0.8,153.2750176999998,None,None,153.2750176999998,None,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
5,0,5,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,1.887650177,2.407383959,None,155.27559629999996,None,157.69919320000008,None,157.69919320000008,None,157.70929766000117,None,['z'],[1.4193496000007144],157.69919320000008,None,None,159.69641159999992,None,z,1.4193496000007144,1,1,0.8333333333333334,161.59977320000144,None,None,161.59977320000144,None,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,1.595506577,3.264468617,None,163.6081578000012,None,166.87747889999991,None,166.87747889999991,None,166.8755552699997,None,['b'],[1.806703500000367],166.87747889999991,None,None,168.8773172000001,None,b,1.806703500000367,1,1,0.8571428571428571,170.4825450999997,None,None,170.4825450999997,None,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
7,0,7,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,1.874984683,2.684881281,None,172.49250519999987,None,175.19542379999984,None,175.19542379999984,None,175.19249847000103,None,None,,175.19542379999984,None,['z'],177.1801561000011,None,z,2.339813000000504,1,1,0.875,179.03931980000016,None,None,179.03931980000016,None,[0.33981300000050396],,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
8,0,8,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,1.219965572,3.274187802,None,181.0424354000006,None,184.33230550000007,None,184.33230550000007,None,184.3424771599999,None,['b'],[1.4915861999998015],184.33230550000007,None,None,186.3107125000006,None,b,1.4915861999998015,1,1,0.8888888888888888,187.5496449000002,None,None,187.5496449000002,None,,,,,,,,,,,,,,,,,,,CBC_1007,005,4,2,3,4,0.9,2023-06-21_16h24.09.852,MSI_AV_v3,2022.1.1,59.865577831591835,
