trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
22,0,22,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,3.622505815,1.483424551,None,305.9674792000005,None,307.4723850999999,None,307.4723850999999,None,307.46827089999897,None,None,,307.4723850999999,None,['z'],309.45194789999914,None,z,2.6624797000004037,0,0,0.5217391304347826,313.0538438000003,None,None,313.0538438000003,None,[0.6624797000004037],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
23,0,23,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,1.556335756,2.108332021,None,315.06847369999923,None,317.1886744000003,None,317.1886744000003,None,317.2014564000001,None,None,,317.1886744000003,None,['b'],319.16779680000036,None,b,2.0961545999998634,0,0,0.5,320.70789689999947,None,None,320.70789689999947,None,[0.09615459999986342],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
24,0,24,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,1.219965572,3.388090306,None,322.7186294000003,None,326.12350719999995,None,326.12350719999995,None,326.13493649999873,None,None,,326.12350719999995,None,['z'],328.10249769999973,None,z,2.6287984999999026,0,0,0.48,329.3102323999992,None,None,329.3102323999992,None,[0.6287984999999026],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
25,0,25,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.917714675,1.915207301,None,331.3183848999997,None,333.25594009999986,None,333.25594009999986,None,333.26832269999977,None,None,,333.25594009999986,None,['z'],335.2349200999997,None,z,2.2694143999997323,0,0,0.46153846153846156,338.1438978999995,None,None,338.1438978999995,None,[0.26941439999973227],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
26,0,26,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,1.6718976049999998,1.086048241,None,340.1518510999995,None,341.2562913999991,None,341.2562913999991,None,341.2682759999989,None,None,,341.2562913999991,None,['b'],343.2352202999991,None,b,2.324899199998981,0,0,0.4444444444444444,344.8976053000006,None,None,344.8976053000006,None,[0.3248991999989812],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
27,0,27,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,3.884449499,1.448890429,None,346.9010053999991,None,348.3562825000008,None,348.3562825000008,None,348.3689101,None,None,,348.3562825000008,None,['b'],350.3352453000007,None,b,2.418562299999394,0,0,0.42857142857142855,354.206979999999,None,None,354.206979999999,None,[0.41856229999939387],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
28,0,28,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,1.887650177,2.071213329,None,356.2186731999991,None,358.3060119999991,None,358.3060119999991,None,358.3184786999991,None,None,,358.3060119999991,None,['z'],360.28540880000037,None,z,2.535211899999922,0,0,0.41379310344827586,362.15336989999923,None,None,362.15336989999923,None,[0.535211899999922],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
29,0,29,0,,,,,,,,,,2,1.0,2.0,z,9.0,1.0,2.518459073,2.495793893,None,364.1687187999996,None,366.6803017000002,None,366.6803017000002,None,366.6850728999998,None,None,,366.6803017000002,None,None,368.6521954,None,[],[],0,3,0.4,371.17479189999904,None,None,371.17479189999904,None,,,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
30,0,30,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,2.278602942,2.648704933,None,373.1686140999991,None,375.8397784000008,None,375.8397784000008,None,375.8519974999999,None,None,,375.8397784000008,None,['b'],377.81777599999987,None,b,2.0753041000007215,0,0,0.3870967741935484,380.0737405,None,None,380.0737405,None,[0.07530410000072152],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
31,0,31,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.044827724,3.321420384,None,382.0853435000008,None,385.40482229999907,None,385.40482229999907,None,385.40108619999955,None,None,,385.40482229999907,None,['b'],387.3853708000006,None,b,3.035990299998957,1,1,0.40625,390.4287227999994,None,None,390.4287227999994,None,[1.0359902999989572],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
