trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,249.41173590000108,None,t,68.6001950000009,249.41173590000108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
,,,,,,,,,,None,318.0407372999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
0,0,0,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.72585056748869,2.49839527409216,None,318.2407005999994,None,320.94718450000073,None,320.94718450000073,None,320.94021942,None,None,320.94718450000073,None,['b'],[0.7892482000006567],322.74041380000017,None,b,2.7892482000006567,0,0,0.0,327.4785451000007,None,None,327.4785451000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
1,0,1,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.52047235037039,1.38289892513751,None,329.27345570000034,None,330.75017339999977,None,330.75017339999977,None,330.75702783999947,None,None,330.75017339999977,None,['z'],[0.6160562999993999],332.6569693000001,None,z,2.6160562999994,0,0,0.0,337.1680913,None,None,337.1680913,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
2,0,2,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,4.77034425507967,0.917519910446003,None,338.9739172999998,None,339.9112686999997,None,339.9112686999997,None,339.9238318199994,None,None,339.9112686999997,None,['z'],[0.8884859000008873],341.8905689000003,None,z,2.8884859000008873,1,1,0.3333333333333333,346.64072269999997,None,None,346.64072269999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
3,0,3,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.35133458220192,3.1963008326951,None,348.4401787000006,None,351.6772125999996,None,351.6772125999996,None,351.67376761999986,None,None,351.6772125999996,None,['z'],[0.42363359999944805],353.6404273999997,None,z,2.423633599999448,1,1,0.5,356.98181359999944,None,None,356.98181359999944,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
4,0,4,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,4.61004669244928,1.94858485820231,None,358.7904787000007,None,360.76153890000023,None,360.76153890000023,None,360.7571649899997,None,None,360.76153890000023,None,['b'],[0.1287707000010414],362.74034609999944,None,b,2.1287707000010414,1,1,0.6,367.3333803000005,None,None,367.3333803000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
5,0,5,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,2.294664843639333,3.24569326556923,None,369.1406960000004,None,372.41290280000067,None,372.41290280000067,None,372.42356232000094,None,None,372.41290280000067,None,['b'],[1.6826340000006894],374.3903721000006,None,b,3.6826340000006894,1,1,0.6666666666666666,376.6727456999997,None,None,376.6727456999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
6,0,6,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,3.71372710086949,2.6299100644723,None,378.4743477000011,None,381.17427169999974,None,381.17427169999974,None,381.1738123799998,None,None,381.17427169999974,None,['z'],[0.6992275000011432],383.10735829999976,None,z,2.699227500001143,1,1,0.7142857142857143,386.8063989000002,None,None,386.8063989000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
7,0,7,0,,,,,,,,,,1,2.0,1.0,b,9.0,1.0,2.526044641065533,2.15533949826702,None,388.6069528000007,None,390.7795139000009,None,390.7795139000009,None,390.7901806199996,None,None,390.7795139000009,None,['b'],[0.6287447000013344],392.7571695000006,None,b,2.6287447000013344,1,1,0.75,395.26408470000024,None,None,395.26408470000024,None,,,,,,,,,,,,,,,,,,,,,,CBC_1011,003,3,2,2,12,0.95,2024-03-20_15h53.25.911,MSI_AV_v3,2022.1.1,60.011690276988105,
