trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,3.6438386551209,3.06992456303453,None,353.39195519999885,None,356.44187045999826,356.44187045999826,356.4586588599985,None,[],['z'],358.4480341999988,None,z,2.440912900001422,1,1,0.8214285714285714,None,362.1016485,None,362.1016485,None,[0.4409129000014218],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
28,0,28,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,3.26539063535182,2.40378712856304,None,363.90893869999854,None,366.2919034599989,366.2919034599989,366.3085329599988,None,[],['z'],368.29596259999926,None,z,2.6466771000032168,0,0,0.7931034482758621,None,371.5613064999998,None,371.5613064999998,None,[0.6466771000032168],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
29,0,29,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.294664843639333,1.12425433982333,None,373.3754242999985,None,374.4757715599997,374.4757715599997,374.49201585999873,None,[],['z'],376.47885809999934,None,z,2.9537074000018038,1,1,0.8,None,378.7828370999996,None,378.7828370999996,None,[0.9537074000018038],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
30,0,30,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,4.77034425507967,0.917519910446003,None,380.5911228999994,None,381.49193625999834,381.49193625999834,381.50857005999825,None,[],['b'],383.4965024999983,None,b,2.313042300002053,1,1,0.8064516129032258,None,388.2687423999996,None,388.2687423999996,None,[0.3130423000020528],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
31,0,31,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,3.3728785608729996,2.22427187882546,None,390.0754492999986,None,392.27585765999976,392.27585765999976,392.29196455999846,None,[],['z'],394.2811210999989,None,z,2.5223741000008886,0,0,0.78125,None,397.6512473999992,None,397.6512473999992,None,[0.5223741000008886],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
32,0,32,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,4.11514536789087,1.36309078069689,None,399.45930209999824,None,400.80799685999847,400.80799685999847,400.82484085999823,None,[],['z'],402.80490499999905,None,z,2.5287896000027104,1,1,0.7878787878787878,None,406.9112544999989,None,406.9112544999989,None,[0.5287896000027104],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
33,0,33,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.76873691643126,1.18065738546375,None,408.72451179999916,None,409.8755778599996,409.8755778599996,409.8922990599993,None,[],['b'],411.8814188999986,None,b,2.632060800002364,1,1,0.7941176470588235,None,415.6511052999995,None,415.6511052999995,None,[0.632060800002364],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
34,0,34,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.77723667052879,1.34668860557497,None,417.45932699999867,None,418.7917124599997,418.7917124599997,418.8080925599996,None,[],['b'],420.7892478999984,None,b,2.7796356000017113,1,1,0.8,None,425.5669048999989,None,425.5669048999989,None,[0.7796356000017113],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
35,0,35,0,,,,,,,,,,2,1.0,2.0,z,9.0,1.0,2.91303524001082,0.974903167432984,None,427.37559469999906,None,428.32542775999974,428.32542775999974,428.34205396,None,[],['b'],430.33003479999934,None,b,2.467293500001688,0,0,0.7777777777777778,None,433.24768849999964,None,433.24768849999964,None,[0.4672935000016878],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
36,0,36,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,4.53337421950507,3.24569326556923,None,435.0591670999984,None,438.2758926599989,438.2758926599989,438.2919834599987,None,[],['z'],440.27994089999993,None,z,3.1974522000018624,1,1,0.7837837837837838,None,444.80965059999835,None,444.80965059999835,None,[1.1974522000018624],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
37,0,37,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,2.7134565917469198,1.38289892513751,None,446.60889789999965,None,447.9758016599997,447.9758016599997,447.99250335999824,None,[],['b'],449.9816484999992,None,b,2.5230603000018164,1,1,0.7894736842105263,None,452.69152069999836,None,452.69152069999836,None,[0.5230603000018164],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
38,0,38,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,2.342239579230602,1.1243895841892,None,454.49119809999866,None,455.59211705999843,455.59211705999843,455.60875015999846,None,[],['b'],457.5971467999989,None,b,2.6384152000009635,0,0,0.7692307692307693,None,459.9399942,None,459.9399942,None,[0.6384152000009635],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
39,0,39,0,,,,,,,,,,2,2.0,3.0,b,63.0,0.0,3.71372710086949,2.15533949826702,None,461.7424147999991,None,463.876074659999,463.876074659999,463.8922858599988,None,[],['b'],465.88044919999993,None,b,2.4300332000020717,1,0,0.775,None,469.59663679999903,None,469.59663679999903,None,[0.4300332000020717],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
40,0,40,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,4.61004669244928,1.27538462653558,None,471.40887509999993,None,472.65840795999867,472.65840795999867,472.6749375599982,None,[],['z'],474.6549049999994,None,z,2.4284482000020944,1,1,0.7804878048780488,None,479.25421469999856,None,479.25421469999856,None,[0.4284482000020944],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
41,0,41,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,3.68371079902891,1.78643585472448,None,481.0596119999991,None,482.8245366599993,482.8245366599993,482.84179665999983,None,[],['b'],484.82096609999826,None,b,2.2859884000008606,1,1,0.7857142857142857,None,488.5045298999994,None,488.5045298999994,None,[0.28598840000086057],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
42,0,42,0,,,,,,,,,,1,3.0,1.0,z,27.0,1.0,2.592312596923728,2.09887870490381,None,490.30812960000003,None,492.3922940599994,492.3922940599994,492.408965559999,None,[],['z'],494.3979103999991,None,z,2.489642600003208,1,1,0.7906976744186046,None,496.9909289999996,None,496.9909289999996,None,[0.4896426000032079],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
43,0,43,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.693348633324513,2.10421507306074,None,498.7925254999991,None,500.87511325999986,500.87511325999986,500.8916611599987,None,[],['z'],502.87177709999924,None,z,3.205340900001829,0,0,0.7727272727272727,None,505.553544299999,None,505.553544299999,None,[1.2053409000018291],,,,,,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,507.3590164999987,None,,,,,,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.3424350999994,None,None,512.3424350999994,517.3257977999983,,,,,,,,,,,,,CBC_1071,002,2,3,0,0,0.95,2024-02-02_15h20.49.299,MSI_TV_v3,2022.1.1,59.7962383377405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 1, 2, 3]",0.7272727272727273,0.9090909090909091,0.7272727272727273,0.7272727272727273,32,1,11,,,,,,,,,,,,
