trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,,,,,,,,2,2,3,b,63,1,4.53337421950507,3.40155979865722,None,396.0311021000007,None,399.41455474000065,399.41455474000065,399.4313860400001,None,[],['z'],[0.6798965000007229],401.4192159000004,None,z,2.679896500000723,0,0,0.5454545454545454,None,405.95830549999937,None,405.95830549999937,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
11,0,11,0,,,,,,,,,,0,0,1,z,63,1,3.3728785608729996,1.60731937853708,None,407.7636671999999,None,409.3478028400008,409.3478028400008,409.3645877399998,None,[],['z'],[0.8705478000001676],411.3534592999995,None,z,2.8705478000001676,1,1,0.5833333333333334,None,414.73214049999933,None,414.73214049999933,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
12,0,12,0,,,,,,,,,,1,2,3,z,63,1,4.77723667052879,3.1424449555106,None,416.54810869999983,None,419.66455193999934,419.66455193999934,419.68116124000005,None,[],['b'],[0.2330802999995285],421.6706789000009,None,b,2.2330802999995285,0,0,0.5384615384615384,None,426.4489397999996,None,426.4489397999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
13,0,13,0,,,,,,,,,,2,2,3,b,63,1,3.68371079902891,1.53243550275999,None,428.26323049999974,None,429.7645532400005,429.7645532400005,429.78142804000015,None,[],['b'],[0.7918214999981501],431.7694547000001,None,b,2.79182149999815,1,1,0.5714285714285714,None,435.4591198999997,None,435.4591198999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
14,0,14,0,,,,,,,,,,0,3,1,z,27,1,2.592312596923728,1.64421109900286,None,437.2645999000006,None,438.8812134399999,438.8812134399999,438.8979788399996,None,[],['z'],[0.7941701999998259],440.8808975000002,None,z,2.794170199999826,1,1,0.6,None,443.4872358999992,None,443.4872358999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
15,0,15,0,,,,,,,,,,3,0,3,b,9,1,3.73326136168326,1.21250262048173,None,445.2982287999994,None,446.4982047399993,446.4982047399993,446.51473114,None,[],['b'],[0.6137571999997817],448.49625409999953,None,b,2.6137571999997817,1,1,0.625,None,452.2379375999999,None,452.2379375999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
16,0,16,0,,,,,,,,,,1,2,3,z,63,1,2.2759877950103027,1.94858485820231,None,454.0468410000003,None,455.96473234000075,455.96473234000075,455.98131793999926,None,[],['z'],[0.5644575999986046],457.9710447999996,None,z,2.5644575999986046,1,1,0.6470588235294118,None,460.2488493999999,None,460.2488493999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
17,0,17,0,,,,,,,,,,2,0,2,z,27,1,2.666404967794728,1.90743690794447,None,462.0482249000006,None,463.9305331399995,463.9305331399995,463.94753164000065,None,[],['b'],[0.877936599998975],465.9292587000009,None,b,2.877936599998975,0,0,0.6111111111111112,None,468.5972178000002,None,468.5972178000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
18,0,18,0,,,,,,,,,,3,0,1,b,63,1,2.82320408183943,3.1963008326951,None,470.3982471999998,None,473.58166173999996,473.58166173999996,473.5982825400009,None,[],['b'],[0.7722825999981069],475.5846807000007,None,b,2.772282599998107,1,1,0.631578947368421,None,478.4137235999997,None,478.4137235999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
19,0,19,0,,,,,,,,,,0,1,0,b,63,0,4.01714354611405,1.36309078069689,None,480.2148881000003,None,481.56566923999924,481.56566923999924,481.5817141400006,None,[],['z'],[0.7227372999996078],483.57007330000033,None,z,2.722737299999608,0,1,0.6,None,487.5920766999998,None,487.5920766999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
