trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,23.766575300000113,None,t,67.91741340000226,23.766575300000113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
,,,,,,,,,,None,91.7020506000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
0,0,0,0,,,,,,,,,,0,1,3,b,27,1,2.2759877950103027,3.24569326556923,None,91.90224719999969,None,95.29784509999809,None,95.29784509999809,None,95.30215283999715,None,None,95.29784509999809,None,['b'],[0.7982473999982176],97.1358728999985,None,b,2.7982473999982176,1,1,1.0,99.42042519999814,None,None,99.42042519999814,None,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,2.526044641065533,1.53122835510861,None,101.21886209999866,None,102.79619009999806,None,102.79619009999806,None,102.8022420999987,None,None,102.79619009999806,None,['b'],[0.607180300001346],104.75244259999818,None,b,2.607180300001346,0,0,0.5,107.25830679999854,None,None,107.25830679999854,None,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
2,0,2,0,,,,,,,,,,3,3,2,b,63,1,3.76873691643126,0.80788063606262,None,109.06900490000044,None,109.90667069999836,None,109.90667069999836,None,109.90238068000035,None,None,109.90667069999836,None,['z'],[0.4331848000001628],111.86888619999809,None,z,2.433184800000163,0,0,0.3333333333333333,115.63688130000082,None,None,115.63688130000082,None,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
3,0,3,0,,,,,,,,,,0,0,1,z,63,1,2.496959177995529,1.34668860557497,None,117.45225429999846,None,118.84877629999755,None,118.84877629999755,None,118.85240249999697,None,None,118.84877629999755,None,['z'],[0.6270948000019416],120.80242039999939,None,z,2.6270948000019416,1,1,0.5,123.29111139999804,None,None,123.29111139999804,None,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
4,0,4,0,,,,,,,,,,2,0,3,b,9,1,3.2062024266105302,1.78643585472448,None,125.10241909999968,None,126.92093530000056,None,126.92093530000056,None,126.91879247999968,None,['b'],126.92093530000056,None,None,,128.91217519999918,None,b,1.7352725000018836,1,1,0.6,132.12649809999857,None,None,132.12649809999857,None,[1.7352725000018836],,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
5,0,5,0,,,,,,,,,,3,3,2,b,63,1,2.629554641171433,0.974903167432984,None,133.93605770000067,None,134.92395779999788,None,134.92395779999788,None,134.93553527999828,None,None,134.92395779999788,None,['z'],[1.2855650999990758],136.90222630000062,None,z,3.2855650999990758,0,0,0.5,139.52423439999984,None,None,139.52423439999984,None,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
6,0,6,0,,,,,,,,,,1,0,2,z,27,1,2.342239579230602,0.77703640172831,None,141.3354776999986,None,142.12447999999858,None,142.12447999999858,None,142.13589697999922,None,None,142.12447999999858,None,['z'],[0.25848079999923357],144.10211479999998,None,z,2.2584807999992336,1,1,0.5714285714285714,146.4356044999986,None,None,146.4356044999986,None,,,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,2.92731383428727,3.1424449555106,None,148.23553619999802,None,151.38922669999738,None,151.38922669999738,None,151.38553635999924,None,['b'],151.38922669999738,None,None,,153.38643840000077,None,b,1.554698500000086,1,1,0.625,156.32565629999954,None,None,156.32565629999954,None,[1.554698500000086],,,,,,,,,,,,,,,,,,CBC_1013,001,5,2,1,12,0.95,2023-06-23_14h24.40.256,MSI_AV_v3,2022.1.1,60.02948648465864,
