trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.11514536789087,1.18065738546375,None,326.54793329999984,None,327.7508154999996,None,327.7508154999996,None,327.7481398899999,None,['z'],[1.7479902000000038],327.7508154999996,None,None,329.7488148999996,None,z,1.7479902000000038,0,0,0.4642857142857143,333.87112209999987,None,None,333.87112209999987,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
28,0,28,0,,,,,,,,,,0,1.0,3.0,z,27.0,1.0,4.72585056748869,3.4543169006169,None,335.6803914999996,None,339.1511648999999,None,339.1511648999999,None,339.14867818999977,None,['z'],[1.8421018000003642],339.1511648999999,None,None,341.1324545999996,None,z,1.8421018000003642,1,1,0.4827586206896552,345.8637908999999,None,None,345.8637908999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
29,0,29,0,,,,,,,,,,1,2.0,1.0,b,9.0,1.0,2.592312596923728,1.78643585472448,None,347.6646553999999,None,349.4695230999996,None,349.4695230999996,None,349.48163282,None,['b'],[1.5492773000000852],349.4695230999996,None,None,351.4537633,None,b,1.5492773000000852,1,1,0.5,354.03942919999963,None,None,354.03942919999963,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
30,0,30,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,2.7134565917469198,0.77703640172831,None,355.84806819999994,None,356.63621109999985,None,356.63621109999985,None,356.64815972,None,None,,356.63621109999985,None,['b'],358.6137517999996,None,b,3.0834967000005236,1,1,0.5161290322580645,361.32152529999985,None,None,361.32152529999985,None,[1.0834967000005236],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
31,0,31,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.82531807167306,1.21250262048173,None,363.13152279999986,None,364.3680323999997,None,364.3680323999997,None,364.36486779,None,['z'],[0.9662348000006205],364.3680323999997,None,['z'],366.3500098999998,None,z,0.9662348000006205,1,1,0.53125,371.18646179999996,None,None,371.18646179999996,None,[0.0384966000001441],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
32,0,32,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.26539063535182,2.22427187882546,None,372.99812059999977,None,375.2361231,None,375.2361231,None,375.23173728999967,None,None,,375.2361231,None,None,377.2146128999998,None,[],[],0,3,0.5151515151515151,380.47012659999973,None,None,380.47012659999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
33,0,33,0,,,,,,,,,,2,0.0,1.0,b,63.0,0.0,3.7500315165247198,2.96653053743745,None,382.28142849999995,None,385.2666116999999,None,385.2666116999999,None,385.2651064899996,None,['z'],[1.7212757000002057],385.2666116999999,None,None,387.2494099999999,None,z,1.7212757000002057,0,1,0.5,391.0054216999997,None,None,391.0054216999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
34,0,34,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,2.678526077912375,3.1424449555106,None,392.8150194,None,395.9694847999999,None,395.9694847999999,None,395.9654681899996,None,None,,395.9694847999999,None,['z'],397.94814129999986,None,z,2.1758788000001914,1,1,0.5142857142857142,400.61369309999964,None,None,400.61369309999964,None,[0.1758788000001914],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
35,0,35,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.496959177995529,0.974903167432984,None,402.4138628999999,None,403.3977326999998,None,403.3977326999998,None,403.3980874899998,None,None,,403.3977326999998,None,['b'],405.38176569999996,None,b,2.811233600000378,0,0,0.5,407.85880769999994,None,None,407.85880769999994,None,[0.8112336000003779],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
36,0,36,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,3.35133458220192,1.94858485820231,None,409.6649292999996,None,411.63701059999994,None,411.63701059999994,None,411.64878621999975,None,None,,411.63701059999994,None,"['z', 'b']",413.61488069999996,None,z,3.9232527000003756,0,0,0.4864864864864865,416.9573895999997,None,None,416.9573895999997,None,"[1.9232527000003756, 2.6333362000004854]",,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
37,0,37,0,,,,,,,,,,0,3.0,2.0,b,63.0,1.0,4.46924002178158,1.34668860557497,None,418.76499829999966,None,420.11739209999996,None,420.11739209999996,None,420.1144919599999,None,['b'],[1.508427600000232],420.11739209999996,None,None,422.12060379999957,None,b,1.508427600000232,1,1,0.5,426.5888541999998,None,None,426.5888541999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
38,0,38,0,,,,,,,,,,3,2.0,1.0,z,9.0,1.0,3.71372710086949,1.52290599571961,None,428.39833369999997,None,429.9351410999998,None,429.9351410999998,None,429.9321078899997,None,None,,429.9351410999998,None,['z'],431.9152196,None,z,2.6880196000006435,1,1,0.5128205128205128,435.6237157999999,None,None,435.6237157999999,None,[0.6880196000006435],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
39,0,39,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,4.53337421950507,1.53122835510861,None,437.4316308999996,None,438.9882548999999,None,438.9882548999999,None,438.99864831999963,None,None,,438.9882548999999,None,['b'],440.96437419999984,None,b,2.1859816000001047,1,1,0.525,445.49081149999984,None,None,445.49081149999984,None,[0.18598160000010466],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
40,0,40,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.342239579230602,3.40155979865722,"['b', 'b', 'b']",447.2984326999999,None,450.7197907999998,None,450.7197907999998,None,450.7153421899997,None,None,,450.7197907999998,None,['b'],452.69847009999967,None,b,2.3337443000004896,1,1,0.5365853658536586,455.02796329999956,None,None,455.02796329999956,None,[0.3337443000004896],"[2.0593408000004274, 2.8332029000007424, 3.295820100000583]",,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
41,0,41,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.40017271499661,1.60731937853708,None,456.83161119999977,None,458.4556149,None,458.4556149,None,458.4654381199999,None,['z'],[1.7956857000003765],458.4556149,None,None,460.4516896,None,z,1.7956857000003765,1,1,0.5476190476190477,464.8555326999999,None,None,464.8555326999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
42,0,42,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,2.92731383428727,1.27538462653558,None,466.66506819999995,None,467.95054649999975,None,467.95054649999975,None,467.94865208999994,None,None,,467.95054649999975,None,['b'],469.9319003999999,None,b,2.2932439000005616,0,0,0.5348837209302325,472.8396813999998,None,None,472.8396813999998,None,[0.29324390000056155],,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
43,0,43,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,4.01714354611405,1.25817747924478,None,474.64866429999984,None,475.9200509999996,None,475.9200509999996,None,475.93212511999997,None,None,,475.9200509999996,None,"['z', 'b']",477.8984095999999,None,z,2.172582500000317,0,0,0.5227272727272727,481.90345909999996,None,None,481.90345909999996,None,"[0.17258250000031694, 1.1733351000002585]",,,,,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,483.71585479999976,None,,,,,,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.71543129999964,None,None,488.71543129999964,None,,,,,,,,,,,,,CBC_1018,2,5,3,3,17,0.95,2023-07-28_14h09.48.835,MSI_AV_v3,2022.1.1,60.00265211722643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[2, 3, 1, 0]",0.5454545454545454,0.18181818181818182,0.8181818181818182,0.5454545454545454,25,2,17,,,,,,,,,,,,
