trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,0,0,1,z,63,1,4.12485271162806,1.95130344756745,None,578.0287198000005,None,579.9616093900025,579.9616093900025,579.9783720899926,None,[],['b'],[1.475570599999628],581.9658678999986,None,b,3.475570599999628,0,0,0.5909090909090909,None,586.0776317999989,None,586.0776317999989,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
22,0,22,0,,,,,,,,,,2,2,0,b,27,1,4.46924002178158,2.78346932462847,None,587.8783744999964,None,590.6456796899932,590.6456796899932,590.6614045899972,None,[],None,,592.6493371999968,None,None,[],0,3,0.5652173913043478,None,597.104917100005,None,597.104917100005,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
23,0,23,0,,,,,,,,,,1,3,2,b,63,1,2.433630701072358,1.25817747924478,None,598.9117378999945,None,600.144903290004,600.144903290004,600.1614859899913,None,[],['z'],[0.5235129999928176],602.1429190000053,None,z,2.5235129999928176,0,0,0.5416666666666666,None,604.5874170000025,['b'],604.5874170000025,None,,,[1.6084020999987843],,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
24,0,24,0,,,,,,,,,,3,1,0,z,63,1,3.76873691643126,0.917519910446003,None,606.3949361999985,None,607.2943244900001,607.2943244900001,607.3104902899998,b,['b'],None,,609.3311029000033,None,b,1.3630276000039885,0,0,0.52,None,613.106189099999,None,613.106189099999,None,1.3630276000039885,[1.3630276000039885],,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
25,0,25,0,,,,,,,,,,2,3,2,z,63,1,2.92731383428727,0.974903167432984,None,614.910626900004,None,615.8617798899999,615.8617798899999,615.8788568899967,None,[],['z'],[1.0005758999905083],617.8673946999916,None,z,3.0005758999905083,1,1,0.5384615384615384,None,620.7902678999963,None,620.7902678999963,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
26,0,26,0,,,,,,,,,,3,2,0,z,27,1,3.68371079902891,2.49839527409216,None,622.5942381000059,None,625.060881689997,625.060881689997,625.0779502900026,None,[],"['b', 'z']","[0.6667923999921186, 1.516955200000666]",627.0576748000021,None,b,2.6667923999921186,0,0,0.5185185185185185,None,630.7429123000038,None,630.7429123000038,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
27,0,27,0,,,,,,,,,,1,3,2,b,63,1,2.592312596923728,1.1243895841892,None,632.545176700005,None,633.6450049899926,633.6450049899926,633.6618287899968,None,[],['z'],[0.7413821999944048],635.645065100005,None,z,2.741382199994405,0,0,0.5,None,638.2378368999925,['b'],638.2378368999925,None,,,[1.6961093999998411],,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
28,0,28,0,,,,,,,,,,1,3,2,b,63,1,3.31929419319838,0.952147612306987,['b'],640.0453054999962,None,640.9783930899924,640.9783930899924,640.9952051899949,None,[],['z'],[0.07641769999463577],642.9785873999936,None,z,2.0764176999946358,0,0,0.4827586206896552,None,646.2967442999943,None,646.2967442999943,None,,,,[0.8853587999910815],,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
29,0,29,0,,,,,,,,,,0,3,1,z,27,1,4.82531807167306,1.52290599571961,None,648.1110655999946,None,649.6119802899979,649.6119802899979,649.6284433899913,z,['z'],None,,651.6561665000045,None,z,1.9602197000058368,1,1,0.5,None,656.4916367999977,None,656.4916367999977,None,1.9602197000058368,[1.9602197000058368],,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
30,0,30,0,,,,,,,,,,1,0,3,z,9,1,3.26539063535182,1.78643585472448,None,658.2941103000048,None,660.0622490900045,660.0622490900045,660.078834389997,None,[],['b'],[0.8361618000053568],662.0663888999989,None,b,2.836161800005357,0,0,0.4838709677419355,None,665.3330573999992,None,665.3330573999992,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
31,0,31,0,,,,,,,,,,0,1,0,b,63,1,4.77723667052879,1.94858485820231,None,667.1451670999959,None,669.0784393900016,669.0784393900016,669.095288789997,b,['b'],None,,671.098974499997,None,b,1.2587467999983346,1,1,0.5,None,675.8737926000031,None,675.8737926000031,None,1.2587467999983346,[1.2587467999983346],,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
32,0,32,0,,,,,,,,,,3,1,0,z,63,1,2.666404967794728,0.77703640172831,None,677.6786907999922,None,678.4284844900016,678.4284844900016,678.4453410899936,None,[],['z'],[0.8770096999942325],680.4343270999962,None,z,2.8770096999942325,1,1,0.5151515151515151,None,683.1034301000036,None,683.1034301000036,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
33,0,33,0,,,,,,,,,,0,1,0,b,63,1,2.517541937862754,1.36309078069689,None,684.9116844999953,None,686.2616370899981,686.2616370899981,686.2785416899918,None,[],None,,688.2663451999979,None,None,[],0,3,0.5,None,690.7727772999933,None,690.7727772999933,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
34,0,34,0,,,,,,,,,,2,3,2,z,63,1,2.629554641171433,2.40378712856304,None,692.5786287999945,None,694.9618776899937,694.9618776899937,694.9786370900023,None,[],['z'],[0.23840289999498054],696.963977899999,None,z,2.2384028999949805,1,1,0.5142857142857142,None,699.596887199994,None,699.596887199994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
35,0,35,0,,,,,,,,,,3,0,2,b,27,1,4.190022164497369,1.12425433982333,None,701.4120506000036,None,702.5118334899947,702.5118334899947,702.5287322900025,None,[],['z'],[1.7857297000009567],704.5126065999939,None,z,3.7857297000009567,0,0,0.5,None,708.7045911000023,None,708.7045911000023,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
36,0,36,0,,,,,,,,,,0,1,0,b,63,1,2.2759877950103027,0.761758675042088,None,710.5121447999991,None,711.2623107899911,711.2623107899911,711.2787648900033,None,[],None,,713.266684000002,None,None,[],0,3,0.4864864864864865,None,715.5384447999968,None,715.5384447999968,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
37,0,37,0,,,,,,,,,,0,3,1,z,27,1,4.40017271499661,3.33124983260532,None,717.3444283999997,None,720.6452098899957,720.6452098899957,720.6625062900042,None,[],['z'],[0.34814399998867884],722.644758800001,None,z,2.348143999988679,1,1,0.5,None,727.065791400004,None,727.065791400004,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
38,0,38,0,,,,,,,,,,2,3,2,z,63,1,3.02234236141277,3.4543169006169,None,728.8788420999917,None,732.312115390005,732.312115390005,732.328450790001,None,[],['z'],[0.6545203999849036],734.3176241000037,None,z,2.6545203999849036,1,1,0.5128205128205128,None,737.3383512,None,737.3383512,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
39,0,39,0,,,,,,,,,,1,3,1,b,27,1,3.2062024266105302,3.06992456303453,None,739.1455813999928,None,742.1955237900023,742.1955237900023,742.2120220900018,None,[],['b'],[1.1082257999951253],744.2011026999971,None,b,3.1082257999951253,1,1,0.525,None,747.4057422000042,None,747.4057422000042,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
40,0,40,0,,,,,,,,,,2,1,2,z,9,1,4.72585056748869,1.53122835510861,None,749.2121247000032,None,750.7277695900033,750.7277695900033,750.7443056899996,None,[],"['b', 'z']","[0.7590369999961695, 1.4461772999929963]",752.7244785999937,None,b,2.7590369999961695,0,0,0.5121951219512195,None,757.4629427000036,None,757.4629427000036,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
41,0,41,0,,,,,,,,,,0,0,1,z,63,0,2.91303524001082,0.80788063606262,None,759.2623022000043,None,760.046236289991,760.046236289991,760.0622732899996,None,[],['z'],[0.4020981999929063],762.0513949000015,None,z,2.4020981999929063,1,0,0.5238095238095238,None,764.9627978999924,None,764.9627978999924,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
42,0,42,0,,,,,,,,,,1,3,2,b,63,1,2.693348633324513,2.10421507306074,None,766.7622527000058,None,768.846105089999,768.846105089999,768.8622389900032,None,[],['z'],[1.2243652999895858],770.8543776000006,None,z,3.2243652999895858,0,0,0.5116279069767442,None,773.5417746000021,None,773.5417746000021,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
43,0,43,0,,,,,,,,,,3,0,1,b,63,1,4.77034425507967,3.1963008326951,None,775.3453931999975,None,778.5289234900032,778.5289234900032,778.5453307899937,None,[],None,,780.5307173000037,None,None,[],0,3,0.5,None,785.3059638999985,None,785.3059638999985,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,787.1122803000035,None,,,,,,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.0958233999991,None,None,792.0958233999991,797.0790726999985,,,,,,,,,,,,,CBC_1114,001,6,1,5,19,0.95,2024-08-09_16h21.37.903,MSI_TV_v3,2022.1.1,59.84895321308817,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[3, 0, 2, 1]",0.6363636363636364,0.5454545454545454,0.36363636363636365,0.45454545454545453,20,6,18,,,,,,,,,,,,
