trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,224.55220569999983,None,t,75.04452800000035,224.55220569999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
,,,,,,,,,,None,299.62503240000115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
0,0,0,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.92731383428727,1.12425433982333,None,299.82499989999997,None,301.07843110000067,None,301.07843110000067,None,301.07504569999946,None,None,301.07843110000067,None,['b'],[0.3356493999999657],302.94107319999966,None,b,2.3356493999999657,1,1,1.0,305.8719204000008,None,None,305.8719204000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
1,0,1,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,2.629554641171433,1.78643585472448,None,307.67491549999977,None,309.48067230000015,None,309.48067230000015,None,309.4914891199998,None,['b'],309.48067230000015,None,None,,311.4763375000002,None,b,1.8230801000008796,1,1,1.0,314.1157942000009,None,None,314.1157942000009,None,[1.8230801000008796],,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
2,0,2,0,,,,,,,,,,1,1.0,2.0,z,9.0,1.0,4.52047235037039,0.80788063606262,None,315.92417340000065,None,316.7841937000012,None,316.7841937000012,None,316.79137727999915,None,['z'],316.7841937000012,None,None,,318.74508400000013,None,z,1.2927027000005182,1,1,1.0,323.2745995999994,None,None,323.2745995999994,None,[1.2927027000005182],,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
3,0,3,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.53337421950507,0.979776149765883,None,325.0754768000006,None,326.05912999999964,None,326.05912999999964,None,326.05750885999953,None,None,326.05912999999964,None,['z'],[0.29409770000165736],328.0420113,None,z,2.2940977000016574,1,1,1.0,332.5667871000005,None,None,332.5667871000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
4,0,4,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.666404967794728,2.78346932462847,None,334.37509130000035,None,337.19904189999943,None,337.19904189999943,None,337.20836725000026,None,['b'],337.19904189999943,None,None,,339.1784187000012,None,b,1.7424384000005375,1,1,1.0,341.85150749999957,None,None,341.85150749999957,None,[1.7424384000005375],,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
5,0,5,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.46924002178158,1.21250262048173,None,343.65843660000064,None,344.89560990000064,None,344.89560990000064,None,344.89173389000047,None,['z'],344.89560990000064,None,None,,346.8912438999996,None,z,1.7200969000004989,1,1,1.0,351.3572929000002,None,None,351.3572929000002,None,[1.7200969000004989],,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
6,0,6,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.40017271499661,3.06992456303453,None,353.15880860000107,None,356.2487345999998,None,356.2487345999998,None,356.258466819999,None,None,356.2487345999998,None,['z'],[0.2687141000005795],358.22519900000043,None,z,2.2687141000005795,0,0,0.8571428571428571,362.6078548000005,None,None,362.6078548000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
7,0,7,0,,,,,,,,,,3,2.0,0.0,z,27.0,1.0,3.6438386551209,1.1243895841892,None,364.4073492999996,None,365.54538630000025,None,365.54538630000025,None,365.54161868999967,None,['b'],365.54538630000025,None,None,,367.54342460000044,None,b,1.8902577000008023,0,0,0.75,371.2000519000012,None,None,371.2000519000012,None,[1.8902577000008023],,,,,,,,,,,,,,,,,,,,,CBC_1019,001,2,1,3,18,0.95,2023-06-28_16h08.36.821,MSI_AV_v3,2022.1.1,59.82829279986664,
