trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,33.045342000000346,None,t,70.07144389999985,33.045342000000346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
,,,,,,,,,,None,103.14646380000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
0,0,0,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.12485271162806,1.25920145784721,None,103.34661730000016,None,104.57957387000019,104.57957387000019,104.59612397000032,z,['z'],1.9657506999997167,[1.9657506999997167],None,106.60877690000007,None,z,1.9657506999997167,1,1,1.0,None,110.76189600000043,None,110.76189600000043,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
1,0,1,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.7533305109883095,1.18065738546375,None,112.5462708,None,113.71276257000031,113.71276257000031,113.72945856999999,None,[],,,['b'],115.71518110000034,None,b,2.0684810999996444,1,1,1.0,None,120.47228350000023,None,120.47228350000023,None,[0.06848109999964436],,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
2,0,2,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,3.35133458220192,0.80788063606262,None,122.27967040000021,None,123.06325587000023,123.06325587000023,123.07994267000035,z,['z'],1.647525499999574,[1.647525499999574],None,125.10607630000004,None,z,1.647525499999574,1,1,1.0,None,128.45503550000012,None,128.45503550000012,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
3,0,3,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,3.71372710086949,2.49839527409216,None,130.26339730000018,None,132.74622417000032,132.74622417000032,132.76292047,None,[],,,['z'],134.75027690000024,None,z,3.0789978999996492,1,1,1.0,None,138.45232780000015,None,138.45232780000015,None,[1.0789978999996492],,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
4,0,4,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.629554641171433,2.22427187882546,None,140.26296120000006,None,142.46286717000007,142.46286717000007,142.47940327,None,[],,,['b'],144.45959330000005,None,b,2.02016599999979,1,1,1.0,None,147.10969160000013,None,147.10969160000013,None,[0.020165999999790074],,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
5,0,5,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.01714354611405,1.90743690794447,None,148.91342180000038,None,150.79674737000036,150.79674737000036,150.81339237000006,None,[],,,['z'],152.79888970000002,None,z,2.766011299999718,0,0,0.8333333333333334,None,156.8340631000001,None,156.8340631000001,None,[0.7660112999997182],,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
6,0,6,0,,,,,,,,,,0,1.0,3.0,z,27.0,1.0,4.72585056748869,3.06992456303453,None,158.63001450000002,None,161.67922107000035,161.67922107000035,161.69601577000034,None,[],,,['z'],163.67909530000043,None,z,2.4447094999995898,1,1,0.8571428571428571,None,168.40379900000016,None,168.40379900000016,None,[0.44470949999958975],,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
7,0,7,0,,,,,,,,,,1,2.0,1.0,b,9.0,1.0,2.342239579230602,0.974903167432984,None,170.21359610000036,None,171.1634043700004,171.1634043700004,171.1800192700001,None,[],,,['z'],173.1746833000002,None,z,2.494587899999715,0,0,0.75,None,175.5263928000004,None,175.5263928000004,None,[0.49458789999971486],,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
8,0,8,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,3.3728785608729996,2.6299100644723,None,177.33009930000026,None,179.94641827000018,179.94641827000018,179.96324487000024,None,[],,,"['z', 'b', 'b']",181.94821310000043,None,z,4.452077499999632,0,0,0.6666666666666666,None,185.33449820000033,['b'],185.33449820000033,None,"[2.452077499999632, 2.757927699999982, 3.2472046999996564]",[0.18308329999990747],,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
9,0,9,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,2.91303524001082,2.09887870490381,None,187.1461494,None,189.23006707,189.23006707,189.24680027000008,None,[],,,['b'],191.23099520000005,None,b,3.7840284999997493,0,0,0.6,None,194.1526729000002,None,194.1526729000002,None,[1.7840284999997493],,,,,,,,,,,,,,,,,,,,,,CBC_1018,001,2,2,2,17,0.95,2023-07-28_14h00.56.927,MSI_TV_v3,2022.1.1,59.907431037628186,
