trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,0,0,2,b,27,1,3.26539063535182,1.95130344756745,None,214.74169489999986,None,216.71260679999978,None,216.71260679999978,None,216.70805647999978,None,None,216.71260679999978,None,['z'],[0.4104434000000765],218.6908238999995,None,z,2.4104434000000765,0,0,0.42857142857142855,221.94057299999986,None,None,221.94057299999986,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
14,0,14,0,,,,,,,,,,1,1,0,b,63,1,2.7134565917469198,3.4543169006169,None,223.74081620000015,None,227.21347789999982,None,227.21347789999982,None,227.22518953999972,None,None,227.21347789999982,None,['b'],[0.5228439999991679],229.19249469999977,None,b,2.522843999999168,1,1,0.4666666666666667,231.89607590000014,None,None,231.89607590000014,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
15,0,15,0,,,,,,,,,,1,0,1,z,63,1,2.496959177995529,1.43470440954152,None,233.70837630000005,None,235.1656641999998,None,235.1656641999998,None,235.17550413999945,None,None,235.1656641999998,None,['b'],[0.453883199998927],237.1420866999997,None,b,2.453883199998927,0,0,0.4375,239.6346685999997,None,None,239.6346685999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
16,0,16,0,,,,,,,,,,3,3,2,z,63,1,4.12485271162806,1.34668860557497,None,241.4413697,None,242.79652299999998,None,242.79652299999998,None,242.8083524400001,None,None,242.79652299999998,None,['b'],[0.7450966999995217],244.77532259999953,None,b,2.7450966999995217,0,0,0.4117647058823529,248.89211460000024,None,None,248.89211460000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
17,0,17,0,,,,,,,,,,2,3,1,b,27,1,2.91303524001082,2.49839527409216,None,250.69198189999952,None,253.21516229999997,None,253.21516229999997,None,253.2252674399999,None,['b'],253.21516229999997,None,None,,255.2116261000001,None,b,1.5596837999992204,1,1,0.4444444444444444,258.1332149,None,None,258.1332149,None,[1.5596837999992204],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
18,0,18,0,,,,,,,,,,3,1,2,z,9,1,4.72585056748869,3.1424449555106,None,259.94206529999974,None,263.09532260000015,None,263.09532260000015,None,263.09196908000007,None,None,263.09532260000015,None,['z'],[0.71944110000004],265.0749201999997,None,z,2.71944110000004,1,1,0.47368421052631576,269.78966649999984,None,None,269.78966649999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
19,0,19,0,,,,,,,,,,1,3,1,z,27,1,4.190022164497369,0.952147612306987,None,271.5920040000001,None,272.5431748000001,None,272.5431748000001,None,272.54152831999966,None,None,272.5431748000001,None,['b'],[3.0705784000001586],274.54214559999946,None,b,5.070578400000159,0,0,0.45,278.7153343,None,None,278.7153343,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
20,0,20,0,,,,,,,,,,2,3,2,b,63,1,2.592312596923728,1.78643585472448,None,280.5253574999997,None,282.32982360000005,None,282.32982360000005,None,282.34208194,None,None,282.32982360000005,None,"['z', 'b']","[0.3729639999992287, 0.3820032999992691]",284.3092122999997,None,z,2.3729639999992287,0,0,0.42857142857142855,286.8942718999997,None,None,286.8942718999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
21,0,21,0,,,,,,,,,,1,1,0,b,63,0,4.52047235037039,1.94858485820231,None,288.70881180000015,None,290.6812751999996,None,290.6812751999996,None,290.6919827399999,None,None,290.6812751999996,None,['b'],[0.6392548999992869],292.65817609999976,None,b,2.639254899999287,1,0,0.45454545454545453,297.16912030000003,None,None,297.16912030000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
22,0,22,0,,,,,,,,,,0,3,0,z,9,1,3.71372710086949,0.974903167432984,None,298.9756729999999,None,299.9634192000003,None,299.9634192000003,None,299.95885918000016,None,None,299.9634192000003,None,['z'],[0.4675565999996252],301.94229110000015,None,z,2.467556599999625,1,1,0.4782608695652174,305.64353800000026,None,None,305.64353800000026,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
