trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,19.743313700000726,None,t,72.1531105999984,19.743313700000726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
,,,,,,,,,,None,91.91246479999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
0,0,0,0,,,,,,,,,,1,0,1,z,63,1,3.26539063535182,1.78643585472448,None,92.1115807999995,None,93.87927284000106,93.87927284000106,93.89590313999979,None,[],['z'],[0.5516217000003962],95.88827710000078,None,z,2.5516217000003962,1,1,1.0,None,99.1616740999998,None,99.1616740999998,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
1,0,1,0,,,,,,,,,,2,2,3,z,63,1,2.629554641171433,1.60731937853708,None,100.96248100000048,None,102.54537034000059,102.54537034000059,102.56157473999956,None,[],['b'],[0.8642859999999928],104.54231020000043,None,b,2.864285999999993,0,0,0.5,None,107.1787387000004,None,107.1787387000004,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
2,0,2,0,,,,,,,,,,1,1,3,b,27,1,3.35133458220192,3.06992456303453,None,108.97924840000087,None,112.02921984000095,112.02921984000095,112.04645023999983,None,[],['z'],[0.8622126999998727],114.03407150000021,None,z,2.8622126999998727,0,0,0.3333333333333333,None,117.3861536000004,None,117.3861536000004,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
3,0,3,0,,,,,,,,,,3,3,2,z,63,1,4.53337421950507,1.25920145784721,None,119.19592449999982,None,120.42827153999933,120.42827153999933,120.44570124000056,None,[],['b'],[0.49812259999998787],122.42545380000047,None,b,2.498122599999988,0,0,0.25,None,126.95334240000011,None,126.95334240000011,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
4,0,4,0,,,,,,,,,,3,2,0,b,27,1,2.294664843639333,0.77703640172831,None,128.76268300000083,None,129.51265443999984,129.51265443999984,129.52918844000015,None,[],['z'],[0.4538364999989426],131.51672040000085,None,z,2.4538364999989426,0,0,0.2,None,133.8021635999994,None,133.8021635999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
5,0,5,0,,,,,,,,,,0,3,0,z,9,1,3.76873691643126,3.33124983260532,None,135.61262350000106,None,138.92923844000035,138.92923844000035,138.94608254000087,None,[],"['b', 'z', 'z']","[1.1909003000000666, 2.7806624000004376, 3.348206599999685]",140.92921829999977,None,b,3.1909003000000666,0,0,0.16666666666666666,None,144.68692720000035,None,144.68692720000035,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
6,0,6,0,,,,,,,,,,3,3,2,z,63,1,3.6438386551209,1.52290599571961,None,146.49615059999996,None,147.99605864000006,147.99605864000006,148.01267674000047,None,[],['z'],[0.6532521000008273],150.00041500000043,None,z,2.6532521000008273,1,1,0.2857142857142857,None,153.63739840000017,None,153.63739840000017,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
7,0,7,0,,,,,,,,,,0,0,1,b,63,1,2.693348633324513,1.27538462653558,None,155.44627469999978,None,156.69608023999973,156.69608023999973,156.71271813999994,None,[],['z'],[1.0866608999986056],158.6936349000007,None,z,3.0866608999986056,0,0,0.25,None,161.40651310000067,None,161.40651310000067,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,3,4,3,5,1,0.95,2023-07-20_12h55.31.545,MSI_TV_v3,2022.1.1,60.01680470532965,
