trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,27.92706139999973,None,t,57.1779858000009,27.92706139999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
,,,,,,,,,,None,85.13387859999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
0,0,0,0,,,,,,,,,,0,0,1,z,63,1,2.517541937862754,2.15533949826702,None,85.33398990000023,None,87.60718160000033,None,87.60718160000033,None,87.61718980000114,None,None,87.60718160000033,None,['z'],[0.42101610000099754],89.48390780000045,None,z,2.4210161000009975,1,1,1.0,92.00291199999992,None,None,92.00291199999992,None,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
1,0,1,0,,,,,,,,,,1,2,3,z,63,1,3.2062024266105302,0.80788063606262,None,93.8000790999995,None,94.67818760000046,None,94.67818760000046,None,94.68407343000052,None,None,94.67818760000046,None,['b'],[0.7130107000011776],96.60096039999917,None,b,2.7130107000011776,0,0,0.5,99.79131960000086,None,None,99.79131960000086,None,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
2,0,2,0,,,,,,,,,,0,1,3,b,27,1,4.77723667052879,1.64421109900286,None,101.60074600000007,None,103.2565037000004,None,103.2565037000004,None,103.26735716000111,None,None,103.2565037000004,None,['z'],[0.5506115000007412],105.2339346000008,None,z,2.550611500000741,0,0,0.3333333333333333,109.98996830000033,None,None,109.98996830000033,None,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
3,0,3,0,,,,,,,,,,3,3,2,z,63,1,2.792365600763554,2.49839527409216,None,111.80041720000008,None,114.31190100000094,None,114.31190100000094,None,114.31630786999976,None,None,114.31190100000094,None,['b'],[0.5310486999987916],116.28397580000092,None,b,2.5310486999987916,0,0,0.25,119.07684879999942,None,None,119.07684879999942,None,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
4,0,4,0,,,,,,,,,,3,2,0,b,27,1,4.40017271499661,1.53243550275999,None,120.88402889999998,None,122.43966240000009,None,122.43966240000009,None,122.45062796000128,None,['b'],122.43966240000009,None,None,,124.43833909999921,None,b,1.645279300000766,1,1,0.4,128.84142389999943,None,None,128.84142389999943,None,[1.645279300000766],,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
5,0,5,0,,,,,,,,,,2,3,0,z,9,1,2.592312596923728,0.952147612306987,None,130.65079350000087,None,131.6347683999993,None,131.6347683999993,None,131.63437046000072,None,None,131.6347683999993,None,['b'],[1.0850130000017089],133.60089309999967,None,b,3.085013000001709,0,0,0.3333333333333333,136.1857218999994,None,None,136.1857218999994,None,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
6,0,6,0,,,,,,,,,,3,3,2,z,63,1,3.31929419319838,1.38289892513751,None,138.00043650000043,None,139.40640940000048,None,139.40640940000048,None,139.41757916000134,None,None,139.40640940000048,None,['b'],[0.501171500000055],141.3841056000001,None,b,2.501171500000055,0,0,0.2857142857142857,144.69556010000088,None,None,144.69556010000088,None,,,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
7,0,7,0,,,,,,,,,,2,0,1,b,63,1,3.6438386551209,3.1424449555106,None,146.5004914000001,None,149.65686959999948,None,149.65686959999948,None,149.66737696000055,None,['z'],149.65686959999948,None,None,,151.65268060000017,None,z,0.3769014999998035,0,0,0.25,155.30681800000093,None,None,155.30681800000093,None,[0.3769014999998035],,,,,,,,,,,,,,,,,,CBC_1014,004,6,3,5,13,0.95,2023-06-25_12h37.50.287,MSI_AV_v3,2022.1.1,59.91755344623019,
