trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,40.8680226,None,t,46.61868250000002,40.8680226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
,,,,,,,,,,None,87.5184341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
0,0,0,0,,,,,,,,,,2,1,0,z,63,1,2.294664843639333,1.95130344756745,None,87.71752199999999,None,89.65088551,89.65088551,89.66756140999999,z,['z'],1.868292000000011,[1.868292000000011],None,91.6746754,None,z,1.868292000000011,1,1,1.0,None,94.0400546,None,94.0400546,None,,,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
1,0,1,0,,,,,,,,,,1,3,2,b,63,1,2.91303524001082,3.24569326556923,None,95.7839191,None,99.01759910999999,99.01759910999999,99.03415920999998,None,[],,,['b'],101.0267879,None,b,2.389894900000016,1,1,1.0,None,103.93574310000001,None,103.93574310000001,None,[0.3898949000000158],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
2,0,2,0,,,,,,,,,,0,2,0,b,27,1,2.526044641065533,1.52290599571961,None,105.7509725,None,107.25088161,107.25088161,107.26760200999999,None,[],,,['b'],109.2545376,None,b,2.6304031000000094,1,1,1.0,None,111.7934404,None,111.7934404,None,[0.6304031000000094],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
3,0,3,0,,,,,,,,,,2,1,0,z,63,1,4.7533305109883095,0.952147612306987,None,113.6009518,None,114.53431340999998,114.53431340999998,114.55164951,None,[],,,['z'],116.53766549999999,None,z,2.474541500000001,1,1,1.0,None,121.30358919999999,None,121.30358919999999,None,[0.47454150000000084],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
4,0,4,0,,,,,,,,,,3,3,1,z,27,1,2.629554641171433,1.90743690794447,None,123.11789750000001,None,125.00096300999999,125.00096300999999,125.01758411,None,[],,,['b'],127.0048552,None,b,2.3315728000000178,0,0,0.8,None,129.67748769999997,None,129.67748769999997,None,[0.33157280000001776],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
5,0,5,0,,,,,,,,,,0,2,3,b,63,1,3.3728785608729996,2.6299100644723,None,131.45096539999997,None,134.06782641,134.06782641,134.08430491000001,None,[],,,['b'],136.0722131,None,b,2.3881456999999813,1,1,0.8333333333333334,None,139.44177489999998,None,139.44177489999998,None,[0.3881456999999813],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
6,0,6,0,,,,,,,,,,1,2,3,z,63,0,2.6391747348430608,2.22427187882546,None,141.2510211,None,143.45099220999998,143.45099220999998,143.46754201,None,[],,,['z'],145.45408220000002,None,z,2.2369556999999958,1,0,0.8571428571428571,None,148.094429,None,148.094429,None,[0.23695569999999577],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
7,0,7,0,,,,,,,,,,3,1,0,b,63,1,4.53337421950507,1.34668860557497,None,149.90102660000002,None,151.23434421000002,151.23434421000002,151.25101251,None,[],,,['b'],153.23935800000004,None,b,4.2376584999999665,1,1,0.875,None,157.76345860000004,None,157.76345860000004,None,[2.2376584999999665],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
8,0,8,0,,,,,,,,,,2,0,2,b,27,1,4.82531807167306,3.4543169006169,None,159.5677526,None,163.00100701000002,163.00100701000002,163.01770601000004,None,[],,,['b'],165.00368100000003,None,b,2.6871775999999983,1,1,0.8888888888888888,None,169.8410857,None,169.8410857,None,[0.6871775999999983],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
9,0,9,0,,,,,,,,,,1,0,3,z,9,1,4.01714354611405,0.761758675042088,None,171.65097200000002,None,172.38426861000005,172.38426861000005,172.40081341,None,[],,,['z'],174.387406,None,z,2.4149183999999906,1,1,0.9,None,178.4081051,None,178.4081051,None,[0.4149183999999906],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
10,0,10,0,,,,,,,,,,0,3,2,z,63,1,2.496959177995529,1.12425433982333,None,180.2176384,None,181.31776581000003,181.31776581000003,181.33432711,z,['z'],1.5914146000000216,[1.5914146000000216],None,183.35860910000002,None,z,1.5914146000000216,1,1,0.9090909090909091,None,185.8615261,None,185.8615261,None,,,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
11,0,11,0,,,,,,,,,,3,1,0,b,63,1,3.6438386551209,2.10421507306074,None,187.66774910000004,None,189.75163051000004,189.75163051000004,189.76769121,None,[],,,['b'],191.7527563,None,b,2.45836850000002,1,1,0.9166666666666666,None,195.40151980000002,None,195.40151980000002,None,[0.45836850000002016],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
12,0,12,0,,,,,,,,,,1,3,2,b,63,1,2.693348633324513,2.96653053743745,None,197.2010259,None,200.15110901000003,200.15110901000003,200.16773901000005,None,[],,,['b'],202.1537962,None,b,3.0947588000000366,1,1,0.9230769230769231,None,204.85690900000003,None,204.85690900000003,None,[1.0947588000000366],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
13,0,13,0,,,,,,,,,,0,3,2,z,63,1,3.7500315165247198,2.40378712856304,None,206.6678445,None,209.05125981000003,209.05125981000003,209.06778421,None,[],,,['z'],211.05522430000002,None,z,2.0466224999999696,1,1,0.9285714285714286,None,214.81737930000003,None,214.81737930000003,None,[0.04662249999996959],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
14,0,14,0,,,,,,,,,,3,1,3,b,27,1,3.26539063535182,0.77703640172831,None,216.6177184,None,217.36757961,217.36757961,217.38374451000004,None,[],,,['b'],219.3676254,None,b,2.3658292000000216,1,1,0.9333333333333333,None,222.6376027,None,222.6376027,None,[0.3658292000000216],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
15,0,15,0,,,,,,,,,,2,3,0,z,9,1,3.31929419319838,1.94858485820231,None,224.45101160000002,None,226.38443431000002,226.38443431000002,226.40098741000003,None,[],,,['z'],228.39221330000004,None,z,2.600675899999956,1,1,0.9375,None,231.70060970000003,None,231.70060970000003,None,[0.6006758999999562],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
16,0,16,0,,,,,,,,,,1,3,2,b,63,1,4.72585056748869,1.43470440954152,None,233.5011174,None,234.91779921,234.91779921,234.93483531000004,None,[],,,['b'],236.9211729,None,b,2.1562102000000465,1,1,0.9411764705882353,None,241.64798360000003,None,241.64798360000003,None,[0.15621020000004648],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
17,0,17,0,,,,,,,,,,0,2,0,b,27,1,2.666404967794728,1.27538462653558,None,243.4510403,None,244.70124591,244.70124591,244.71775411000004,None,[],,,['b'],246.7047379,None,b,2.4295121999999907,1,1,0.9444444444444444,None,249.37917750000003,None,249.37917750000003,None,[0.4295121999999907],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
18,0,18,0,,,,,,,,,,2,1,0,z,63,1,2.517541937862754,0.974903167432984,None,251.1845634,None,252.13465971000005,252.13465971000005,252.15125401,None,[],,,['z'],254.13719580000003,None,z,2.521906300000026,1,1,0.9473684210526315,None,256.6660177,None,256.6660177,None,[0.5219063000000261],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
19,0,19,0,,,,,,,,,,3,0,1,z,63,0,2.678526077912375,1.25920145784721,None,258.4678414,None,259.70126961,259.70126961,259.71777371,z,['z'],1.7948295000000059,[1.7948295000000059],None,261.7415782,None,z,1.7948295000000059,1,0,0.95,None,264.4271291,None,264.4271291,None,,,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
20,0,20,0,,,,,,,,,,1,1,3,z,27,1,2.82320408183943,2.49839527409216,None,266.23449170000004,None,268.71800331000003,268.71800331000003,268.73461291,None,[],,,['z'],270.72272100000004,None,z,2.2241774000000447,1,1,0.9523809523809523,None,273.5431526,None,273.5431526,None,[0.2241774000000447],,,,,,,,,,,,,,,,,,CBC_1017,002,5,1,6,16,0.9,2023-06-25_09h48.15.887,MSI_TV_v3,2022.1.1,59.96400960144355,
