trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,2,2,3,b,63,1,2.496959177995529,1.43470440954152,None,289.8885231999993,None,291.30538935999937,291.30538935999937,291.32187786000065,None,[],,,['b'],293.30277059999935,None,b,2.8353229999993346,1,1,0.8636363636363636,None,295.7989302999995,None,295.7989302999995,None,,[0.8353229999993346],,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
22,0,22,0,,,,,,,,,,3,1,0,z,63,1,2.517541937862754,1.21250262048173,None,297.60484689999976,None,298.8049379600001,298.8049379600001,298.8216444600006,z,['z'],1.1181494000011298,[1.1181494000011298],None,300.8338308000002,None,z,1.1181494000011298,1,1,0.8695652173913043,None,303.3492710999999,None,303.3492710999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
23,0,23,0,,,,,,,,,,1,1,2,b,9,1,2.92731383428727,2.40378712856304,None,305.1555408999993,None,307.5384429600002,307.5384429600002,307.55526445999965,z,['z'],1.69523670000126,[1.69523670000126],None,309.5494471000002,None,z,1.69523670000126,0,0,0.8333333333333334,None,312.47415009999895,None,312.47415009999895,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
24,0,24,0,,,,,,,,,,2,3,2,z,63,1,2.82320408183943,1.90743690794447,None,314.2723683000004,None,316.15561765999917,316.15561765999917,316.17217105999987,None,[],,,['z'],318.1584939000004,None,z,2.1306023000015557,1,1,0.84,None,321.0220250000002,None,321.0220250000002,None,,[0.1306023000015557],,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
25,0,25,0,,,,,,,,,,0,3,2,b,63,1,3.3728785608729996,2.09887870490381,None,322.8052614999997,None,324.88738925999894,324.88738925999894,324.9041092600004,None,[],,,['b'],326.88093710000066,None,b,2.0220321000015247,1,1,0.8461538461538461,None,330.25230460000057,None,330.25230460000057,None,,[0.022032100001524668],,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
26,0,26,0,,,,,,,,,,1,1,0,b,63,1,4.77034425507967,1.53243550275999,None,332.05578009999954,None,333.57239395999966,333.57239395999966,333.58868456000016,b,['b'],1.1246585999997478,[1.1246585999997478],None,335.61474479999924,None,b,1.1246585999997478,1,1,0.8518518518518519,None,340.37080849999984,None,340.37080849999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
27,0,27,0,,,,,,,,,,3,2,0,z,27,1,2.6391747348430608,1.60731937853708,None,342.17219660000046,None,343.7555009600004,343.7555009600004,343.7724812599994,None,[],,,['z'],345.7580586999993,None,z,2.500684300001012,1,1,0.8571428571428571,None,348.39717930000006,None,348.39717930000006,None,,[0.5006843000010122],,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
28,0,28,0,,,,,,,,,,0,3,1,b,27,1,2.2759877950103027,1.96568735158996,None,350.2055505999997,None,352.1557455599999,352.1557455599999,352.1724881600006,None,[],,,None,354.15506359999927,None,None,[],0,3,0.8275862068965517,None,356.43302810000023,None,356.43302810000023,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
29,0,29,0,,,,,,,,,,3,0,1,b,63,1,4.01714354611405,1.1243895841892,None,358.23764389999997,None,359.3391221599999,359.3391221599999,359.3558914600002,b,['b'],1.2567870000002586,[1.2567870000002586],None,361.38138810000055,None,b,1.2567870000002586,1,1,0.8333333333333334,None,365.4013395999991,None,365.4013395999991,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
30,0,30,0,,,,,,,,,,2,0,2,z,27,1,3.71372710086949,2.96653053743745,None,367.2058206999991,None,370.1553835599992,370.1553835599992,370.1720615599992,z,['z'],1.639786900001127,[1.639786900001127],None,372.2002014999998,None,z,1.639786900001127,1,1,0.8387096774193549,None,375.91848579999896,None,375.91848579999896,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
31,0,31,0,,,,,,,,,,0,3,2,b,63,1,2.294664843639333,0.974903167432984,None,377.7222031000001,None,378.6715038599999,378.6715038599999,378.6878252600003,b,['b'],1.8177711000007548,[1.8177711000007548],None,380.7038833000006,None,b,1.8177711000007548,1,1,0.84375,None,383.01808879999953,None,383.01808879999953,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
32,0,32,0,,,,,,,,,,1,0,1,z,63,1,4.82531807167306,2.15533949826702,None,384.8227642999991,None,386.9554523600003,386.9554523600003,386.97207965999985,z,['z'],1.2957567000012205,[1.2957567000012205],None,388.97277609999946,None,z,1.2957567000012205,1,1,0.8484848484848485,None,393.8007450999994,None,393.8007450999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
33,0,33,0,,,,,,,,,,3,1,0,z,63,1,3.02234236141277,3.40155979865722,None,395.60547600000064,None,398.98867925999946,398.98867925999946,399.0046060600001,z,['z'],1.105832499999451,[1.105832499999451],None,401.02403869999944,None,z,1.105832499999451,1,1,0.8529411764705882,None,404.05088590000014,None,404.05088590000014,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
34,0,34,0,,,,,,,,,,0,3,2,b,63,0,3.7500315165247198,1.78643585472448,None,405.85568930000045,None,407.62232595999956,407.62232595999956,407.6389964600006,b,['b'],1.5769943000013882,[1.5769943000013882],None,409.64143739999963,None,b,1.5769943000013882,1,0,0.8571428571428571,None,413.3822170000003,None,413.3822170000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
35,0,35,0,,,,,,,,,,2,0,2,z,27,1,2.433630701072358,0.979776149765883,None,415.1890595999994,None,416.13894905999985,416.13894905999985,416.1555431599994,z,['z'],1.3651004000003013,[1.3651004000003013],None,418.18143210000017,None,z,1.3651004000003013,1,1,0.8611111111111112,None,420.6169573999996,None,420.6169573999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
36,0,36,0,,,,,,,,,,3,1,0,z,63,1,4.46924002178158,3.24569326556923,None,422.421761399999,None,425.63886925999975,425.63886925999975,425.6554874599991,z,['z'],1.8573083000010229,[1.8573083000010229],None,427.68095039999935,None,z,1.8573083000010229,1,1,0.8648648648648649,None,432.14945380000063,None,432.14945380000063,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
37,0,37,0,,,,,,,,,,1,3,1,z,27,1,4.7533305109883095,3.1424449555106,None,433.9554869000003,None,437.0723586600001,437.0723586600001,437.0890418599996,z,['z'],1.8271402000009402,[1.8271402000009402],None,439.11489079999956,None,z,1.8271402000009402,1,1,0.868421052631579,None,443.8677179999995,None,443.8677179999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
38,0,38,0,,,,,,,,,,2,2,3,b,63,1,2.526044641065533,2.10421507306074,None,445.67245059999914,None,447.75541915999963,447.75541915999963,447.77149546,z,['z'],1.6533337000018946,[1.6533337000018946],None,449.7896271999998,None,z,1.6533337000018946,0,0,0.8461538461538461,None,452.33297719999973,None,452.33297719999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
39,0,39,0,,,,,,,,,,0,2,3,z,63,1,3.35133458220192,0.80788063606262,None,454.13922289999937,None,454.92245865999973,454.92245865999973,454.93920296000067,z,['z'],1.5237471000000369,[1.5237471000000369],None,456.9638684999991,None,z,1.5237471000000369,1,1,0.85,None,460.3179249999994,None,460.3179249999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
40,0,40,0,,,,,,,,,,1,1,0,b,63,1,2.792365600763554,2.78346932462847,None,462.12244869999995,None,464.8892461599993,464.8892461599993,464.90586715999996,b,['b'],1.1678800000008778,[1.1678800000008778],None,466.93296460000056,None,b,1.1678800000008778,1,1,0.8536585365853658,None,469.7343036000002,None,469.7343036000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
41,0,41,0,,,,,,,,,,3,0,2,b,27,1,3.6438386551209,2.22427187882546,None,471.5391598999995,None,473.73853155999893,473.73853155999893,473.75497075999954,b,['b'],1.6131361999996443,[1.6131361999996443],None,475.7752717000003,None,b,1.6131361999996443,1,1,0.8571428571428571,None,479.41977679999945,None,479.41977679999945,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
42,0,42,0,,,,,,,,,,0,0,3,z,9,1,3.31929419319838,3.06992456303453,None,481.2222755999992,None,484.27257836000024,484.27257836000024,484.2895260600002,z,['z'],1.0366233000004286,[1.0366233000004286],None,486.2916146000007,None,z,1.0366233000004286,1,1,0.8604651162790697,None,489.6184157000007,None,489.6184157000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
43,0,43,0,,,,,,,,,,2,2,3,b,63,1,4.40017271499661,3.4543169006169,None,491.4218646999998,None,494.85690646,494.85690646,494.8726800600001,None,[],,,['b'],496.8600241999993,None,b,2.0210567000012816,1,1,0.8636363636363636,None,501.24801149999985,None,501.24801149999985,None,,[0.02105670000128157],,,,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,503.0561524000004,None,,,,,,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.03966240000045,None,None,508.03966240000045,513.0228482999992,,,,,,,,,,,,,CBC_1044,2,4,2,5,21,0.95,2023-12-19_14h26.34.109,MSI_TV_v3,2022.1.1,59.9766690759043,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[3, 1, 2, 0]",0.7272727272727273,1.0,0.8181818181818182,0.9090909090909091,36,3,5,,,,,,,,,,,,
