trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_3.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,,,,3,0.0,2.0,b,27.0,1.0,4.40017271499661,1.64421109900286,None,427.13435329999993,None,428.75113718000006,428.75113718000006,428.7676146799999,None,[],['z'],[1.62624199999982],430.7574289999998,None,z,3.62624199999982,0,0,0.5789473684210527,None,435.1594433,None,435.1594433,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
38,0,38,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.11514536789087,1.38289892513751,None,436.9677999999999,None,438.33424138000004,438.33424138000004,438.3510291799998,None,[],['b'],[0.8870024000002559],440.33831969999983,None,b,2.887002400000256,0,0,0.5641025641025641,None,444.46702030000006,None,444.46702030000006,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
39,0,39,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,2.7134565917469198,1.53122835510861,None,446.2677641,None,447.78436098000014,447.78436098000014,447.8012898800002,None,[],['z'],[1.856283699999949],449.78997560000016,None,z,3.856283699999949,0,0,0.55,None,452.5087112000001,None,452.5087112000001,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
40,0,40,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,2.91303524001082,1.90743690794447,None,454.31754409999985,None,456.20117127999987,456.20117127999987,456.21778597999986,None,[],['b'],[1.2570181999999477],458.20675389999997,None,b,3.2570181999999477,0,0,0.5365853658536586,None,461.13481219999994,None,461.13481219999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
41,0,41,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,3.2062024266105302,3.06992456303453,None,462.9343576000001,None,465.98453237999996,465.98453237999996,466.00106868000006,None,[],['b'],[1.2974377999998978],467.99020089999976,None,b,3.297437799999898,1,1,0.5476190476190477,None,471.1863346,None,471.1863346,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
42,0,42,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,3.68371079902891,3.33124983260532,None,473.00117869999985,None,476.3171741800001,476.3171741800001,476.33428338000016,None,[],['z'],[0.8882659000000785],478.3220534000002,None,z,2.8882659000000785,1,1,0.5581395348837209,None,482.01516649999985,None,482.01516649999985,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
43,0,43,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.73326136168326,1.78643585472448,None,483.8179878000001,None,485.5846251800003,485.5846251800003,485.60123988000026,None,[],['z'],[1.4342444000003525],487.5888154999998,None,z,3.4342444000003525,1,1,0.5681818181818182,None,491.321101,None,491.321101,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,493.1346142999996,None,,,,,,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.1179594,None,None,498.1179594,503.10127330000023,,,,,,,,,,,,,CBC_1041,2,1,1,7,18,0.95,2023-12-20_15h01.19.659,MSI_TV_v3,2022.1.1,60.11804779858617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[3, 0, 1, 2]",0.8181818181818182,0.45454545454545453,0.5454545454545454,0.45454545454545453,25,3,16,,,,,,,,,,,,
