trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.rt,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,,,,3,2,3,b,63,1,4.7533305109883095,1.52290599571961,None,,342.0120287,None,343.51200155999993,343.51200155999993,343.52818825999964,None,[],None,,345.51377929999944,None,None,[],0,3,0.5862068965517241,None,350.2717327999999,None,350.2717327999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
29,0,29,0,,,,,,,,,,2,1,3,z,27,1,4.190022164497369,3.06992456303453,None,,352.0786951,None,355.1285841599996,355.1285841599996,355.14525145999994,None,[],['z'],[0.32282910000049014],357.13603909999983,None,z,2.32282910000049,1,1,0.6,None,361.3120312000001,None,361.3120312000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
30,0,30,0,,,,,,,,,,1,0,1,b,63,1,2.433630701072358,0.77703640172831,None,,363.11202570000023,None,363.87860515999944,363.87860515999944,363.8952399599997,None,[],['z'],[1.7867117000005237],365.88435239999944,None,z,3.7867117000005237,0,0,0.5806451612903226,None,368.31081639999957,None,368.31081639999957,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
31,0,31,0,,,,,,,,,,2,2,3,z,63,1,3.6438386551209,2.22427187882546,None,,370.1118445000002,None,372.31203545999995,372.31203545999995,372.3288569600003,None,[],['z'],[0.12471720000030473],374.31673390000014,None,z,2.1247172000003047,1,1,0.59375,None,377.9528120999994,None,377.9528120999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
32,0,32,0,,,,,,,,,,0,1,2,b,9,1,2.496959177995529,1.95130344756745,None,,379.7620533999998,None,381.69497136000007,381.69497136000007,381.71189855999944,b,['b'],None,,383.73709080000026,None,b,1.4762019000008877,1,1,0.6060606060606061,None,386.24161279999953,None,386.24161279999953,None,1.4762019000008877,[1.4762019000008877],,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
33,0,33,0,,,,,,,,,,1,0,1,b,63,1,4.11514536789087,2.49839527409216,None,,388.04538349999984,None,390.52895146000026,390.52895146000026,390.5454393599997,b,['b'],None,,392.5693505999998,None,b,1.5825571000004857,1,1,0.6176470588235294,None,396.6903505999999,None,396.6903505999999,None,1.5825571000004857,[1.5825571000004857],,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
34,0,34,0,,,,,,,,,,3,1,2,z,9,1,2.693348633324513,3.33124983260532,None,,398.49578479999946,None,401.8120447599998,401.8120447599998,401.82872345999965,z,['z'],None,,403.85513509999964,None,z,1.5044611000002988,1,1,0.6285714285714286,None,406.5587052000001,None,406.5587052000001,None,1.5044611000002988,[1.5044611000002988],,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
35,0,35,0,,,,,,,,,,0,0,1,z,63,1,2.82320408183943,1.60731937853708,None,,408.3620215000001,None,409.9455043599995,409.9455043599995,409.9621564599996,z,['z'],None,,411.9885459999996,None,z,1.2660637000008137,1,1,0.6388888888888888,None,414.8249429999996,None,414.8249429999996,None,1.2660637000008137,[1.2660637000008137],,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
36,0,36,0,,,,,,,,,,1,1,0,z,63,0,2.792365600763554,3.1424449555106,None,,416.62904739999976,None,419.74584765999987,419.74584765999987,419.76244066000015,None,[],['z'],[0.1894731000002139],421.75015689999964,None,z,2.189473100000214,1,0,0.6486486486486487,None,424.5346030999999,None,424.5346030999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
37,0,37,0,,,,,,,,,,0,1,0,b,63,1,3.35133458220192,2.40378712856304,None,,426.3456335999999,None,428.7291055600002,428.7291055600002,428.74574335999966,None,[],['b'],[0.031514600001173676],430.7342486999996,None,b,2.0315146000011737,1,1,0.6578947368421053,None,434.0759473999997,None,434.0759473999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
38,0,38,0,,,,,,,,,,2,3,1,b,27,1,2.294664843639333,1.53243550275999,None,,435.87846739999986,None,437.3956480599994,437.3956480599994,437.4121055600002,None,[],['b'],[0.37797150000096735],439.4002187999995,None,b,2.3779715000009674,1,1,0.6666666666666666,None,441.69037169999956,None,441.69037169999956,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
39,0,39,0,,,,,,,,,,3,2,3,b,63,1,4.40017271499661,0.979776149765883,None,,443.4959822999999,None,444.4623412599998,444.4623412599998,444.4789842599997,None,[],['z'],[1.445246600000246],446.4681623999995,None,z,3.445246600000246,0,0,0.65,None,450.85554299999967,None,450.85554299999967,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
40,0,40,0,,,,,,,,,,1,2,0,z,27,1,3.31929419319838,2.09887870490381,None,,452.6623295999998,None,454.7457263600003,454.7457263600003,454.7622315599996,None,[],['b'],[0.11779280000064318],456.7516300999996,None,b,2.117792800000643,0,0,0.6341463414634146,None,460.07295369999974,None,460.07295369999974,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
41,0,41,0,,,,,,,,,,2,3,2,b,63,1,4.72585056748869,2.6299100644723,None,,461.8791020999997,None,464.4957409599996,464.4957409599996,464.51254105999976,None,[],['z'],[0.8822945000010805],466.5004737999998,None,z,2.8822945000010805,0,0,0.6190476190476191,None,471.2121296999994,None,471.2121296999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
42,0,42,0,,,,,,,,,,0,3,1,z,27,1,4.01714354611405,0.761758675042088,None,,473.0120608999996,None,473.7627538599994,473.7627538599994,473.77924836,z,['z'],None,,475.8035863999994,None,z,1.3688668000004327,1,1,0.627906976744186,None,479.8257208999994,None,479.8257208999994,None,1.3688668000004327,[1.3688668000004327],,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
43,0,43,0,,,,,,,,,,3,2,3,b,63,1,4.52047235037039,1.18065738546375,None,,481.62914269999965,None,482.79580485999975,482.79580485999975,482.81295076000004,b,['b'],None,,484.8410882999997,None,b,1.314142000001084,1,1,0.6363636363636364,None,489.3740742,None,489.3740742,None,1.314142000001084,[1.314142000001084],,,,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,491.1792005999996,None,,,,,,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.16247740000017,None,None,496.16247740000017,501.14592600000014,,,,,,,,,,,,,CBC_1054,1,5,2,2,7,0.95,2024-03-03_10h27.49.019,MSI_TV_v3,2022.1.1,60.03204510540935,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 0, 3, 2]",0.7272727272727273,0.6363636363636364,0.45454545454545453,0.7272727272727273,28,2,14,,,,,,,,,,,,
