trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,25.935487299999295,None,t,63.19350130000021,25.935487299999295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
,,,,,,,,,,None,89.15147330000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
0,0,0,0,,,,,,,,,,3,0,1,b,63,1,2.433630701072358,0.77703640172831,None,89.35172319999947,None,90.25859019999916,None,90.25859019999916,None,90.2693630999991,None,None,90.25859019999916,None,['b'],[0.5350572999996075],92.11787989999902,None,b,2.5350572999996075,1,1,1.0,94.55216409999957,None,None,94.55216409999957,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
1,0,1,0,,,,,,,,,,0,2,3,z,63,1,3.26539063535182,0.917519910446003,None,96.35187199999928,None,97.34616239999923,None,97.34616239999923,None,97.35239999999939,None,None,97.34616239999923,None,['b'],[0.7233582999997452],99.26817850000043,None,b,2.723358299999745,0,0,0.5,102.53378320000047,None,None,102.53378320000047,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
2,0,2,0,,,,,,,,,,1,0,2,z,27,1,2.92731383428727,1.52290599571961,None,104.33486939999966,None,105.88599909999903,None,105.88599909999903,None,105.88503830000009,None,None,105.88599909999903,None,['b'],[1.2844714000002568],107.85176499999943,None,b,3.284471400000257,0,0,0.3333333333333333,110.76369840000007,None,None,110.76369840000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
3,0,3,0,,,,,,,,,,3,0,1,b,63,1,4.190022164497369,0.974903167432984,None,112.56801260000066,None,113.55480689999968,None,113.55480689999968,None,113.55159870000024,None,None,113.55480689999968,None,['b'],[0.3501615999994101],115.53479929999958,None,b,2.35016159999941,1,1,0.5,119.72602539999934,None,None,119.72602539999934,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
4,0,4,0,,,,,,,,,,2,1,3,b,27,1,2.629554641171433,1.12425433982333,None,121.53456220000044,None,122.68867639999917,None,122.68867639999917,None,122.6850477,None,None,122.68867639999917,None,['b'],[0.35920919999989565],124.65201410000009,None,b,2.3592091999998956,1,1,0.6,127.26776389999941,None,None,127.26776389999941,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
5,0,5,0,,,,,,,,,,1,3,2,z,63,1,3.2062024266105302,1.25920145784721,None,129.06763030000002,None,130.3380806999994,None,130.3380806999994,None,130.33516780000028,None,None,130.3380806999994,None,['z'],[0.44541799999933573],132.31834010000057,None,z,2.4454179999993357,1,1,0.6666666666666666,135.50557280000066,None,None,135.50557280000066,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
6,0,6,0,,,,,,,,,,0,3,2,b,63,1,4.12485271162806,1.60731937853708,None,137.3182940000006,None,138.93914980000045,None,138.93914980000045,None,138.9350385999991,None,None,138.93914980000045,None,['b'],[0.9390923999999359],140.91814309999972,None,b,2.939092399999936,1,1,0.7142857142857143,145.02723250000054,None,None,145.02723250000054,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
7,0,7,0,,,,,,,,,,2,0,1,z,63,1,2.2759877950103027,2.22427187882546,None,146.8347372999997,None,149.0742052000005,None,149.0742052000005,None,149.085204799999,None,None,149.0742052000005,None,['b'],[2.104651700001341],151.05162670000027,None,b,4.104651700001341,0,0,0.625,153.32301860000007,None,None,153.32301860000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1024,5,4,2,2,23,0.95,2023-07-05_16h16.42.189,MSI_AV_v3,2022.1.1,60.01367111467251,
