trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,152.84224189999986,None,t,72.1794415000004,152.84224189999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
,,,,,,,,,,None,225.03986369999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
0,0,0,0,,,,,,,,,,2,0,1,b,63,1,4.72585056748869,0.917519910446003,None,225.24036549999983,None,226.31272890000037,None,226.31272890000037,None,226.3235278399996,None,['z'],[1.7814775999995618],226.31272890000037,None,None,228.1744722000003,None,z,1.7814775999995618,0,0,0.0,232.9285921999999,None,None,232.9285921999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
1,0,1,0,,,,,,,,,,3,2,3,z,63,1,3.7500315165247198,0.80788063606262,None,234.72285349999947,None,235.6036065999997,None,235.6036065999997,None,235.60655983999897,None,None,,235.6036065999997,None,['b'],237.5228217999993,None,b,2.8466570999989926,0,0,0.0,241.25911330000054,None,None,241.25911330000054,None,[0.8466570999989926],,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
2,0,2,0,,,,,,,,,,1,0,2,z,27,1,2.678526077912375,3.40155979865722,None,243.07371029999922,None,246.52910899999915,None,246.52910899999915,None,246.52348659999916,None,None,,246.52910899999915,None,['b'],248.47350890000052,None,b,2.3858877000002394,0,0,0.0,251.14027560000068,None,None,251.14027560000068,None,[0.3858877000002394],,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
3,0,3,0,,,,,,,,,,2,0,1,b,63,1,4.82531807167306,1.53243550275999,None,252.95618959999956,None,254.49645699999928,None,254.49645699999928,None,254.50679217999968,None,None,,254.49645699999928,None,['z'],256.4735055000001,None,z,2.2166532999999617,0,0,0.0,261.28165249999984,None,None,261.28165249999984,None,[0.21665329999996175],,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
4,0,4,0,,,,,,,,,,0,1,3,b,27,1,2.342239579230602,3.24569326556923,None,263.08938209999906,None,266.3758693,None,266.3758693,None,266.3737624000005,None,None,,266.3758693,None,['b'],268.323031599999,None,b,2.385260400000334,1,1,0.2,270.6461194000003,None,None,270.6461194000003,None,[0.3852604000003339],,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
5,0,5,0,,,,,,,,,,1,3,2,z,63,1,2.433630701072358,1.60731937853708,None,272.4567743000007,None,274.08129609999924,None,274.08129609999924,None,274.09033457999936,None,None,,274.08129609999924,None,['z'],276.05634330000066,None,z,2.5360150000014983,1,1,0.3333333333333333,278.47887810000066,None,None,278.47887810000066,None,[0.5360150000014983],,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
6,0,6,0,,,,,,,,,,3,3,2,b,63,0,3.02234236141277,1.94858485820231,None,280.29043439999987,None,282.2614188999996,None,282.2614188999996,None,282.2570881599997,None,None,,282.2614188999996,None,['z'],284.2404908999997,None,z,2.777623700001641,0,1,0.2857142857142857,287.25778569999966,None,None,287.25778569999966,None,[0.7776237000016408],,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
7,0,7,0,,,,,,,,,,0,0,1,z,63,1,4.61004669244928,1.96568735158996,None,289.0736467000006,None,291.06164779999926,None,291.06164779999926,None,291.07355138000054,None,['z'],[1.8564208000007056],291.06164779999926,None,None,293.0592457999992,None,z,1.8564208000007056,1,1,0.375,297.68109229999936,None,None,297.68109229999936,None,,,,,,,,,,,,,,,,,,,,,,CBC_1059,3,3,2,2,12,0.9,2024-01-26_16h15.47.111,MSI_AV_v3,2022.1.1,59.97231677832321,
