trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,25.572963800001162,None,t,54.44524779999847,25.572963800001162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
,,,,,,,,,,None,80.03889429999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
0,0,0,0,,,,,,,,,,2,1,3,b,27,1,3.26539063535182,1.95130344756745,None,80.23874360000082,None,82.17190231000113,82.17190231000113,82.18861930999974,z,"['z', 'b']",1.5006983000002947,"[1.5006983000002947, 1.5476007999986905]",None,84.19054739999956,None,z,1.5006983000002947,0,0,0.0,None,87.47453200000018,None,87.47453200000018,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
1,0,1,0,,,,,,,,,,1,3,2,z,63,1,2.294664843639333,2.96653053743745,None,89.25414509999973,None,92.20412761000061,92.20412761000061,92.22071830999975,b,"['b', 'z']",1.4771043000000645,"[1.4771043000000645, 1.5998066000011022]",None,94.23837230000026,None,b,1.4771043000000645,0,0,0.0,None,96.53093210000043,None,96.53093210000043,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
2,0,2,0,,,,,,,,,,0,3,2,b,63,1,3.35133458220192,1.12425433982333,None,98.33851270000014,None,99.43873411000077,99.43873411000077,99.45542001000085,z,"['z', 'b']",1.1934086000001116,"[1.1934086000001116, 1.246276100000614]",None,101.47967629999948,None,z,1.1934086000001116,0,0,0.0,None,104.82073380000111,None,104.82073380000111,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
3,0,3,0,,,,,,,,,,2,0,1,z,63,1,4.77723667052879,2.15533949826702,None,106.62219860000005,None,108.75549581000068,108.75549581000068,108.77214711000106,None,[],,,"['b', 'z']",110.75844210000105,None,b,2.080755400000271,0,0,0.0,None,115.52668860000085,None,115.52668860000085,None,"[0.08075540000027104, 0.29913350000060746]",,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
4,0,4,0,,,,,,,,,,3,0,3,b,9,1,4.82531807167306,2.09887870490381,None,117.33861030000116,None,119.42188970999977,119.42188970999977,119.4386742099994,z,"['z', 'b']",1.5311898999989353,"[1.5311898999989353, 1.8742050000000745]",None,121.46153950000007,None,z,1.5311898999989353,0,0,0.0,None,126.28107760000057,None,126.28107760000057,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
5,0,5,0,,,,,,,,,,0,3,2,b,63,1,4.61004669244928,1.96568735158996,None,128.08820190000006,None,130.02171500999958,130.02171500999958,130.03845671000073,None,[],,,['z'],132.02599920000102,None,z,2.766047000000981,0,0,0.0,None,136.6356833000009,None,136.6356833000009,None,[0.7660470000009809],,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
6,0,6,0,,,,,,,,,,1,0,2,z,27,1,2.666404967794728,2.40378712856304,None,138.4385413,None,140.82101501000017,140.82101501000017,140.8377769100005,None,[],,,['z'],142.82485760000054,None,z,2.841389299999719,1,1,0.14285714285714285,None,145.48373340000035,None,145.48373340000035,None,[0.8413892999997188],,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
7,0,7,0,,,,,,,,,,3,0,1,b,63,1,2.6391747348430608,1.34668860557497,None,147.2883839999995,None,148.62092991000083,148.62092991000083,148.6378857100006,None,[],,,None,150.61687080000047,None,None,[],0,3,0.125,None,153.25409440000112,None,153.25409440000112,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1024,4,1,2,1,23,0.95,2023-07-05_16h07.59.104,MSI_TV_v3,2022.1.1,59.93378515472615,
