trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
23;0;23;0;;;;;;;;;;2;2;3;b;63;1;2.496959178;0.807880636;None;344.0095227;None;344.7916446;344.7916446;344.8082037;None;[];['z'];[0.5034549000001789];346.7875345;None;z;2.5034549;0;0;0.291666667;None;349.2868891;None;349.2868891;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
24;0;24;0;;;;;;;;;;1;3;2;b;63;1;4.124852712;1.124389584;None;351.0922758;None;352.1912638;352.1912638;352.2078193;None;[];['b'];[0.1913113999999041];354.1919288;None;b;2.1913114;1;1;0.32;None;358.3289679;None;358.3289679;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
25;0;25;0;;;;;;;;;;0;0;1;z;63;1;2.693348633;2.155339498;None;360.1415199;None;362.2756161;362.2756161;362.2922551;None;[];['b'];[0.38086140000086743];364.2792009;None;b;2.3808614;0;0;0.307692308;None;366.9694761;None;366.9694761;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
26;0;26;0;;;;;;;;;;3;3;0;z;9;1;3.733261362;1.607319379;None;368.7758002;None;370.3582072;370.3582072;370.3752531;None;[];['z'];[1.2414927999998326];372.3536444;None;z;3.2414928;1;1;0.333333333;None;376.0778399;None;376.0778399;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
27;0;27;0;;;;;;;;;;1;3;2;b;63;1;4.017143546;1.12425434;None;377.8914478;None;378.9925039;378.9925039;379.0088906;None;[];['z'];[3.2485082000002876];380.9957817;None;z;5.2485082;0;0;0.321428571;None;385.0205278;None;385.0205278;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
28;0;28;0;;;;;;;;;;2;0;2;z;27;1;2.91303524;1.531228355;None;386.8258747;None;388.3413921;388.3413921;388.3585271;None;[];['b'];[0.198148499999661];390.3439308;None;b;2.1981485;0;0;0.310344828;None;393.2646147;None;393.2646147;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
29;0;29;0;;;;;;;;;;3;0;1;b;63;1;2.927313834;2.224271879;None;395.0759274;None;397.275857;397.275857;397.2923818;None;[];['b'];[0.6167332000004535];399.2774855;None;b;2.6167332;1;1;0.333333333;None;402.2146256;None;402.2146256;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
30;0;30;0;;;;;;;;;;0;0;1;z;63;1;2.666404968;3.454316901;None;404.025843;None;407.4590873;407.4590873;407.4759124;None;[];['z'];[0.6932658999994601];409.4632483;None;z;2.6932659;1;1;0.35483871;None;412.1400272;None;412.1400272;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
31;0;31;0;;;;;;;;;;1;1;3;z;27;1;2.526044641;1.21250262;None;413.941226;None;415.1257244;415.1257244;415.1424341;None;[];['z'];[0.7397511000008308];417.1289793;None;z;2.7397511;1;1;0.375;None;419.6542283;None;419.6542283;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
32;0;32;0;;;;;;;;;;2;2;3;b;63;1;2.792365601;2.104215073;None;421.4584554;None;423.5425889;423.5425889;423.5590675;None;[];['b'];[0.4170820999997886];425.5428278;None;b;2.4170821;1;1;0.393939394;None;428.3323947;None;428.3323947;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
33;0;33;0;;;;;;;;;;0;0;1;z;63;1;4.777236671;0.777036402;None;430.1425132;None;430.8928212;430.8928212;430.9093279;None;[];['b'];[0.5061703999999736];432.8947889;None;b;2.5061704;0;0;0.382352941;None;437.6802314;None;437.6802314;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
34;0;34;0;;;;;;;;;;3;1;0;z;63;1;4.52047235;3.245693266;None;439.4916259;None;442.7093582;442.7093582;442.7259992;None;[];['z'];[0.9891363000006095];444.7087058;None;z;2.9891363;1;1;0.4;None;449.2333434;None;449.2333434;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
35;0;35;0;;;;;;;;;;2;2;1;b;9;1;3.351334582;1.948584858;None;451.0424295;None;452.9763279;452.9763279;452.9928978;None;[];['b'];[0.6365461000004871];454.9730899;None;b;2.6365461;1;1;0.416666667;None;458.3208453;None;458.3208453;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
36;0;36;0;;;;;;;;;;3;0;1;b;63;1;2.823204082;1.786435855;None;460.1255011;None;461.8927552;461.8927552;461.909278;None;[];['z'];[1.0163799000001745];463.8947279;None;z;3.0163799;0;0;0.405405405;None;466.71671;None;466.71671;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
37;0;37;0;;;;;;;;;;1;1;3;z;27;1;3.265390635;1.275384627;None;468.5259988;None;469.7760094;469.7760094;469.7927565;None;[];['b'];[0.3953959999998915];471.7780644;None;b;2.395396;0;0;0.394736842;None;475.0575628;None;475.0575628;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
38;0;38;0;;;;;;;;;;0;1;0;b;63;1;4.725850567;1.258177479;None;476.8593412;None;478.0921668;478.0921668;478.1087169;None;[];['z'];[3.039588800000274];480.0885108;None;z;5.0395888;0;0;0.384615385;None;484.8216215;None;484.8216215;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
39;0;39;0;;;;;;;;;;2;3;2;z;63;0;3.713727101;1.907436908;None;486.6261788;None;488.5096884;488.5096884;488.5265314;None;[];['z'];[0.30432290000044304];490.5069511;None;z;2.3043229;1;0;0.4;None;494.2282229;None;494.2282229;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
40;0;40;0;;;;;;;;;;3;0;2;b;27;1;3.643838655;3.196300833;None;496.0428286;None;499.2093952;499.2093952;499.2261094;None;[];['b'];[1.1360277000003407];501.2132551;None;b;3.1360277;1;1;0.414634146;None;504.8680258;None;504.8680258;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
41;0;41;0;;;;;;;;;;1;2;3;z;63;1;4.115145368;2.403787129;None;506.6762343;None;509.0596335;509.0596335;509.0763303;None;[];['b'];[0.4660096000006888];511.0600538;None;b;2.4660096;0;0;0.404761905;None;515.1870901;None;515.1870901;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
42;0;42;0;;;;;;;;;;0;1;3;b;27;1;2.639174735;1.346688606;None;516.9927646;None;518.3263713;518.3263713;518.3429777;None;[];['z'];[0.5781926000008752];520.3286891;None;z;2.5781926;0;0;0.395348837;None;522.9828541;None;522.9828541;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
43;0;43;0;;;;;;;;;;2;3;2;z;63;1;2.275987795;1.644211099;None;524.7930552;None;526.40924;526.40924;526.4259767;None;[];['b'];[0.514778099999603];528.40263;None;b;2.5147781;0;0;0.386363636;None;530.719849;None;530.719849;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;532.5264692;None;;;;;;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537.5097734;None;None;537.5097734;542.4764205;;;;;;;;;;;;;CBC_1020;2;1;2;4;19;0.95;2023-06-28_15h03.37.595;MSI_TV_v3;01.01.2022;59.98220928
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;z;b;hard;[0, 1, 2, 3];[3, 0, 2, 1];0.181818182;0.454545455;0.545454545;0.363636364;17;0;27;;;;;;;;;;;
