trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,21.77305939999951,None,t,74.60307139999986,21.77305939999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
,,,,,,,,,,None,96.39464329999919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
0,0,0,0,,,,,,,,,,0,1,0,z,63,1,3.501824497,2.684881281,None,96.59456619999946,None,99.46149139999943,None,99.46149139999943,None,99.46047750999959,None,None,99.46149139999943,None,['b'],[0.09499780000078317],101.27785979999953,None,b,2.094997800000783,0,0,0.0,104.78537939999933,None,None,104.78537939999933,None,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
1,0,1,0,,,,,,,,,,3,3,2,b,63,1,4.21669271,2.108332021,None,106.79432980000001,None,108.98416839999936,None,108.98416839999936,None,108.97726068999972,None,None,108.98416839999936,None,['b'],[0.022598500000640342],110.89434679999977,None,b,2.0225985000006403,1,1,0.5,115.09190489999946,None,None,115.09190489999946,None,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
2,0,2,0,,,,,,,,,,2,2,0,b,27,1,1.6718976049999998,1.554037824,None,117.09454379999988,None,118.68760779999957,None,118.68760779999957,None,118.69450104999987,None,None,118.68760779999957,None,['b'],[0.43564229999992676],120.64467249999961,None,b,2.4356422999999268,1,1,0.6666666666666666,122.30930759999956,None,None,122.30930759999956,None,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
3,0,3,0,,,,,,,,,,0,1,0,z,63,1,3.589438522,1.883772966,None,124.31149370000003,None,126.21739589999925,None,126.21739589999925,None,126.2276656799997,None,None,126.21739589999925,None,['z'],[0.691163499999675],128.19384139999966,None,z,2.691163499999675,1,1,0.75,131.7614377,None,None,131.7614377,None,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
4,0,4,0,,,,,,,,,,1,3,1,z,27,1,4.268032915,1.142638656,None,133.76110739999967,None,134.95601169999918,None,134.95601169999918,None,134.96089361999913,None,None,134.95601169999918,None,['z'],[0.31908350000048813],136.89443089999986,None,z,2.319083500000488,1,1,0.8,141.15776239999923,None,None,141.15776239999923,None,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
5,0,5,0,,,,,,,,,,2,2,3,b,63,1,2.117809983,1.915207301,None,143.16025379999974,None,145.08421269999963,None,145.08421269999963,None,145.0942916799997,None,['b'],145.08421269999963,None,None,,147.07849929999975,None,b,1.8502087000006213,1,1,0.8333333333333334,149.20230279999942,None,None,149.20230279999942,None,[1.8502087000006213],,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
6,0,6,0,,,,,,,,,,3,2,3,z,63,0,1.543156518,2.349749758,None,151.21052809999946,None,153.5632345999993,None,153.5632345999993,None,153.56048083999997,None,None,153.5632345999993,None,['z'],[0.005926200000430981],155.54453039999953,None,z,2.005926200000431,1,0,0.8571428571428571,157.08099499999935,None,None,157.08099499999935,None,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
7,0,7,0,,,,,,,,,,1,1,0,b,63,1,3.478547126,0.789129603,None,159.09455669999988,None,159.90116119999948,None,159.90116119999948,None,159.9109869799997,None,None,159.90116119999948,None,['z'],[0.6333257000005688],161.8778814999996,None,z,2.6333257000005688,0,0,0.75,165.35137899999972,None,None,165.35137899999972,None,,,,,,,,,,,,,,,,,,,CBC_1001,3,6,1,6,0,0.80,2023-06-08_12h45.15.645,MSI_AV_v3,2022.1.1,59.700031223166214,
