ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,rewardPEOP,update2OP,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_alpha22,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,1,0,1,z,0,1,3,aud,B,63,1,0B,1B,0,1,b,2.25464279999869,1,0,0,0,0B,1B,B01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.159333463528259,0.499361343753093,-0.5,-0.000843094157087165,-0.5,0.00232815889316412,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,2,0,1,b,1,0,0,aud,A,63,1,0A,1A,1,0,z,1.56986979999965,0,1,0,0,1A,0A,A01,2.83321334405622,0.5,0.5,0.5,0.5,0.499156905842913,0.502328158893164,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.293323639759282,0.500565814033331,-0.5,-0.000843094157087165,-0.5,0.00232815889316412,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,3,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,2.18656360000023,0,1,1,1,3D,2D,D23,2.89037175789616,0.502328158893164,0.499156905842913,0.5,0.5,0.499156905842913,0.502328158893164,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.169584026560245,0.499626469075263,0.5,0.499484354029438,0.5,-0.0864684407344318,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,4,2,1,z,0,1,3,aud,B,9,1,2B,1B,0,1,b,2.28754330000083,1,0,0,0,2B,1B,B21,2.94443897916644,0.502328158893164,0.499156905842913,0.5,0.5,0.499156905842913,0.502328158893164,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.413531559265568,0.999484354029438,0.498838624420302,0.501161375579698,0.5,0.502328158893164,0.153604404467924,0.496010914335225,-0.5,-0.000843094157087165,-0.497671841106836,0.00231731824550048,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,5,0,2,b,1,0,0,aud,A,27,1,0A,2A,1,0,z,2.41652909999902,0,1,0,0,2A,0A,A02,2.99573227355399,0.502328158893164,0.499156905842913,0.5,0.5,0.499156905842913,0.504645477138665,0.499156905842913,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.413531559265568,0.999484354029438,0.498838624420302,0.501161375579698,0.5,0.502328158893164,0.136518151961008,0.495653235605577,-0.5,-0.000843094157087165,-0.497671841106836,0.00231731824550048,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,6,2,3,b,1,0,1,aud,C,63,1,2C,3C,1,0,b,2.19427229999928,1,0,1,1,2C,3C,C23,3.04452243772342,0.504645477138665,0.499156905842913,0.499156905842913,0.5,0.499156905842913,0.504645477138665,0.499156905842913,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.413531559265568,0.999484354029438,0.5,0.5,0.5,0.5,0.168750032820186,0.500660807055188,0.5,0.499484354029438,0.5,-0.0864684407344318,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,7,1,3,z,0,1,2,aud,D,27,1,1D,3D,0,1,z,1.58380880000186,0,1,1,1,3D,1D,D13,3.09104245335832,0.504645477138665,0.499156905842913,0.499156905842913,0.5,0.499156905842913,0.504645477138665,0.499156905842913,0.5,0.5,0.5,0.999484354029438,0.413531559265568,0.5,0.5,0.413531559265568,0.999484354029438,0.666552039268438,0.333447960731562,0.999484354029438,0.5,0.655594923407345,0.922511123341457,0.000515645970562195,0.000515114189028281,0.5,-0.0864684407344318,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,8,1,0,z,0,1,0,aud,A,63,1,1A,0A,0,1,b,1.65568639999947,1,0,0,0,1A,0A,A10,3.13549421592915,0.504645477138665,0.499156905842913,0.499156905842913,0.5,0.499156905842913,0.504645477138665,0.499156905842913,0.5,0.5,0.5,0.999484354029438,0.413531559265568,0.5,0.413531559265568,0.413531559265568,0.999999468218466,0.497266109650263,0.502733890349737,0.499156905842913,0.504645477138665,0.267108049444528,0.489405931969697,-0.499156905842913,-0.000841672541571736,-0.495354522861335,0.00230652807533738,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,9,2,0,b,1,0,1,aud,C,27,1,2C,0C,1,0,b,3.50904509999964,1,0,1,1,2C,0C,C20,3.17805383034795,0.506952005214002,0.498315233301341,0.499156905842913,0.5,0.499156905842913,0.504645477138665,0.499156905842913,0.5,0.5,0.5,0.999484354029438,0.413531559265568,0.5,0.413531559265568,0.413531559265568,0.999999468218466,0.666552039268438,0.333447960731562,0.999484354029438,0.5,0.0389987056017469,0.922251152486254,0.000515645970562195,0.000515114189028281,0.5,-0.0864684407344318,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
CBC_1007,CBC_1007_MSI_AV_v3_Vset2_Aset1_2023-06-21_15h59.48.192.csv,1,10,2,3,z,0,1,2,aud,D,63,1,2D,3D,0,1,z,1.15311800000018,0,1,1,1,3D,2D,D23,2.52572864430826,0.506952005214002,0.498315233301341,0.499156905842913,0.5,0.499156905842913,0.504645477138665,0.499156905842913,0.5,0.413531559265568,0.5,0.999999468218466,0.413531559265568,0.5,0.413531559265568,0.413531559265568,0.999999468218466,0.707447837206927,0.292552162793073,0.999999468218466,0.413531559265568,1.08073667307728,0.956011353744911,5.31781533918974e-07,5.31233111908604e-07,0.413531559265568,-0.0715148582483439,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.998968708058875,0.00168618831417433,0.172936881468864,0.00465631778632825,0.837270946302363,3.18771848050959,2.33000926901775,0.5,39.0787507723993
