ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0 belief,1 belief,2 belief,3 belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,fitCBCuniVsimpleRW_CBCsimpleSigmoid_startBelief,fitCBCuniVsimpleRW_CBCsimpleSigmoid_alpha1,fitCBCuniVsimpleRW_CBCsimpleSigmoid_beta,fit_CBCuniVsimpleRW_CBCsimpleSigmoid_NLL
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,1,3,1,z,0,1,2,aud,B,27,1,3,1,0,1,b,2.9377684000001,1,0,0,0,3,1,B31,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-7.40979136762744e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,2,2,3,b,1,0,0,aud,C,63,1,2,3,1,0,b,2.78220359999978,1,0,1,1,2,3,C23,2.83321334405622,0.5,0.5,0.5,0.499925902086324,0.5,0.499925902086324,0.500037051702292,0.499962948297708,0.500018526067906,0.500018526067906,0.499962948297708,7.40924227685984e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,3,2,3,z,0,1,1,aud,D,63,1,2,3,0,1,b,3.11583799999971,1,0,0,0,2,3,D23,2.89037175789616,0.5,0.5,0.500111144125061,0.499925902086324,0.500111144125061,0.499925902086324,0.500092617588238,0.499907382411762,0.500046309335838,0.500046309335838,-0.500092617588238,-7.41116392163906e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,4,1,0,b,1,0,2,aud,B,63,1,1,0,1,0,b,2.4467453999996,1,0,1,1,1,0,B10,2.94443897916644,0.5,0.5,0.500018505949021,0.499925902086324,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7.40979136762744e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,5,3,0,z,0,1,3,aud,A,9,1,3,0,0,1,b,3.26201209999999,1,0,0,0,3,0,A30,2.99573227355399,0.5,0.500074097913676,0.500018505949021,0.499925902086324,0.499925902086324,0.5,0.499962948297708,0.500037051702292,0.499981473932094,0.499981473932094,-0.499962948297708,-7.40924227685984e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,6,2,3,z,0,1,1,aud,D,63,1,2,3,0,1,z,2.97655020000002,0,1,1,1,3,2,D23,2.35137525716348,0.5,0.500074097913676,0.500018505949021,0.499888855874939,0.499888855874939,0.500018505949021,0.49993516895713,0.50006483104287,0.499967584099321,0.499967584099321,0.50006483104287,7.41075213663107e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,7,2,0,b,1,0,0,aud,C,27,1,2,0,1,0,b,2.61292690000028,1,0,1,1,2,0,C20,3.09104245335832,0.5,0.500074097913676,0.500018505949021,0.500009276478496,0.500018505949021,0.5,0.500009252803279,0.499990747196721,0.500004626455772,0.500004626455772,0.499990747196721,7.40965424494372e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,8,1,0,z,0,1,3,aud,A,63,1,1,0,0,1,z,2.60651700000017,0,1,1,1,0,1,A10,3.13549421592915,0.5,0.500074097913676,0.500083349345728,0.500009276478496,0.5,0.500074097913676,0.499962953788209,0.500037046211791,0.499981476677377,0.499981476677377,0.500037046211791,7.4103403770281e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,9,0,1,z,0,1,2,aud,B,63,1,0,1,0,1,z,2.37256109999907,0,1,1,1,1,0,B01,3.17805383034795,0.500037057191979,0.500074097913676,0.500083349345728,0.500009276478496,0.500074097913676,0.500037057191979,0.500018518302445,0.499981481697555,0.500009259259561,0.500009259259561,0.499981481697555,7.40951693411224e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,10,3,1,b,1,0,1,aud,D,27,1,3,1,1,0,b,2.42785499999991,1,0,1,1,3,1,D31,3.2188758248682,0.500037057191979,0.500092613471786,0.500083349345728,0.500009276478496,0.500009276478496,0.500092613471786,0.499958335748523,0.500041664251476,0.49997916763052,0.49997916763052,0.500041664251476,7.41040881444929e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,11,2,3,b,1,0,0,aud,C,63,1,2,3,1,0,b,2.66369180000038,1,0,1,1,2,3,C23,2.56494935746154,0.500037057191979,0.500092613471786,0.500083349345728,0.500032439836668,0.500083349345728,0.500032439836668,0.500025451807486,0.499974548192514,0.500012726052644,0.500012726052644,0.499974548192514,7.40941418246063e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,12,0,1,z,0,1,2,aud,B,63,1,0,1,0,1,z,1.35473869999987,0,1,1,1,1,0,B01,2.60268968544438,0.500037057191979,0.500092613471786,0.500099545949311,0.500032439836668,0.500092613471786,0.500037057191979,0.500027774538361,0.49997222546164,0.500013887431669,0.500013887431669,0.499972225461639,7.40937976055827e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,13,1,0,z,0,1,3,aud,A,63,1,1,0,0,1,z,2.52973549999933,0,1,1,1,0,1,A10,2.63905732961526,0.500037057191979,0.500101868335966,0.500099545949311,0.500032439836668,0.500037057191979,0.500101868335966,0.499967598929342,0.500032401070658,0.499983799275117,0.499983799275117,0.500032401070658,7.41027153797476e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,14,2,1,b,1,0,0,aud,C,9,1,2,1,1,0,b,2.79153049999968,1,0,1,1,2,1,C21,3.36729582998647,0.500041701644722,0.500101868335966,0.500099545949311,0.500032439836668,0.500099545949311,0.500101868335966,0.499998839040506,0.500001160959494,0.499999419513461,0.499999419513461,0.500001160959494,7.40980857256271e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,15,0,1,b,1,0,3,aud,A,63,1,0,1,1,0,b,4.45229959999961,1,0,1,1,0,1,A01,3.40119738166216,0.500041701644722,0.500101868335966,0.500072937126232,0.500032439836668,0.500041701644722,0.500101868335966,0.499969920972823,0.500030079027177,0.499984960310441,0.499984960310441,0.500030079027177,7.41023712625928e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,16,1,3,z,0,1,1,aud,D,27,1,1,3,0,1,z,2.51161570000022,0,1,1,1,3,1,D13,3.43398720448515,0.500044023344086,0.500101868335966,0.500072937126232,0.500032439836668,0.500032439836668,0.500101868335966,0.499965290412132,0.500034709587868,0.499982645003007,0.499982645003007,0.500034709587868,7.41030574923655e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,17,1,0,b,1,0,2,aud,B,63,1,1,0,1,0,b,2.41173729999991,1,0,1,1,1,0,B10,2.77258872223978,0.500044023344086,0.500101868335966,0.500072937126232,0.500039393469625,0.500101868335966,0.500044023344086,0.500028918277004,0.499971081722996,0.500014459307682,0.500014459307682,0.499971081722996,7.40936281082881e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,18,3,2,z,0,1,0,aud,C,63,0,3,2,1,0,z,2.80764780000027,0,1,1,0,2,3,C32,3.49650756146648,0.500044023344086,0.500103011905113,0.500072937126232,0.500039393469625,0.500072937126232,0.500039393469625,0.500016769944526,0.499983230055474,0.500008385070373,0.500008385070373,-0.500016769944526,-7.4100398912078e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,19,0,2,b,1,0,3,aud,A,27,1,0,2,1,0,z,2.78372979999949,0,1,0,0,2,0,A02,3.52636052461616,0.500044023344086,0.500103011905113,0.499942669545614,0.500039393469625,0.499942669545614,0.500044023344086,0.499949322426392,0.500050677573608,0.499974660916732,0.499974660916732,-0.499949322426392,-7.40904034713253e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
CBC_1093,CBC_1093_MSI_AV_v3_Vset3_Aset3_2024-05-05_14h06.59.630.csv,1,20,2,3,z,0,1,1,aud,D,63,1,2,3,0,1,z,2.41775760000019,0,1,1,1,3,2,D23,2.4567357728213,0.500044023344086,0.500103011905113,0.499875232022921,0.500039393469625,0.500039393469625,0.499875232022921,0.500082087731552,0.499917912268448,0.500041044345931,0.500041044345931,0.499917912268448,7.40857486169816e-05,0.5,0.000148195827352549,1.00001170084031,27.7259089518038
