ID,session,trialNr,visStimLeft,mod2Stim,match,correctKey,frequency,rewardAccurate,stimPair,probFB,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,reactionTime,choice,beliefPair,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
117,1,1,0,A,1,left,50,1,0A,0.81,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.59219547656406,0,0.5,0,0,-0.5,0.190934400766378,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.116923717343703,0.498837427497246,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,2,1,C,0,left,36,1,1C,0.81,2.30258509299405,0.690934400766378,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6.21719547656406,0,0.5,1,1,0.5,-0.300527921824316,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.0469508544982529,0.499520068913563,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,3,0,B,0,left,36,1,0B,0.81,2.39789527279837,0.690934400766378,0.5,0.5,0.5,0.5,0.5,0.5,0.199472078175684,0.5,8.01319547656406,0,0.5,1,1,0.5,-0.300527921824316,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.0252401388808716,0.500199360963168,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,4,2,C,1,left,50,1,2C,0.81,2.484906649788,0.690934400766378,0.5,0.5,0.199472078175684,0.5,0.5,0.5,0.199472078175684,0.5,11.5111954765641,0,0.5,0,0,-0.5,0.190934400766378,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.00750225310879861,0.499343665394347,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,5,0,A,1,left,50,0,0A,0.81,1.87180217690159,0.690934400766378,0.5,0.5,0.199472078175684,0.5,0.5,0.5,0.199472078175684,0.690934400766378,2.27919547656406,1,0.690934400766378,1,0,-0.690934400766378,-0.263846291558409,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.599563190892883,0.999999999590612,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,6,2,C,1,left,50,1,2C,0.81,1.94591014905531,0.427088109207969,0.5,0.5,0.199472078175684,0.5,0.5,0.5,0.199472078175684,0.690934400766378,1.99919547656406,1,0.690934400766378,1,1,0.309065599233622,0.185765684490135,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,3.85030678676924,0.999999999590781,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,7,1,A,0,left,14,1,1A,0.81,2.70805020110221,0.427088109207969,0.5,0.5,0.199472078175684,0.5,0.5,0.5,0.199472078175684,0.876700085256513,4.63619547656406,1,0.5,0,0,-0.5,-0.190934400766378,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.0812393625700484,0.500386888882094,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,8,0,B,0,left,36,1,0B,0.81,2.07944154167984,0.427088109207969,0.309065599233622,0.5,0.199472078175684,0.5,0.5,0.5,0.199472078175684,0.876700085256513,1.86919547656406,0,0.199472078175684,1,1,0.199472078175684,-0.119893858232232,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.837262460862767,0.999999999999998,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,9,2,C,1,left,50,1,2C,0.81,1.73460105538811,0.427088109207969,0.309065599233622,0.5,0.0795782199434521,0.5,0.5,0.5,0.199472078175684,0.876700085256513,1.92119547656406,1,0.876700085256513,1,1,0.123299914743487,0.0741101342779512,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,11.0217290031297,1,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,10,1,B,1,left,50,0,1B,0.81,2.89037175789616,0.427088109207969,0.309065599233622,0.5,0.0795782199434521,0.5,0.5,0.5,0.199472078175684,0.950810219534464,6.26319547656406,1,0.5,1,0,-0.5,-0.190934400766378,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.0462788745907201,0.500277162278589,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,11,0,C,0,left,14,1,0C,0.81,2.94443897916644,0.427088109207969,0.309065599233622,0.5,0.0795782199434521,0.309065599233622,0.5,0.5,0.199472078175684,0.950810219534464,5.70419547656406,1,0.5,0,0,-0.5,-0.190934400766378,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.0562696542540734,0.50123076068026,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,12,1,B,1,left,50,1,1B,0.81,2.30258509299405,0.427088109207969,0.309065599233622,0.5,0.0795782199434521,0.309065599233622,0.5,0.309065599233622,0.199472078175684,0.950810219534464,1.95319547656406,0,0.309065599233622,0,0,-0.690934400766378,0.263846291558409,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,2.08606076577902,0.999999999590202,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,13,2,A,0,left,36,1,2A,0.81,3.04452243772342,0.427088109207969,0.309065599233622,0.5,0.0795782199434521,0.572911890792031,0.5,0.309065599233622,0.199472078175684,0.950810219534464,4.57019547656406,1,0.5,0,0,-0.5,-0.190934400766378,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,0.0831719704869453,0.500815669363811,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,14,1,C,0,left,36,1,1C,0.81,2.39789527279837,0.427088109207969,0.309065599233622,0.309065599233622,0.0795782199434521,0.572911890792031,0.5,0.309065599233622,0.199472078175684,0.950810219534464,1.98019547656406,0,0.199472078175684,1,1,0.199472078175684,-0.119893858232232,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,6.66086745236253,0.999999999999998,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
117,1,15,2,A,0,left,36,1,2A,0.81,2.4423470353692,0.427088109207969,0.309065599233622,0.309065599233622,0.0795782199434521,0.572911890792031,0.5,0.309065599233622,0.0795782199434521,0.950810219534464,2.15819547656406,0,0.309065599233622,1,1,0.309065599233622,-0.185765684490135,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.576537354493968,0.374451001554101,1.71419547656406,13.859449895467,4.13525827201161,0.5,2.33984264372511,0.999999999589809,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.601055843648633,0.381868801532755,1.75408401726465,14.9954392158084,3.77467643360657,0.5,-10.5592646155241
