ID,session,trialNr,visStimLeft,mod2Stim,match,correctKey,frequency,rewardAccurate,stimPair,probFB,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,reactionTime,choice,beliefPair,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
106,1,1,0,A,1,left,50,1,0A,1,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.85311827438515,0,0.5,0,0,-0.5,0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.105734734007786,0.499093272341848,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,2,1,C,0,left,36,1,1C,1,2.30258509299405,0.979545357124922,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9.16211827438515,1,0.5,0,0,-0.5,-0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.0281387614369332,0.499875633546111,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,3,0,B,0,left,36,1,0B,1,2.39789527279837,0.979545357124922,0.5,0.5,0.5,0.5,0.5,0.5,0.0204546428750781,0.5,5.02511827438515,0,0.5,1,1,0.5,-0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.0927772286507448,0.50106598563132,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,4,2,C,1,left,50,1,2C,1,2.484906649788,0.979545357124922,0.5,0.5,0.0204546428750781,0.5,0.5,0.5,0.0204546428750781,0.5,4.07811827438515,1,0.5,1,1,0.5,0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.109189025206037,0.500554280030593,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,5,0,A,1,left,50,1,0A,1,1.87180217690159,0.979545357124922,0.5,0.5,0.0204546428750781,0.5,0.5,0.5,0.0204546428750781,0.979545357124922,2.83811827438515,1,0.979545357124922,1,1,0.0204546428750781,0.0196178580447842,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,13.8152920238633,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,6,2,C,1,left,50,1,2C,1,1.94591014905531,0.999163215169706,0.5,0.5,0.0204546428750781,0.5,0.5,0.5,0.0204546428750781,0.979545357124922,2.82711827438515,1,0.979545357124922,1,1,0.0204546428750781,0.0196178580447842,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,14.890116813549,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,7,1,A,0,left,14,1,1A,1,2.70805020110221,0.999163215169706,0.5,0.5,0.0204546428750781,0.5,0.5,0.5,0.0204546428750781,0.999163215169706,5.56711827438515,0,0.5,1,1,0.5,-0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.0801481535337193,0.502071638462212,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,8,0,B,0,left,36,1,0B,1,2.07944154167984,0.999163215169706,0.0204546428750781,0.5,0.0204546428750781,0.5,0.5,0.5,0.0204546428750781,0.999163215169706,2.84511827438515,0,0.0204546428750781,1,1,0.0204546428750781,-0.0196178580447842,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,12.225798619552,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,9,2,C,1,left,50,1,2C,1,1.73460105538811,0.999163215169706,0.0204546428750781,0.5,0.000836784830293969,0.5,0.5,0.5,0.0204546428750781,0.999163215169706,2.83411827438515,1,0.999163215169706,1,1,0.000836784830293924,0.000802552560560034,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,14.2257192304894,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,10,1,B,1,left,50,1,1B,1,2.89037175789616,0.999163215169706,0.0204546428750781,0.5,0.000836784830293969,0.5,0.5,0.5,0.0204546428750781,0.999965767730266,5.19511827438515,0,0.5,0,0,-0.5,0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.0884436514679398,0.499737846823058,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
