ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,rewardPEOP,update2OP,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_startBelief,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_alpha1,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_alpha2,fitCBCbothPairsRW_CBCsimpleSigmoid_pwBelief_beta,fit_CBCbothPairsRW_CBCsimpleSigmoid_pwBelief_NLL
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,1,3,1,z,0,1,0,tac,B,27,1,3B,1B,0,1,b,2.81618469999921,1,0,0,0,3B,1B,B31,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.127370625956901,-0.5,0.0129656956063653,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,2,2,3,b,1,0,3,tac,C,63,1,2C,3C,1,0,b,2.6072793000003,1,0,1,1,2C,3C,C23,2.83321334405622,0.5,0.5,0.5,0.5,0.5,0.512965695606365,0.5,0.372629374043099,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.127370625956901,0.5,-0.0129656956063653,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,3,2,3,z,0,1,1,tac,D,63,1,2D,3D,0,1,z,3.52911209999911,0,1,1,1,3D,2D,D23,2.89037175789616,0.5,0.5,0.5,0.5,0.5,0.512965695606365,0.5,0.372629374043099,0.5,0.5,0.627370625956901,0.487034304393635,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.127370625956901,0.5,-0.0129656956063653,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,4,1,0,b,1,0,0,tac,B,63,0,1B,0B,0,1,b,2.82849539999916,1,0,1,0,1B,0B,B10,2.94443897916644,0.5,0.5,0.5,0.5,0.5,0.512965695606365,0.5,0.372629374043099,0.5,0.5,0.627370625956901,0.487034304393635,0.5,0.5,0.487034304393635,0.627370625956901,0.512965695606365,0.487034304393635,0.512965695606365,0.487034304393635,0.516967081632657,0.516967081632657,-0.512965695606365,-0.1306735234876,-0.512965695606365,0.0133019141314792,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,5,3,0,z,0,1,2,tac,A,9,1,3A,0A,0,1,z,2.40197279999848,0,1,1,1,0A,3A,A30,2.99573227355399,0.5,0.5,0.5,0.5,0.500336218525114,0.382292172118765,0.5,0.372629374043099,0.5,0.5,0.627370625956901,0.487034304393635,0.5,0.5,0.487034304393635,0.627370625956901,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.127370625956901,0.5,-0.0129656956063653,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,6,2,3,z,0,1,1,tac,D,63,1,2D,3D,0,1,z,2.60978659999819,0,1,1,1,3D,2D,D23,2.35137525716348,0.627370625956901,0.5,0.5,0.487034304393635,0.500336218525114,0.382292172118765,0.5,0.372629374043099,0.5,0.5,0.627370625956901,0.487034304393635,0.5,0.5,0.487034304393635,0.627370625956901,0.639415372186196,0.360584627813804,0.639415372186196,0.360584627813804,0.6748148282446,0.6748148282446,0.360584627813804,0.0918557795101609,0.360584627813804,-0.00935046104913663,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,7,2,0,b,1,0,3,tac,C,27,1,2C,0C,1,0,z,2.58728809999957,0,1,0,0,0C,2C,C20,3.09104245335832,0.627370625956901,0.5,0.5,0.487034304393635,0.500336218525114,0.382292172118765,0.5,0.372629374043099,0.5,0.5,0.627370625956901,0.487034304393635,0.5,0.5,0.351234166764667,0.731271151696357,0.372629374043099,0.627370625956901,0.372629374043099,0.627370625956901,0.339175266252355,0.339175266252355,-0.372629374043099,-0.0949240732435955,-0.372629374043099,0.00966279807566654,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,8,1,0,z,0,1,2,tac,A,63,1,1A,0A,0,1,b,2.54484809999849,1,0,0,0,1A,0A,A10,3.13549421592915,0.627370625956901,0.5,0.5,0.487034304393635,0.500336218525114,0.382292172118765,0.5,0.372629374043099,0.277705300799503,0.5,0.637033424032568,0.487034304393635,0.5,0.5,0.351234166764667,0.731271151696357,0.372629374043099,0.627370625956901,0.372629374043099,0.627370625956901,0.339175266252355,0.339175266252355,-0.372629374043099,-0.0949240732435955,-0.372629374043099,0.00966279807566654,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,9,0,1,z,0,1,0,tac,B,63,1,0B,1B,0,1,b,2.64941749999889,1,0,0,0,0B,1B,B01,3.17805383034795,0.637033424032568,0.277705300799503,0.5,0.487034304393635,0.500336218525114,0.382292172118765,0.5,0.372629374043099,0.277705300799503,0.5,0.637033424032568,0.487034304393635,0.5,0.5,0.351234166764667,0.731271151696357,0.618025362730694,0.381974637269306,0.618025362730694,0.381974637269306,0.649771630128825,0.649771630128825,-0.618025362730694,-0.157436554616499,-0.618025362730694,0.0160262574603594,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
CBC_1010,CBC_1010_MSI_TV_v3_Vset6_Tset3_2024-03-20_15h09.46.455.csv,1,10,3,1,b,1,0,1,tac,D,27,1,3D,1D,1,0,z,2.84590190000017,0,1,0,0,1D,3D,D31,3.2188758248682,0.637033424032568,0.277705300799503,0.5,0.487034304393635,0.460588808114195,0.398000894729666,0.5,0.372629374043099,0.277705300799503,0.5,0.637033424032568,0.487034304393635,0.5,0.5,0.351234166764667,0.731271151696357,0.268728848303643,0.731271151696357,0.268728848303643,0.731271151696357,0.229516554943972,0.229516554943972,-0.268728848303643,-0.0684563232422243,-0.268728848303643,0.00696851289550832,0.5,0.254741251913802,0.0259313912127307,2.61823188482436,17.8296856259489
