ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,11,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,b,1.78561600000012,1,0,1,1,2C,3C,C23,2.56494935746154,0.656144788304532,0.5,0.5,0.5,0.5,0.650947480211594,0.5,0.5,0.5,0.5,0.585358461019963,0.494646673116511,0.5,0.5,0.494646673116511,0.494646673116511,0.54199599846161,0.45800400153839,0.585358461019963,0.494646673116511,0.434926297017572,0.803470766559118,0.414641538980037,0.0707863272845697,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,12,0,1,z,0,1,1,aud,B,63,1,0B,1B,0,1,z,1.59718599999997,0,1,1,1,1B,0B,B01,2.60268968544438,0.656144788304532,0.5,0.5,0.5,0.5,0.650947480211594,0.5,0.5,0.5,0.5,0.656144788304532,0.494646673116511,0.5,0.5,0.494646673116511,0.494646673116511,0.565575311995923,0.434424688004077,0.650947480211594,0.5,0.629136397331252,0.899970987575805,0.349052519788406,0.0595891718085568,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,13,1,0,z,0,1,0,aud,A,63,0,1A,0A,1,0,z,1.70943140000008,0,1,1,0,0A,1A,A10,2.63905732961526,0.656144788304532,0.5,0.5,0.5,0.5,0.710536652020151,0.5,0.5,0.5,0.5,0.656144788304532,0.494646673116511,0.5,0.5,0.494646673116511,0.494646673116511,0.567528215273762,0.432471784726238,0.656144788304532,0.5,0.590526343713023,0.905575656206885,-0.656144788304532,-0.00702511506938421,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,14,2,1,b,1,0,2,aud,C,9,1,2C,1C,1,0,z,3.18978910000033,0,1,0,0,1C,2C,C21,3.36729582998647,0.649119673235148,0.5,0.5,0.5,0.5,0.710536652020151,0.5,0.5,0.5,0.5,0.656144788304532,0.494646673116511,0.5,0.5,0.494646673116511,0.494646673116511,0.432471784726238,0.567528215273762,0.5,0.656144788304532,0.01320510556221,0.094775193715689,-0.5,-0.00535332688348938,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,15,0,1,b,1,0,0,aud,A,63,1,0A,1A,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN,,,A01,3.40119738166216,0.649119673235148,0.5,0.5,0.5,0.5,0.710536652020151,0.5,0.5,0.5,0.494646673116511,0.656144788304532,0.494646673116511,0.5,0.5,0.494646673116511,0.494646673116511,0,0,0,0,NaN,0,0,0,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,16,1,3,z,0,1,3,aud,D,27,1,1D,3D,0,1,z,2.58515670000043,0,1,1,1,3D,1D,D13,3.43398720448515,0.649119673235148,0.5,0.5,0.5,0.5,0.710536652020151,0.5,0.5,0.5,0.494646673116511,0.656144788304532,0.494646673116511,0.5,0.5,0.494646673116511,0.494646673116511,0.497308930382929,0.502691069617071,0.494646673116511,0.5,0.134806627870096,0.476449546830147,0.505353326883489,0.0862723645081856,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,17,1,0,b,1,0,1,aud,B,63,1,1B,0B,1,0,b,1.56869869999991,1,0,1,1,1B,0B,B10,2.77258872223978,0.649119673235148,0.5,0.5,0.5,0.5,0.710536652020151,0.5,0.5,0.5,0.494646673116511,0.656144788304532,0.494646673116511,0.5,0.5,0.494646673116511,0.580919037624696,0.586960048532527,0.413039951467473,0.710536652020151,0.5,0.776546586097796,0.948383521498757,0.289463347979849,0.0494162918104917,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,18,3,2,z,0,1,2,aud,C,63,0,3C,2C,1,0,z,3.12383599999976,0,1,1,0,2C,3C,C32,3.49650756146648,0.649119673235148,0.5,0.5,0.5,0.5,0.759952943830642,0.5,0.5,0.5,0.494646673116511,0.656144788304532,0.494646673116511,0.5,0.5,0.494646673116511,0.580919037624696,0.570168280093336,0.429831719906664,0.656144788304532,0.494646673116511,0.132638404060345,0.912930540191679,-0.656144788304532,-0.00702511506938421,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,19,0,2,b,1,0,0,aud,A,27,1,0A,2A,1,0,b,1.14921000000004,1,0,1,1,0A,2A,A02,3.52636052461616,0.649119673235148,0.5,0.5,0.5,0.5,0.759952943830642,0.5,0.5,0.5,0.494646673116511,0.649119673235148,0.494646673116511,0.5,0.5,0.494646673116511,0.580919037624696,0.564884309575576,0.435115690424424,0.649119673235148,0.5,0.210246836316478,0.898065089710663,0.350880326764852,0.0599012093896588,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,20,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,z,2.32911330000024,0,1,1,1,3D,2D,D23,2.4567357728213,0.709020882624807,0.5,0.5,0.5,0.5,0.759952943830642,0.5,0.5,0.5,0.494646673116511,0.649119673235148,0.494646673116511,0.5,0.5,0.494646673116511,0.580919037624696,0.540105575906066,0.459894424093934,0.580919037624696,0.494646673116511,0.277067775831074,0.792349182949001,0.419080962375304,0.0715442119822416,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.170716922039925,0.0107066537669788,0.94813123991894,6.33069951830914,2.6439512386549,0.5,53.1532921424344
