trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
30,0,30,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,2.0691390047117237,0.760509851028298,None,356.56028329999936,None,357.2944183299999,357.2944183299999,None,[],['b'],[1.1166907999995601],359.2987467999992,None,b,3.11669079999956,1,1,0.4838709677419355,361.39074469999923,None,None,361.39074469999923,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
31,0,31,0,,,,,,,,,,0.0,0,1.0,50.0,1.0,3.22645636662535,1.85507739556255,None,363.1942976999999,None,365.0275034299996,365.0275034299996,b,['b'],None,,367.03318769999987,None,b,1.4335200000004988,1,1,0.5,370.2753189999994,None,None,370.2753189999994,None,,1.4335200000004988,[1.4335200000004988],,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
32,0,32,0,,,,,,,,,,1.0,2,0.0,36.0,1.0,2.661399651610695,0.872854310065634,None,372.07757989999936,None,372.92737813000014,372.92737813000014,None,[],['z'],[2.457851699999992],374.93292739999924,None,z,4.457851699999992,1,1,0.5151515151515151,377.6082544000001,None,None,377.6082544000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
33,0,33,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,3.0109893695593497,2.9722947448457,None,379.41090839999924,None,382.36096492999997,382.36096492999997,None,[],['z'],[0.08083209999949759],384.3669639,None,z,2.0808320999994976,1,1,0.5294117647058824,387.39053559999957,None,None,387.39053559999957,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
34,0,34,0,,,,,,,,,,2.0,2,1.0,50.0,0.0,2.0935163976022517,0.823898895776125,None,389.1943470999995,None,389.99431052999927,389.99431052999927,b,['b'],None,,392.0013046999993,None,b,1.9865865000001577,1,0,0.5428571428571428,394.1067648999997,None,None,394.1067648999997,None,,1.9865865000001577,[1.9865865000001577],,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
35,0,35,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,4.79396941305267,2.55132244875705,None,395.91075309999997,None,398.44436482999964,398.44436482999964,None,[],['z'],[0.2119077000006655],400.4510008999996,None,z,2.2119077000006655,1,1,0.5555555555555556,405.25638889999937,None,None,405.25638889999937,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
36,0,36,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,2.396355568442425,2.41859016397919,None,407.0608313999992,None,409.46133882999976,409.46133882999976,None,[],['b'],[0.01258239999970101],411.4671521,None,b,2.012582399999701,1,1,0.5675675675675675,413.89133049999964,None,None,413.89133049999964,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
37,0,37,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,4.3560033776911595,2.46643561303325,None,415.69401449999987,None,418.14430722999924,418.14430722999924,None,[],['b'],[1.9487970000000132],420.1492619999999,None,b,3.948797000000013,1,1,0.5789473684210527,424.52244919999976,None,None,424.52244919999976,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
38,0,38,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,3.3535975560099702,0.864984636888209,None,426.3276178999995,None,427.17770873,427.17770873,None,[],['z'],[1.397718399999576],429.1820111999996,None,z,3.397718399999576,0,0,0.5641025641025641,432.5573332999993,None,None,432.5573332999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
39,0,39,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,2.93061443445534,2.2926827756088,None,434.36100179999994,None,436.62824352999934,436.62824352999934,None,[],['z'],[0.14340460000039457],438.6331928999998,None,z,2.1434046000003946,1,1,0.575,441.59085460000006,None,None,441.59085460000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
40,0,40,0,,,,,,,,,,0.0,2,0.0,14.0,1.0,3.00616914487701,2.711340609857,None,443.3945469,None,446.07771812999937,446.07771812999937,z,['z'],None,,448.08366529999967,None,z,1.859884399999828,1,1,0.5853658536585366,451.1062443999999,None,None,451.1062443999999,None,,1.859884399999828,[1.859884399999828],,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
41,0,41,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,2.664345149861413,1.90695111352951,None,452.91079099999934,None,454.79429422999993,454.79429422999993,None,[],['z'],[0.04705279999961931],456.7985630999992,None,z,2.0470527999996193,1,1,0.5952380952380952,459.49234139999953,None,None,459.49234139999953,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,461.2944527999998,None,,,,,,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.2946060999993,None,None,466.2946060999993,None,,,,,,,,,,,,CBC_1089,2,3,1,3,18,0.95,2024-10-02_14h23.15.490,MSI_TV_v1,2022.1.1,60.330551089607354,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[0, 1, 2]",b,z,0.35714285714285715,0.5714285714285714,0.8571428571428571,23,3,16,,,,,,,,,,,,
