trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,433.4861348000004,None,t,75.18812390000039,433.4861348000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
,,,,,,,,,,None,508.6964779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
0,0,0,0,,,,,,,,,,1,2,0,36,1,4.89745263827305,1.49618260131236,None,508.89654059999975,None,510.37973422999994,510.37973422999994,None,[],['b'],[0.44093119999979535],512.3901203000005,None,b,2.4409311999997954,1,1,1.0,517.3334420000001,None,None,517.3334420000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
1,0,1,0,,,,,,,,,,0,1,1,50,1,3.19303509672656,2.41859016397919,None,519.1133737999999,None,521.5130310300005,521.5130310300005,None,[],['z'],[0.463893499999358],523.5142465999998,None,z,2.463893499999358,1,1,1.0,526.7254082,None,None,526.7254082,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
2,0,2,0,,,,,,,,,,2,2,1,50,1,4.638307379983409,1.1680331695907,None,528.5288214000002,None,529.6798308299999,529.6798308299999,None,[],['b'],[0.578219199999694],531.6841202000005,None,b,2.578219199999694,0,0,0.6666666666666666,536.3288837999999,None,None,536.3288837999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
3,0,3,0,,,,,,,,,,2,2,1,50,1,2.9608932424063896,0.872854310065634,None,538.1301100000001,None,538.9792308299998,538.9792308299998,None,[],['z'],[0.3240520999997898],540.9755903000005,None,z,2.32405209999979,1,1,0.75,543.9462487000001,None,None,543.9462487000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
4,0,4,0,,,,,,,,,,1,0,1,50,1,4.85706913915242,1.14006717102905,None,545.7465597,None,546.8622623300002,546.8622623300002,None,[],['b'],[0.429099099999803],548.8586045000002,None,b,2.429099099999803,0,0,0.6,553.7408471999997,None,None,553.7408471999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
5,0,5,0,,,,,,,,,,0,1,1,50,1,3.00616914487701,1.09364692357212,None,555.5463202999999,None,556.6130612299999,556.6130612299999,None,[],['b'],[1.2144287999999506],558.6169295999998,None,b,3.2144287999999506,0,0,0.5,561.6380522999998,None,None,561.6380522999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
6,0,6,0,,,,,,,,,,2,0,0,14,1,3.75606544973216,2.71666458349534,None,563.4465756,None,566.1467345300002,566.1467345300002,None,[],['z'],[0.7530324999997902],568.1499656000005,None,z,2.75303249999979,0,0,0.42857142857142855,571.9234557999998,None,None,571.9234557999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
7,0,7,0,,,,,,,,,,0,1,1,50,1,2.0691390047117237,0.859460502749755,None,573.7299358,None,574.5633457300005,574.5633457300005,None,[],['b'],[0.7215393999995285],576.5689172000002,None,b,2.7215393999995285,0,0,0.375,578.6571402999998,None,None,578.6571402999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
8,0,8,0,,,,,,,,,,1,2,0,36,1,2.661399651610695,2.9722947448457,None,580.4635232,None,583.41328733,583.41328733,None,[],['z'],[1.2161310000001322],585.4188361000006,None,z,3.216131000000132,0,0,0.3333333333333333,588.0905319000003,None,None,588.0905319000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
9,0,9,0,,,,,,,,,,2,1,0,36,1,3.08399219778019,2.55132244875705,None,589.8965923000005,None,592.4299366300006,592.4299366300006,None,[],['b'],[1.1632271999997101],594.4334761999999,None,b,3.16322719999971,1,1,0.4,597.5419114000006,None,None,597.5419114000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1049,3,2,3,5,2,0.95,2024-01-23_16h10.37.518,MSI_TV_v1,2022.1.1,59.95024129977866,
