trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,0,1,1,50,1,4.3560033776911595,2.24098228083631,None,563.6500391,None,565.9407001,None,565.95021184,None,None,565.9407001,None,['b'],[0.5330600999996022],567.8835704000003,None,b,2.5330600999996022,0,0,0.6333333333333333,572.2545834000002,None,None,572.2545834000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
30,0,30,0,,,,,,,,,,1,2,1,50,0,3.0109893695593497,3.44771472893932,None,574.0669768999996,None,577.5730676000003,None,577.5842322399998,None,['z'],577.5730676000003,None,None,,579.5166551000002,None,z,1.0867648999992525,1,0,0.6451612903225806,582.5381168000004,None,None,582.5381168000004,None,[1.0867648999992525],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
31,0,31,0,,,,,,,,,,0,1,1,50,1,3.3535975560099702,0.859460502749755,None,584.3501237,None,585.2547473000004,None,585.2669825400002,None,['z'],585.2547473000004,None,None,,587.2003498000004,None,z,1.2573114999995596,1,1,0.65625,590.5660344999997,None,None,590.5660344999997,None,[1.2573114999995596],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
32,0,32,0,,,,,,,,,,1,0,0,36,1,3.19303509672656,1.93473628110684,None,592.3668372000002,None,594.3516537000005,None,594.3504686000006,None,None,594.3516537000005,None,['b'],[0.8283854999990581],596.3000128000003,None,b,2.828385499999058,1,1,0.6666666666666666,599.5061563999998,None,None,599.5061563999998,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
33,0,33,0,,,,,,,,,,0,2,0,36,1,3.75606544973216,2.41859016397919,None,601.3167641999999,None,603.7930828999997,None,603.8000906400006,None,['b'],603.7930828999997,None,None,,605.7334798000002,None,b,1.1492700999997396,1,1,0.6764705882352942,609.5069872000004,None,None,609.5069872000004,None,[1.1492700999997396],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
34,0,34,0,,,,,,,,,,2,0,1,50,1,2.143942873030107,0.872854310065634,None,611.3157553000001,None,612.2410239000001,None,612.2505814400005,None,None,612.2410239000001,None,['z'],[1.580643899998904],614.1835817000001,None,z,3.580643899998904,1,1,0.6857142857142857,616.3323897,None,None,616.3323897,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
35,0,35,0,,,,,,,,,,0,2,0,36,1,3.9110799880328697,2.96697800987238,None,618.1337724000005,None,621.1560656000001,None,621.1671842400004,None,['b'],621.1560656000001,None,None,,623.1002801000004,None,b,1.1825487999994948,1,1,0.6944444444444444,627.0256623000005,None,None,627.0256623000005,None,[1.1825487999994948],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
36,0,36,0,,,,,,,,,,2,0,1,50,1,2.0691390047117237,2.32696722275902,None,628.8327199000005,None,631.2070143999999,None,631.21723074,None,None,631.2070143999999,None,['z'],[0.029715699999542267],633.1504132,None,z,2.0297156999995423,1,1,0.7027027027027027,635.2404019000005,None,None,635.2404019000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
37,0,37,0,,,,,,,,,,1,2,1,50,1,2.9608932424063896,2.711340609857,None,637.0504829000001,None,639.8041494999998,None,639.8003829999998,None,['z'],639.8041494999998,None,None,,641.7490741000001,None,z,1.4197072999995726,1,1,0.7105263157894737,644.7252025999996,None,None,644.7252025999996,None,[1.4197072999995726],,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
38,0,38,0,,,,,,,,,,0,0,0,14,1,3.8484563543876202,2.79689535976632,None,646.5339142000003,None,649.3725669000005,None,649.3836405000002,None,None,649.3725669000005,None,['z'],[0.5700904999994236],651.3336331999999,None,z,2.5700904999994236,0,0,0.6923076923076923,655.1916730000003,None,None,655.1916730000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
39,0,39,0,,,,,,,,,,2,1,0,36,1,2.260653249681576,0.864984636888209,None,656.9995337,None,657.9082399999998,None,657.91715754,None,None,657.9082399999998,None,['z'],[0.6458148999990954],659.8497130000005,None,z,2.6458148999990954,0,0,0.675,662.1162262999997,None,None,662.1162262999997,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
40,0,40,0,,,,,,,,,,1,2,1,50,1,3.08399219778019,1.85507739556255,None,663.9171760999998,None,665.8229308,None,665.8338054400004,None,None,665.8229308,None,['z'],[1.9363213999995423],667.7671863000005,None,z,3.9363213999995423,1,1,0.6829268292682927,670.8597412999998,None,None,670.8597412999998,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
41,0,41,0,,,,,,,,,,2,1,0,36,1,2.533372966674614,2.71666458349534,None,672.6665413999999,None,675.4123719999998,None,675.4163863600003,None,None,675.4123719999998,None,['z'],[1.4423841999996512],677.3671929000002,None,z,3.442384199999651,0,0,0.6666666666666666,679.9080294000005,None,None,679.9080294000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,681.7173419999999,None,,,,,,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.7172121000003,None,None,686.7172121000003,None,,,,,,,,,,,,CBC_1080,001,5,1,7,9,0.95,2024-04-12_14h59.49.236,MSI_AV_v1,2022.1.1,59.992536928324014,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[1, 2, 0]",z,b,0.5714285714285714,0.7142857142857143,0.7142857142857143,28,0,14,,,,,,,,,,,,
