trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,20.20064529999945,None,t,65.94181120000212,20.20064529999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
,,,,,,,,,,None,86.17315899999812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
0,0,0,0,,,,,,,,,,0,2,1,50,1,2.269747919971076,2.18142366553255,None,86.37300200000027,None,88.84926669999913,None,88.85617739999725,None,['b'],[1.6420789000039804],88.84926669999913,None,None,90.55649500000072,None,b,1.6420789000039804,1,1,1.0,92.86341099999845,None,None,92.86341099999845,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
1,0,1,0,,,,,,,,,,2,1,1,50,1,3.8484563543876202,1.49618260131236,None,94.65651579999758,None,96.25952830000097,None,96.25620059999856,None,['z'],[1.6129901000022073],96.25952830000097,None,None,98.15658089999852,None,z,1.6129901000022073,0,0,0.5,102.00621379999939,None,None,102.00621379999939,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
2,0,2,0,,,,,,,,,,0,0,0,36,1,3.8873543302872697,2.9722947448457,None,103.80673749999914,None,106.8464415999988,None,106.85642179999778,None,None,,106.8464415999988,None,['z'],108.77328579999812,None,z,2.3365469000018493,1,1,0.6666666666666666,112.68279859999893,None,None,112.68279859999893,None,[0.3365469000018493],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
3,0,3,0,,,,,,,,,,1,1,0,36,1,3.3535975560099702,1.1680331695907,None,114.49002149999797,None,115.73313159999816,None,115.73981069999937,None,['z'],[1.5393165000023146],115.73313159999816,None,None,117.65626379999958,None,z,1.5393165000023146,1,1,0.75,121.03104220000023,None,None,121.03104220000023,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
4,0,4,0,,,,,,,,,,2,0,0,14,1,4.638307379983409,2.71666458349534,None,122.84026660000018,None,125.60437889999957,None,125.60640419999982,None,['b'],[1.4786566000002495],125.60437889999957,None,None,127.55687100000068,None,b,1.4786566000002495,0,0,0.6,132.20616470000095,None,None,132.20616470000095,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
5,0,5,0,,,,,,,,,,0,2,1,50,1,2.096051788593735,2.96697800987238,None,134.00697189999846,None,137.02784450000036,None,137.0404076000006,None,['b'],[1.7455130000016652],137.02784450000036,None,None,138.97355029999744,None,b,1.7455130000016652,1,1,0.6666666666666666,141.08321629999773,None,None,141.08321629999773,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
6,0,6,0,,,,,,,,,,1,0,1,50,1,4.08205346963855,1.90695111352951,None,142.89017179999792,None,144.84558040000047,None,144.8568374999988,None,None,,144.84558040000047,None,['z'],146.79011669999818,None,z,2.0418941999996605,0,0,0.5714285714285714,150.88067529999898,None,None,150.88067529999898,None,[0.041894199999660486],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
7,0,7,0,,,,,,,,,,1,0,1,50,1,2.8965037234387068,3.44771472893932,None,152.68946929999947,None,156.1771774000008,None,156.19024179999832,None,None,,156.1771774000008,None,['b'],158.12338629999795,None,b,2.0364379999991797,1,1,0.625,161.03196469999966,None,None,161.03196469999966,None,[0.03643799999917974],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
8,0,8,0,,,,,,,,,,2,2,0,36,1,3.00565230777806,0.864984636888209,None,162.8397468999974,None,163.74540479999996,None,163.75676899999888,None,None,,163.74540479999996,None,['b'],165.68936929999836,None,b,3.0370684000008623,0,0,0.5555555555555556,168.7151156,None,None,168.7151156,None,[1.0370684000008623],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
9,0,9,0,,,,,,,,,,0,0,0,36,1,3.6791616380244196,2.711340609857,None,170.52288340000086,None,173.25315659999978,None,173.25616519999747,None,"['b', 'b']","[1.080904599999485, 1.9257656000008865]",173.25315659999978,None,None,175.22356239999863,None,b,1.080904599999485,0,0,0.5,178.9146636000005,None,None,178.9146636000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
10,0,10,0,,,,,,,,,,2,2,0,36,1,4.18755802100366,0.886051557539332,None,180.7229041999999,None,181.65856509999867,None,181.65667539999777,None,None,,181.65856509999867,None,['b'],183.60627390000082,None,b,4.461271000000124,0,0,0.45454545454545453,187.81369959999938,None,None,187.81369959999938,None,[2.4612710000001243],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
11,0,11,0,,,,,,,,,,0,1,0,14,1,4.057112590273469,1.52074017648695,None,189.6236828000001,None,191.1716477000009,None,191.17271169999802,None,['b'],[1.914522000002762],191.1716477000009,None,None,193.12408819999837,None,b,1.914522000002762,0,0,0.4166666666666667,197.19592609999745,None,None,197.19592609999745,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
12,0,12,0,,,,,,,,,,1,0,1,50,1,2.9608932424063896,0.859460502749755,None,199.0063482000005,None,199.90926469999977,None,199.9071288999985,None,None,,199.90926469999977,None,['b'],201.8571465999994,None,b,2.782225400002062,1,1,0.46153846153846156,204.83165799999915,None,None,204.83165799999915,None,[0.7822254000020621],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
13,0,13,0,,,,,,,,,,2,1,1,50,1,3.0795770157756097,1.14006717102905,None,206.6395811000002,None,207.8296526999984,None,207.84031089999843,None,None,,207.8296526999984,None,['b'],209.77386879999904,None,b,2.320340500002203,1,1,0.5,212.86411109999972,None,None,212.86411109999972,None,[0.32034050000220304],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
14,0,14,0,,,,,,,,,,0,0,0,36,1,2.038421555814887,1.931001549337,None,214.67388159999973,None,216.63896720000048,None,216.63994270000038,None,"['b', 'b']","[0.9695419000017864, 1.6727842000000237]",216.63896720000048,None,None,218.59053239999776,None,b,0.9695419000017864,0,0,0.4666666666666667,220.64682080000057,None,None,220.64682080000057,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
15,0,15,0,,,,,,,,,,2,1,1,50,0,2.664345149861413,2.46643561303325,None,222.4572143999976,None,224.98004079999737,None,224.99062479999992,None,"['b', 'b']","[1.0651971000006597, 1.847738100001152]",224.98004079999737,None,None,226.9230494000003,None,b,1.0651971000006597,1,0,0.5,229.59007030000066,None,None,229.59007030000066,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
16,0,16,0,,,,,,,,,,0,2,1,50,1,3.78496720151373,2.79689535976632,None,231.39057630000025,None,234.24363339999763,None,234.24076810000042,None,"['b', 'b']","[1.1755906000034884, 1.906708600003185]",234.24363339999763,None,None,236.1904880000002,None,b,1.1755906000034884,1,1,0.5294117647058824,239.98978839999836,None,None,239.98978839999836,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
17,0,17,0,,,,,,,,,,1,1,0,36,1,3.19303509672656,1.49331160364633,None,241.7907226999996,None,243.33001700000023,None,243.34049169999997,None,None,,243.33001700000023,None,['z'],245.2739045999988,None,z,2.7072713999987172,1,1,0.5555555555555556,248.48335579999912,None,None,248.48335579999912,None,[0.7072713999987172],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
18,0,18,0,,,,,,,,,,0,2,1,50,1,2.070770331037005,2.46471651569721,None,250.28978389999975,None,252.76793199999884,None,252.77306699999897,None,['b'],[1.4916508000023896],252.76793199999884,None,None,254.7241092999975,None,b,1.4916508000023896,1,1,0.5789473684210527,256.8142712999979,None,None,256.8142712999979,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
19,0,19,0,,,,,,,,,,1,0,1,50,1,2.435645686656409,0.872854310065634,None,258.6240919999982,None,259.5420871999995,None,259.5405448999991,None,None,,259.5420871999995,None,['b'],261.4907983999983,None,b,3.5518077999986417,1,1,0.6,263.94838959999834,None,None,263.94838959999834,None,[1.5518077999986417],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
20,0,20,0,,,,,,,,,,0,1,0,14,1,2.0691390047117237,1.92795341140246,None,265.75758719999794,None,267.72821309999927,None,267.7406867999991,None,['b'],[1.5767745000011928],267.72821309999927,None,None,269.674145099998,None,b,1.5767745000011928,0,0,0.5714285714285714,271.7644403999984,None,None,271.7644403999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
21,0,21,0,,,,,,,,,,1,0,1,50,1,2.755584162388418,2.68012679460483,None,273.5747937999986,None,276.3105672999991,None,276.3073853999995,None,None,,276.3105672999991,None,['z'],278.25736010000037,None,z,3.1969635000023118,0,0,0.5454545454545454,281.0238661000003,None,None,281.0238661000003,None,[1.1969635000023118],,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
22,0,22,0,,,,,,,,,,2,1,1,50,1,3.22645636662535,2.31238477131615,None,282.82421500000055,None,285.1765577999977,None,285.1742803999987,None,['b'],[1.4000484000025608],285.1765577999977,None,"['b', 'b']",287.1245257999981,None,b,1.4000484000025608,1,1,0.5652173913043478,290.36520290000044,None,None,290.36520290000044,None,"[0.7380765999987489, 1.830556600001728]",,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
23,0,23,0,,,,,,,,,,2,1,1,50,1,3.9110799880328697,2.13476920223271,None,292.1749600999974,None,294.3638465999975,None,294.3741132999996,None,['b'],[1.3362347000002046],294.3638465999975,None,None,296.3068667000007,None,b,1.3362347000002046,1,1,0.5833333333333334,300.22966839999935,None,None,300.22966839999935,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,2,3,1,2,10,0.95,2024-02-07_15h52.15.487,MSI_AV_v1,2022.1.1,60.029378377852716,
