trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,133.99234200000137,None,t,62.79786249999597,133.99234200000137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
,,,,,,,,,,None,196.8084873000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
0,0,0,0,,,,,,,,,,1,2,1,50,1,2.533372966674614,1.931001549337,None,197.00864530000035,None,199.1854944000006,None,199.1916016400035,None,['b'],[1.6263619999990624],199.1854944000006,None,None,200.9419839000002,None,b,1.6263619999990624,0,0,0.0,203.52599040000132,None,None,203.52599040000132,None,,,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
1,0,1,0,,,,,,,,,,2,0,1,50,1,3.78496720151373,1.49331160364633,None,205.29108149999956,None,206.88404900000023,None,206.89194588000245,None,None,,206.88404900000023,None,['z'],208.7751829000008,None,z,3.4112335999998322,1,1,0.5,212.60841140000048,None,None,212.60841140000048,None,[1.4112335999998322],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
2,0,2,0,,,,,,,,,,0,2,0,36,1,2.096051788593735,3.25187717164471,None,214.39159890000155,None,217.71868929999982,None,217.725153340002,None,['b'],[1.3816928999985976],217.71868929999982,None,None,219.6419844000011,None,b,1.3816928999985976,1,1,0.6666666666666666,221.74855910000042,None,None,221.74855910000042,None,,,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
3,0,3,0,,,,,,,,,,1,0,0,36,1,2.664345149861413,0.872854310065634,None,223.55855439999868,None,224.4780114999994,None,224.47516220000034,None,None,,224.4780114999994,None,['b'],226.4250651000002,None,b,3.115331099998002,1,1,0.75,229.09846480000124,None,None,229.09846480000124,None,[1.1153310999980022],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
4,0,4,0,,,,,,,,,,0,1,1,50,1,3.0795770157756097,1.85507739556255,None,230.90799310000148,None,232.8323898000017,None,232.84180874000305,None,['z'],[1.4421971999981906],232.8323898000017,None,None,234.7585865000001,None,z,1.4421971999981906,1,1,0.8,237.84759580000173,None,None,237.84759580000173,None,,,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
5,0,5,0,,,,,,,,,,2,2,0,14,1,3.8873543302872697,0.823898895776125,None,239.6584197000011,None,240.5305812000006,None,240.54161521999995,None,None,,240.5305812000006,None,['b'],242.47549290000097,None,b,2.08839469999657,1,1,0.8333333333333334,246.37409399999888,None,None,246.37409399999888,None,[0.08839469999657013],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
6,0,6,0,,,,,,,,,,0,0,0,14,1,4.89745263827305,2.2926827756088,None,248.1755445000017,None,250.51535729999887,None,250.52506761999976,None,None,,250.51535729999887,None,"['z', 'b', 'b', 'b']",252.458508300002,None,z,3.0409176999964984,0,0,0.7142857142857143,257.3657686000006,None,None,257.3657686000006,None,"[1.0409176999964984, 2.3348321999983455, 2.649011399997107, 2.9860935999968206]",,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
7,0,7,0,,,,,,,,,,1,2,1,50,1,3.0109893695593497,2.18142366553255,None,259.17447339999853,None,261.3736372000021,None,261.37429338,None,['z'],[1.7914208999973198],261.3736372000021,None,None,263.32531500000186,None,z,1.7914208999973198,1,1,0.75,266.3498130000007,None,None,266.3498130000007,None,,,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
8,0,8,0,,,,,,,,,,2,1,0,36,1,2.260653249681576,2.93253104700369,None,268.1590337000016,None,271.14656990000003,None,271.1589180200011,None,None,,271.14656990000003,None,['z'],273.0923537999988,None,z,2.414037799997459,0,0,0.6666666666666666,275.36535269999877,None,None,275.36535269999877,None,[0.41403779999745893],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
9,0,9,0,,,,,,,,,,0,2,0,36,1,3.00565230777806,2.711340609857,None,277.17561790000036,None,279.934540000002,None,279.94209752000313,None,None,,279.934540000002,None,['z'],281.874697700001,None,z,2.323249199998827,0,0,0.6,284.8995157999998,None,None,284.8995157999998,None,[0.32324919999882695],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
10,0,10,0,,,,,,,,,,2,1,0,36,1,4.79595120749692,2.55132244875705,None,286.70877480000127,None,289.31360420000055,None,289.32551272000126,None,None,,289.31360420000055,None,['z'],291.25907820000066,None,z,2.485839199998736,0,0,0.5454545454545454,296.0670147000019,None,None,296.0670147000019,None,[0.48583919999873615],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
11,0,11,0,,,,,,,,,,1,2,1,50,0,3.08399219778019,0.864984636888209,None,297.8757743999995,None,298.7984132999991,None,298.8087431200023,None,None,,298.7984132999991,None,['z'],300.7421429999995,None,z,3.438090999996348,1,0,0.5833333333333334,303.83271230000173,None,None,303.83271230000173,None,[1.4380909999963478],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
12,0,12,0,,,,,,,,,,0,1,1,50,1,3.22645636662535,2.41859016397919,None,305.6421445999986,None,308.11478290000014,None,308.12554692000265,None,None,,308.11478290000014,None,['z'],310.058469399999,None,z,3.392792399998143,1,1,0.6153846153846154,313.29886610000176,None,None,313.29886610000176,None,[1.392792399998143],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
13,0,13,0,,,,,,,,,,2,0,1,50,1,2.396355568442425,1.49618260131236,None,315.10838090000107,None,316.64800749999995,None,316.65866552000296,None,None,,316.64800749999995,None,['z'],318.5921337,None,z,2.4026293999959307,1,1,0.6428571428571429,320.9979824000002,None,None,320.9979824000002,None,[0.4026293999959307],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
14,0,14,0,,,,,,,,,,0,2,0,36,1,3.8484563543876202,0.859460502749755,None,322.80847659999927,None,323.71424839999963,None,323.72533392000184,None,None,,323.71424839999963,None,['z'],325.6579272000017,None,z,2.8379782999982126,0,0,0.6,329.51627279999957,None,None,329.51627279999957,None,[0.8379782999982126],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
15,0,15,0,,,,,,,,,,2,0,1,50,1,2.8965037234387068,0.886051557539332,None,331.3256141999991,None,332.2604214999992,None,332.25893859999996,None,None,,332.2604214999992,None,['b'],334.2092526999986,None,b,3.3297022999977344,0,0,0.5625,337.1167256000008,None,None,337.1167256000008,None,[1.3297022999977344],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
16,0,16,0,,,,,,,,,,0,1,1,50,1,3.00616914487701,2.46471651569721,None,338.925669799999,None,341.4460370000015,None,341.4421637000014,None,None,,341.4460370000015,None,['b'],343.39138040000034,None,b,3.8955120999999053,0,0,0.5294117647058824,346.4159251000019,None,None,346.4159251000019,None,[1.8955120999999053],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
17,0,17,0,,,,,,,,,,1,0,0,36,1,4.3560033776911595,2.13476920223271,None,348.22596630000044,None,350.41168760000073,None,350.4086124000023,None,None,,350.41168760000073,None,['b'],352.3589309000017,None,b,2.1096844999992754,1,1,0.5555555555555556,356.73246500000096,None,None,356.73246500000096,None,[0.10968449999927543],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
18,0,18,0,,,,,,,,,,0,1,1,50,1,4.638307379983409,0.767372347918183,None,358.54211059999943,None,359.36190120000174,None,359.3594097000023,None,None,,359.36190120000174,None,['z'],361.3081459999994,None,z,2.269365899996046,1,1,0.5789473684210527,365.96165530000144,None,None,365.96165530000144,None,[0.2693658999960462],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
19,0,19,0,,,,,,,,,,1,2,1,50,1,2.9608932424063896,2.99272735241982,None,367.775794600002,None,370.81473840000035,None,370.82572692000247,None,None,,370.81473840000035,None,['z'],372.75905219999913,None,z,2.288492199997563,1,1,0.6,375.733645100001,None,None,375.733645100001,None,[0.28849219999756315],,,,,,,,,,,,,,,,,,,,CBC_1056,1,5,2,6,9,0.9,2024-02-07_14h44.14.721,MSI_AV_v1,2022.1.1,59.993580686875895,
