trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,1,1,0,36,1,4.75208449114276,1.92795341140246,None,358.6374204999993,None,360.5375505900003,360.5375505900003,None,[],['b'],[0.41065250000065134],362.53842749999967,None,b,2.4106525000006513,1,1,0.7333333333333333,367.31472360000043,None,None,367.31472360000043,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
30,0,30,0,,,,,,,,,,2,0,0,14,1,2.435645686656409,3.44771472893932,None,369.1211282999993,None,372.55417439000047,372.55417439000047,None,[],['b'],[0.7202715000003082],374.5557831999995,None,b,2.720271500000308,1,1,0.7419354838709677,377.0143121000001,None,None,377.0143121000001,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
31,0,31,0,,,,,,,,,,1,2,0,14,1,3.22645636662535,0.872854310065634,None,378.8209031999995,None,379.67100879000026,379.67100879000026,None,[],['b'],[0.24922139999944193],381.66948090000005,None,b,2.249221399999442,1,1,0.75,384.91466779999973,None,None,384.91466779999973,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
32,0,32,0,,,,,,,,,,2,1,1,50,1,2.93061443445534,0.886051557539332,None,386.7211038000005,None,387.5877582900004,387.5877582900004,None,[],['b'],[1.6945344000014302],389.5888200999998,None,b,3.69453440000143,0,0,0.7272727272727273,392.52999330000057,None,None,392.52999330000057,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
33,0,33,0,,,,,,,,,,0,2,1,50,1,2.070770331037005,2.9722947448457,None,394.33751250000023,None,397.28765008999943,397.28765008999943,None,[],['z'],[1.323338700000022],399.2885320000005,None,z,3.323338700000022,1,1,0.7352941176470589,401.3817170000002,None,None,401.3817170000002,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
34,0,34,0,,,,,,,,,,0,2,1,50,1,2.038421555814887,3.19646747994707,None,403.18759769999997,None,406.3699998900003,406.3699998900003,None,[],['b'],[1.849044700000377],408.36235169999964,None,b,3.849044700000377,0,0,0.7142857142857143,410.4126658999994,None,None,410.4126658999994,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
35,0,35,0,,,,,,,,,,1,1,0,36,1,3.9110799880328697,2.79689535976632,None,412.22106449999956,None,415.00420799000057,415.00420799000057,None,[],['b'],[0.3934232999999949],417.0041259999998,None,b,2.393423299999995,1,1,0.7222222222222222,420.92304259999946,None,None,420.92304259999946,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
36,0,36,0,,,,,,,,,,2,2,0,36,1,2.755584162388418,1.931001549337,None,422.73767699999917,None,424.65413749,424.65413749,None,[],['z'],[1.3085796000013943],426.6548729999995,None,z,3.3085796000013943,0,0,0.7027027027027027,429.42001320000054,None,None,429.42001320000054,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
37,0,37,0,,,,,,,,,,1,0,1,50,1,3.8484563543876202,1.49331160364633,None,431.22106800000074,None,432.6878254899995,432.6878254899995,None,[],['b'],[2.1729123999994044],434.68274070000007,None,b,4.172912399999404,0,0,0.6842105263157895,438.54612239999915,None,None,438.54612239999915,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
38,0,38,0,,,,,,,,,,2,2,0,36,1,4.057112590273469,1.1680331695907,None,440.35432220000075,None,441.50439058999945,441.50439058999945,None,[],['z'],[1.850964199998998],443.5040073,None,z,3.850964199998998,0,0,0.6666666666666666,447.57967350000035,None,None,447.57967350000035,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
39,0,39,0,,,,,,,,,,0,0,0,36,1,2.096051788593735,2.24098228083631,None,449.38783279999916,None,451.6044213899997,451.6044213899997,None,[],['b'],[0.5479617000000871],453.60579099999995,None,b,2.547961700000087,1,1,0.675,455.7150822000003,None,None,455.7150822000003,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
40,0,40,0,,,,,,,,,,2,1,1,50,1,4.79595120749692,1.85507739556255,None,457.5201653000004,None,459.3545275900007,459.3545275900007,None,[],['z'],[0.7991714000017964],461.3537785000008,None,z,2.7991714000017964,1,1,0.6829268292682927,466.1631006000007,None,None,466.1631006000007,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
41,0,41,0,,,,,,,,,,1,0,1,50,1,2.661399651610695,1.52074017648695,None,467.9701351999993,None,469.4712940900001,469.4712940900001,None,[],['z'],[0.5884968000009394],471.4708845999994,None,z,2.5884968000009394,1,1,0.6904761904761905,474.1490247999991,None,None,474.1490247999991,None,,,,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,475.95445499999914,None,,,,,,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.95338190000075,None,None,480.95338190000075,None,,,,,,,,,,,,CBC_1039,4,2,3,6,16,0.95,2024-01-31_15h54.46.456,MSI_TV_v1,2022.1.1,60.07676609116642,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[2, 0, 1]",z,b,0.7857142857142857,0.6428571428571429,0.6428571428571429,27,0,15,,,,,,,,,,,,
