trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,195.15440750000016,None,t,81.0892517000002,195.15440750000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
,,,,,,,,,,None,276.26270620000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
0,0,0,0,,,,,,,,,,1,0,0,36,1,3.19303509672656,2.24098228083631,None,276.46278900000016,None,278.9843770000002,None,278.98042891000017,None,None,278.9843770000002,None,['z'],[0.5354387000002134],280.6962784000002,None,z,2.5354387000002134,0,0,0.0,283.9542213,None,None,283.9542213,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
1,0,1,0,,,,,,,,,,0,1,1,50,1,3.3535975560099702,2.96697800987238,None,285.7131257000001,None,288.7735588999999,None,288.78002412000006,None,None,288.7735588999999,None,['z'],[0.2174896000001354],290.6797996999999,None,z,2.2174896000001354,1,1,0.5,294.0920805999999,None,None,294.0920805999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
2,0,2,0,,,,,,,,,,2,0,1,50,1,3.75606544973216,0.886051557539332,None,295.8631948000002,None,296.8475355999999,None,296.8466975200002,None,['z'],296.8475355999999,None,None,,298.7463031000002,None,z,1.8428666999998313,1,1,0.6666666666666666,302.52163070000006,None,None,302.52163070000006,None,[1.8428666999998313],,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
3,0,3,0,,,,,,,,,,0,1,1,50,1,4.638307379983409,2.46471651569721,None,304.3294971999999,None,306.85008819999985,None,306.8466526500001,None,None,306.85008819999985,None,['b'],[0.3065919999999096],308.79627770000025,None,b,2.3065919999999096,0,0,0.5,313.4518293000001,None,None,313.4518293000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
4,0,4,0,,,,,,,,,,2,2,0,14,1,4.89745263827305,0.864984636888209,None,315.2627146,None,316.2123305,None,316.2137289300001,None,None,316.2123305,None,['z'],[0.8020513000001301],318.1287821000001,None,z,2.80205130000013,0,0,0.4,323.03599600000007,None,None,323.03599600000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
5,0,5,0,,,,,,,,,,0,1,1,50,1,2.661399651610695,0.767372347918183,None,324.84644979999985,None,325.66847259999986,None,325.6803813400003,None,None,325.66847259999986,None,['z'],[0.19377760000043054],327.61298940000006,None,z,2.1937776000004305,1,1,0.5,330.2848217999999,None,None,330.2848217999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
6,0,6,0,,,,,,,,,,1,0,0,36,1,3.0109893695593497,2.31238477131615,None,332.09630100000004,None,334.45489750000024,None,334.46318164000024,None,None,334.45489750000024,None,['b'],[0.3543977999997878],336.39707069999986,None,b,2.354397799999788,1,1,0.5714285714285714,339.4201366000002,None,None,339.4201366000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
7,0,7,0,,,,,,,,,,2,1,0,36,1,3.00565230777806,1.23760834810881,None,341.22925609999993,None,342.51784540000017,None,342.52989794000007,None,['b'],342.51784540000017,None,None,,344.46272350000027,None,b,1.8838184000001092,1,1,0.625,347.4852218000001,None,None,347.4852218000001,None,[1.8838184000001092],,,,,,,,,,,,,,,,,,,,,,CBC_1098,1,5,1,5,3,0.95,2024-05-08_14h34.35.081,MSI_AV_v1,2022.1.1,59.94596470742784,
