trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,93.86386289999973,None,t,83.19686790000014,93.86386289999973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
,,,,,,,,,,None,177.09236690000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
0,0,0,0,,,,,,,,,,1,2,0,36,1,2.93061443445534,1.49331160364633,None,177.2927625000002,None,179.0263445999999,None,179.02617116999926,None,['z'],[1.6295291000005818],179.0263445999999,None,None,180.75920099999985,None,z,1.6295291000005818,0,0,0.0,183.6990295000005,None,None,183.6990295000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
1,0,1,0,,,,,,,,,,0,0,0,36,1,4.057112590273469,3.093067417437,None,185.4927005999998,None,188.67610680000053,None,188.67680507999992,None,None,,188.67610680000053,None,['z'],190.57608960000016,None,z,2.5231628000001365,0,0,0.0,194.6508756000003,None,None,194.6508756000003,None,[0.5231628000001365],,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
2,0,2,0,,,,,,,,,,1,1,0,14,1,2.260653249681576,1.85507739556255,None,196.45848220000062,None,198.38221590000012,None,198.39318386999975,None,None,,198.38221590000012,None,['z'],200.3094428000004,None,z,2.6015236000002915,0,0,0.0,202.58163179999974,None,None,202.58163179999974,None,[0.6015236000002915],,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
3,0,3,0,,,,,,,,,,2,2,1,50,1,3.78496720151373,1.14006717102905,None,204.39257970000017,None,205.6254729000002,None,205.62678357999974,None,None,,205.6254729000002,None,['b'],207.52616130000024,None,b,2.252180600000429,0,0,0.0,211.33248449999974,None,None,211.33248449999974,None,[0.25218060000042897],,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
4,0,4,0,,,,,,,,,,0,1,1,50,1,2.8965037234387068,2.32696722275902,None,213.14250150000044,None,215.51862950000032,None,215.52690956000023,None,None,,215.51862950000032,None,['z'],217.45937130000038,None,z,3.202659599999606,1,1,0.2,220.36478249999982,None,None,220.36478249999982,None,[1.2026595999996061],,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
5,0,5,0,,,,,,,,,,0,1,1,50,1,3.8484563543876202,2.79689535976632,None,222.17606720000003,None,225.03380370000013,None,225.04309236000026,None,None,,225.03380370000013,None,['z'],226.97588059999998,None,z,3.040768400000161,1,1,0.3333333333333333,230.8315577000003,None,None,230.8315577000003,None,[1.040768400000161],,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
6,0,6,0,,,,,,,,,,2,2,1,50,1,2.435645686656409,2.24098228083631,None,232.64275139999972,None,234.92919020000045,None,234.92656794999994,None,None,,234.92919020000045,None,['z'],236.8754853999999,None,z,2.1176666000001205,1,1,0.42857142857142855,239.3307808999998,None,None,239.3307808999998,None,[0.11766660000012052],,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
7,0,7,0,,,,,,,,,,0,0,0,36,1,4.89745263827305,3.44771472893932,None,241.14252000000033,None,244.65299359999972,None,244.66011175999992,None,None,,244.65299359999972,None,['b'],246.59297909999987,None,b,4.085070900000574,1,1,0.5,251.50066930000048,None,None,251.50066930000048,None,[2.0850709000005736],,,,,,,,,,,,,,,,,,,,CBC_1133,001,3,2,7,14,0.95,2024-10-11_14h20.04.910,MSI_AV_v1,2022.1.1,59.872531380556566,
