trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
15,0,15,0,,,,,,,,,,1,2,1,50,1,3.0109893695593497,1.14006717102905,None,499.8826256999996,None,501.07121979999965,None,501.0825607400003,None,None,501.07121979999965,None,['z'],[0.7678575999998429],503.01596290000043,None,z,2.767857599999843,0,0,0.5,506.03802270000006,None,None,506.03802270000006,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
16,0,16,0,,,,,,,,,,2,0,1,50,1,2.269747919971076,3.093067417437,None,507.84908250000035,None,510.9884674,None,510.9995699399998,None,None,510.9884674,None,['b'],[0.5355234999997265],512.9332546999999,None,b,2.5355234999997265,1,1,0.5294117647058824,515.2222804999997,None,None,515.2222804999997,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
17,0,17,0,,,,,,,,,,0,2,0,36,1,3.78496720151373,0.864984636888209,None,517.0328984000002,None,517.9508770999996,None,517.9492910999998,None,None,517.9508770999996,None,['z'],[0.6826277999998638],519.8994132000003,None,z,2.682627799999864,1,1,0.5555555555555556,523.7072954,None,None,523.7072954,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
18,0,18,0,,,,,,,,,,2,1,0,36,1,2.661399651610695,0.872854310065634,None,525.5157636999998,None,526.4373275000003,None,526.4498276400001,None,None,526.4373275000003,None,['b'],[0.9963858999999502],528.3823843000005,None,b,2.99638589999995,0,0,0.5263157894736842,531.0555136999997,None,None,531.0555136999997,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
19,0,19,0,,,,,,,,,,1,2,1,50,0,3.0795770157756097,2.19546497995913,None,532.8657335000003,None,535.1059022000004,None,535.11599494,None,None,535.1059022000004,None,['z'],[0.834398400000282],537.0493161999998,None,z,2.834398400000282,0,1,0.5,540.1397370999998,None,None,540.1397370999998,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
20,0,20,0,,,,,,,,,,0,0,0,14,1,3.19303509672656,2.68012679460483,None,541.9495156999997,None,544.6909504999999,None,544.6992306399999,None,None,544.6909504999999,None,['b'],[0.7632487999999285],546.6326153000005,None,b,2.7632487999999285,0,0,0.47619047619047616,549.8361367000002,None,None,549.8361367000002,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
21,0,21,0,,,,,,,,,,1,2,1,50,1,2.755584162388418,2.79689535976632,None,551.6495563000003,None,554.5034068,None,554.5157431400004,None,None,554.5034068,None,['z'],[2.6386603000000832],556.4494210999997,None,z,4.638660300000083,0,0,0.45454545454545453,559.2221465999996,None,None,559.2221465999996,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
22,0,22,0,,,,,,,,,,0,1,1,50,1,4.79595120749692,3.19646747994707,None,561.0328799000004,None,564.2838267000002,None,564.2822963999997,None,None,564.2838267000002,None,['b'],[0.7174338000004354],566.2316791999997,None,b,2.7174338000004354,1,1,0.4782608695652174,571.0387685000001,None,None,571.0387685000001,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
23,0,23,0,,,,,,,,,,0,1,1,50,1,2.396355568442425,1.92795341140246,None,572.8496155999997,None,574.8225651999996,None,574.8327390400001,None,None,574.8225651999996,None,['b'],[0.27263309999943885],576.7660366000005,None,b,2.272633099999439,1,1,0.5,579.1698253999998,None,None,579.1698253999998,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
24,0,24,0,,,,,,,,,,2,2,0,14,1,4.057112590273469,2.2926827756088,None,580.9831552999999,None,583.3194514000002,None,583.3160481000004,None,None,583.3194514000002,None,None,,585.2660155999997,None,[],[],0,3,0.48,589.3574645000003,None,None,589.3574645000003,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
25,0,25,0,,,,,,,,,,1,0,0,36,1,2.143942873030107,2.99272735241982,None,591.1496189000004,None,594.1828387999999,None,594.1827746999998,None,None,594.1828387999999,None,['z'],[0.9910137999995641],596.1334720999998,None,z,2.991013799999564,1,1,0.5,598.2867770999997,None,None,598.2867770999997,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
26,0,26,0,,,,,,,,,,2,1,0,36,1,3.3535975560099702,1.93473628110684,None,600.0996324000002,None,602.0699943000004,None,602.0820950999996,None,None,602.0699943000004,None,['b'],[0.48467459999938],604.0160871000003,None,b,2.48467459999938,0,0,0.48148148148148145,607.3818906000001,None,None,607.3818906000001,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
27,0,27,0,,,,,,,,,,0,2,0,36,1,3.00616914487701,0.760509851028298,None,609.1830394000003,None,609.9645185000004,None,609.9650903600003,None,None,609.9645185000004,None,['z'],[0.4591985000006389],611.9163530000001,None,z,2.459198500000639,1,1,0.5,614.9319719,None,None,614.9319719,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
28,0,28,0,,,,,,,,,,2,1,0,36,1,3.9110799880328697,2.96697800987238,None,616.7330668,None,619.7532409,None,619.7493685,None,None,619.7532409,None,['b'],[0.37732280000000173],621.6995786000002,None,b,2.3773228000000017,0,0,0.4827586206896552,625.6206766999999,None,None,625.6206766999999,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
29,0,29,0,,,,,,,,,,0,0,0,14,1,2.070770331037005,1.90695111352951,None,627.4329468999999,None,629.3897048000003,None,629.3994162399996,None,None,629.3897048000003,None,['b'],[1.5159599999997226],631.3328102999999,None,b,3.5159599999997226,0,0,0.4666666666666667,633.4213224999999,None,None,633.4213224999999,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
30,0,30,0,,,,,,,,,,1,2,1,50,1,2.260653249681576,0.823898895776125,None,635.2318413999997,None,636.1007094000001,None,636.0997482000002,None,None,636.1007094000001,None,['z'],[1.398941399999785],638.0489148000001,None,z,3.398941399999785,0,0,0.45161290322580644,640.3157002000003,None,None,640.3157002000003,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
31,0,31,0,,,,,,,,,,1,2,1,50,1,2.096051788593735,1.23760834810881,None,642.1164617999998,None,643.3777854000004,None,643.3817700600001,None,None,643.3777854000004,None,['b'],[0.653496100000666],645.3331413000001,None,b,2.653496100000666,1,1,0.46875,647.4388303999999,None,None,647.4388303999999,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
32,0,32,0,,,,,,,,,,2,0,1,50,0,4.79396941305267,1.85507739556255,None,649.2495954000001,None,651.1555171000005,None,651.1663194399999,None,None,651.1555171000005,None,['b'],[0.38356449999992037],653.0988799000002,None,b,2.3835644999999204,1,0,0.48484848484848486,657.9061899000003,None,None,657.9061899000003,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
33,0,33,0,,,,,,,,,,1,1,0,14,1,3.8873543302872697,1.931001549337,None,659.7164679000002,None,661.7012805999998,None,661.6996857000004,None,None,661.7012805999998,None,['z'],[0.3862468000006629],663.6485917000005,None,z,2.386246800000663,1,1,0.5,667.5589774000005,None,None,667.5589774000005,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
