trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,4.79396941305267,1.92795341140246,None,444.74020759999985,None,446.64137722999914,446.64137722999914,z,['z'],1.5409664000017074,[1.5409664000017074],None,448.64648659999875,None,z,1.5409664000017074,0,0,0.2727272727272727,453.4513415000001,None,None,453.4513415000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
33,0,33,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,2.435645686656409,0.760509851028298,None,455.2574520999988,None,455.99103132999954,455.99103132999954,z,['z'],1.6407479999998031,[1.6407479999998031],None,457.99632179999935,None,z,1.6407479999998031,1,1,0.29411764705882354,460.45210739999857,None,None,460.45210739999857,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
34,0,34,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,4.057112590273469,3.25187717164471,None,462.2578059999996,None,465.4901695300003,465.4901695300003,None,[],,,['b'],467.4868112999993,None,b,2.3884201000000758,0,0,0.2857142857142857,471.5680147000003,None,None,471.5680147000003,None,,[0.38842010000007576],,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
35,0,35,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,2.260653249681576,2.93253104700369,None,473.3745493999995,None,476.29161153000024,476.29161153000024,b,['b'],0.6946083000002545,[0.6946083000002545],None,478.2915415999996,None,b,0.6946083000002545,0,0,0.2777777777777778,480.5562867999997,None,None,480.5562867999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
36,0,36,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,2.096051788593735,2.46471651569721,None,482.3577981999988,None,484.80781492999887,484.80781492999887,z,['z'],0.6060809000009613,[0.6060809000009613],None,486.8135876999986,None,z,0.6060809000009613,0,0,0.2702702702702703,488.93413729999884,None,None,488.93413729999884,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
37,0,37,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,3.78496720151373,0.859460502749755,None,490.7404570999988,None,491.57489262999917,491.57489262999917,b,['b'],0.7336963999987347,[0.7336963999987347],None,493.5711851999986,None,b,0.7336963999987347,1,1,0.2894736842105263,497.36951549999867,None,['b'],497.36951549999867,None,[0.39301030000024184],,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
38,0,38,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,2.533372966674614,3.093067417437,None,499.1746762999992,None,502.2412968300003,502.2412968300003,z,['z'],0.6261690999999701,[0.6261690999999701],None,504.2463192999985,None,z,0.6261690999999701,1,1,0.3076923076923077,506.80180010000004,None,None,506.80180010000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
39,0,39,0,,,,,,,,,,0.0,1,0.0,14.0,1.0,2.038421555814887,2.99272735241982,None,508.60749869999927,None,511.57344882999934,511.57344882999934,b,['b'],0.7610964000014064,[0.7610964000014064],None,513.5714779999998,None,b,0.7610964000014064,0,0,0.3,515.6352427999991,None,None,515.6352427999991,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
40,0,40,0,,,,,,,,,,2.0,0,0.0,14.0,1.0,3.00565230777806,3.19646747994707,None,517.4416536999997,None,520.6249320300001,520.6249320300001,b,['b'],1.1742562000017642,[1.1742562000017642],None,522.6294025999996,None,b,1.1742562000017642,0,0,0.2926829268292683,525.6523258999987,None,None,525.6523258999987,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
41,0,41,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,3.08399219778019,1.23760834810881,None,527.4579827999987,None,528.6747596299999,528.6747596299999,None,[],,,['z'],530.6789121000002,None,z,2.2744636999996146,0,0,0.2857142857142857,533.7840953999985,None,None,533.7840953999985,None,,[0.2744636999996146],,,,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,535.5913427999985,None,,,,,,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.5912908999999,None,None,540.5912908999999,None,,,,,,,,,,,,CBC_1063,3,3,2,0,16,0.95,2024-02-17_12h19.50.763,MSI_TV_v1,2022.1.1,59.98077016507771,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[2, 0, 1]",b,z,0.2857142857142857,0.21428571428571427,0.35714285714285715,14,4,24,,,,,,,,,,,,
