trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,33.79171010000027,None,t,43.245443499999965,33.79171010000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
,,,,,,,,,,None,77.0562743999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
0,0,0,0,,,,,,,,,,0,1,1,50,1,2.661399651610695,1.85507739556255,None,77.2568667000005,None,79.09086871000063,79.09086871000063,None,[],['b'],[0.6877451000000292],81.10236540000005,None,b,2.687745100000029,1,1,1.0,83.81176039999991,None,None,83.81176039999991,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
1,0,1,0,,,,,,,,,,2,0,1,50,1,2.070770331037005,3.25187717164471,None,85.59056390000023,None,88.82382281000055,88.82382281000055,None,[],['b'],[0.3177378000000317],90.82907330000035,None,b,2.3177378000000317,1,1,1.0,92.91740449999998,None,None,92.91740449999998,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
2,0,2,0,,,,,,,,,,0,2,0,36,1,2.664345149861413,0.760509851028298,None,94.72281790000034,None,95.45693281000031,95.45693281000031,None,[],['z'],[0.5691408999991836],97.45578699999987,None,z,2.5691408999991836,1,1,1.0,100.12324600000011,None,None,100.12324600000011,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
3,0,3,0,,,,,,,,,,1,0,0,36,1,3.0109893695593497,0.872854310065634,None,101.92398219999995,None,102.77285911000008,102.77285911000008,None,[],['z'],[0.4471832999997787],104.76899310000044,None,z,2.4471832999997787,1,1,1.0,107.7892552000003,None,None,107.7892552000003,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
4,0,4,0,,,,,,,,,,2,2,0,14,1,3.75606544973216,2.711340609857,None,109.59017510000012,None,112.27407331000059,112.27407331000059,None,[],['b'],[0.5389386000006198],114.27777620000052,None,b,2.5389386000006198,0,0,0.8,118.03930149999997,None,None,118.03930149999997,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
5,0,5,0,,,,,,,,,,0,1,1,50,1,3.35750049552731,2.71666458349534,None,119.84072460000061,None,122.5406770100005,122.5406770100005,None,[],None,,124.54348200000004,None,None,[],0,3,0.6666666666666666,127.90966730000036,None,None,127.90966730000036,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
6,0,6,0,,,,,,,,,,1,2,1,50,1,3.00565230777806,2.41859016397919,None,129.7240784000005,None,132.12423740999992,132.12423740999992,None,[],['b'],[0.6397559999995792],134.12844589999986,None,b,2.639755999999579,1,1,0.7142857142857143,137.15463030000046,None,None,137.15463030000046,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
7,0,7,0,,,,,,,,,,1,2,1,50,1,3.8873543302872697,3.19646747994707,None,138.95769030000065,None,142.14115930999986,142.14115930999986,None,[],['b'],[0.849954099999195],144.14831649999996,None,b,2.849954099999195,1,1,0.75,148.05513370000062,None,None,148.05513370000062,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
8,0,8,0,,,,,,,,,,2,1,0,36,1,3.19303509672656,2.68012679460483,None,149.8574118000006,None,152.52425911000017,152.52425911000017,None,[],['z'],[0.5896092999992106],154.52691440000035,None,z,2.5896092999992106,1,1,0.7777777777777778,157.7387907000002,None,None,157.7387907000002,None,,,,,,,,,,,,,,,,,,,,CBC_1116,2,4,3,2,21,0.95,2024-09-27_13h59.22.080,MSI_TV_v1,2022.1.1,59.916261033632786,
