trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,30.2430473000004,None,t,83.14500759999919,30.2430473000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
,,,,,,,,,,None,113.40886810000029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
0,0,0,0,,,,,,,,,,0,2,1,50,1,3.22645636662535,1.52074017648695,None,113.60902840000017,None,115.11000033999998,115.11000033999998,None,[],['b'],[0.7154221000000689],117.12130140000045,None,b,2.715422100000069,0,0,0.0,120.3984760000003,None,None,120.3984760000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
1,0,1,0,,,,,,,,,,2,1,1,50,1,2.096051788593735,2.31238477131615,None,122.17690800000037,None,124.47679413999985,124.47679413999985,None,[],['b'],[1.8615745999995852],126.47693580000032,None,b,3.861574599999585,0,0,0.0,128.58679180000036,None,None,128.58679180000036,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
2,0,2,0,,,,,,,,,,0,0,0,36,1,3.9110799880328697,0.760509851028298,None,130.3935373000004,None,131.1267881400002,131.1267881400002,None,[],['b'],[0.6738478999996005],133.13165170000048,None,b,2.6738478999996005,1,1,0.3333333333333333,137.05578700000024,None,None,137.05578700000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
3,0,3,0,,,,,,,,,,1,1,0,36,1,3.8873543302872697,2.32696722275902,None,138.8601453000001,None,141.16011783999994,141.16011783999994,None,[],['z'],[0.5859118999997008],143.1652939000005,None,z,2.585911899999701,0,0,0.25,147.07069299999966,None,None,147.07069299999966,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
4,0,4,0,,,,,,,,,,2,0,0,14,1,2.435645686656409,0.864984636888209,None,148.87689370000044,None,149.72569263999986,149.72569263999986,None,[],['b'],[1.058329199999207],151.72558350000054,None,b,3.058329199999207,1,1,0.4,154.17359730000044,None,None,154.17359730000044,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
5,0,5,0,,,,,,,,,,0,2,1,50,1,2.755584162388418,1.93473628110684,None,155.9769656999997,None,157.89350404000044,157.89350404000044,None,[],['z'],[0.550508199999058],159.89861029999975,None,z,2.550508199999058,1,1,0.5,162.6728318000005,None,None,162.6728318000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
6,0,6,0,,,,,,,,,,1,0,1,50,1,3.3535975560099702,3.093067417437,None,164.47659019999992,None,167.54323914000025,167.54323914000025,None,[],"['b', 'z']","[1.7807129000002533, 1.8576948999998422]",169.54704649999985,None,b,3.7807129000002533,0,0,0.42857142857142855,172.91964670000016,None,None,172.91964670000016,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
7,0,7,0,,,,,,,,,,1,0,1,50,1,2.0935163976022517,2.13476920223271,None,174.72683580000012,None,176.84350944000045,176.84350944000045,None,[],['z'],[0.8410664000002726],178.84938839999995,None,z,2.8410664000002726,1,1,0.5,180.95550009999988,None,None,180.95550009999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1077,002,1,1,6,4,0.95,2024-02-16_15h16.11.266,MSI_TV_v1,2022.1.1,60.03100000837246,
