trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,361.20419800000036,None,t,68.63403199999902,361.20419800000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
,,,,,,,,,,None,429.85975360000066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
0,0,0,0,,,,,,,,,,1,0,0,36,1,4.638307379983409,2.19546497995913,None,430.0592538000001,None,432.4897718000002,None,432.4912231800001,None,None,432.4897718000002,None,['b'],[0.2989151000001584],434.2426294000006,None,b,2.2989151000001584,1,1,1.0,438.9105255000004,None,None,438.9105255000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
1,0,1,0,,,,,,,,,,0,1,1,50,1,3.78496720151373,2.99272735241982,None,440.70977270000003,None,443.77825010000015,None,443.7765103600003,None,None,443.77825010000015,None,['b'],[0.34504589999960444],445.69308379999984,None,b,2.3450458999996044,0,0,0.5,449.4973178,None,None,449.4973178,None,,,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
2,0,2,0,,,,,,,,,,2,0,1,50,1,4.057112590273469,1.09364692357212,None,451.3094765000005,None,452.4329351000006,None,452.4417853,None,['z'],452.4329351000006,None,None,,454.3762344000006,None,z,1.2759849999993094,1,1,0.6666666666666666,458.4489514000006,None,None,458.4489514000006,None,[1.2759849999993094],,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
3,0,3,0,,,,,,,,,,0,1,1,50,1,3.00565230777806,3.19646747994707,None,460.25837000000047,None,463.4941028000003,None,463.49276340000006,None,None,463.4941028000003,None,['z'],[1.5472565999989456],465.44150790000003,None,z,3.5472565999989456,1,1,0.75,468.4689322000004,None,None,468.4689322000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
4,0,4,0,,,,,,,,,,2,2,0,14,1,3.19303509672656,2.18142366553255,None,470.27539549999983,None,472.51331610000034,None,472.5095078800006,None,['b'],472.51331610000034,None,None,,474.4430944000005,None,b,1.4847529999997278,1,1,0.8,477.65009780000037,None,None,477.65009780000037,None,[1.4847529999997278],,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
5,0,5,0,,,,,,,,,,0,1,1,50,1,3.0109893695593497,2.93253104700369,None,479.4598928000005,None,482.4956923,None,482.4927617400004,None,['z'],482.4956923,None,None,,484.39299720000054,None,z,1.4279454999996233,1,1,0.8333333333333334,487.4163081000006,None,None,487.4163081000006,None,[1.4279454999996233],,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
6,0,6,0,,,,,,,,,,1,0,0,36,1,2.070770331037005,0.859460502749755,None,489.2262085000002,None,490.1302015000001,None,490.1429088800007,None,None,490.1302015000001,None,['b'],[0.33975670000018],492.07643480000024,None,b,2.33975670000018,1,1,0.8571428571428571,494.1681935000006,None,None,494.1681935000006,None,,,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
7,0,7,0,,,,,,,,,,2,1,0,36,1,3.0795770157756097,2.46643561303325,None,495.9758173,None,498.4790657000003,None,498.4922682000001,None,['b'],498.4790657000003,None,None,,500.4264548000001,None,b,1.5629224999993312,1,1,0.875,503.5087374000004,None,None,503.5087374000004,None,[1.5629224999993312],,,,,,,,,,,,,,,,,,,,CBC_1086,001,4,2,5,15,0.90,2024-04-23_16h20.43.546,MSI_AV_v1,2022.1.1,59.98771451592357,
