trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,104.38941259999956,None,t,77.94941459999973,104.38941259999956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
,,,,,,,,,,None,182.36191719999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
0,0,0,0,,,,,,,,,,0,1,1,50,1,3.3535975560099702,2.31238477131615,None,182.5627695000003,None,185.15842429999975,None,185.16230337000033,None,None,185.15842429999975,None,['z'],[0.34923089999938384],186.87958790000084,None,z,2.349230899999384,0,0,0.0,190.26688230000036,None,None,190.26688230000036,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
1,0,1,0,,,,,,,,,,2,0,1,50,1,2.93061443445534,2.79689535976632,None,192.0622717999995,None,194.91049250000106,None,194.91194215000087,None,None,194.91049250000106,None,['z'],[0.4394847999992635],196.8462116999999,None,z,2.4394847999992635,0,0,0.0,199.77927480000108,None,None,199.77927480000108,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
2,0,2,0,,,,,,,,,,0,2,0,36,1,4.3560033776911595,2.68012679460483,None,201.57942659999935,None,204.34209759999976,None,204.3462161099995,None,['b'],204.34209759999976,None,None,,206.26260840000032,None,b,1.5112635000004957,0,0,0.0,210.63653720000002,None,None,210.63653720000002,None,[1.5112635000004957],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
3,0,3,0,,,,,,,,,,1,0,0,36,1,3.8484563543876202,1.23760834810881,None,212.44603909999933,None,213.76371409999956,None,213.76311341000093,None,None,213.76371409999956,None,['b'],[0.5529697000001761],215.6795843,None,b,2.552969700000176,0,0,0.0,219.5364281000002,None,None,219.5364281000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
4,0,4,0,,,,,,,,,,2,2,0,14,1,2.143942873030107,1.52074017648695,None,221.34608819999994,None,222.89576549999947,None,222.89598541999985,None,None,222.89576549999947,None,['z'],[1.1402889999990293],224.86310530000083,None,z,3.1402889999990293,1,1,0.2,227.02141400000073,None,None,227.02141400000073,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
5,0,5,0,,,,,,,,,,0,1,1,50,1,2.269747919971076,1.931001549337,None,228.82973669999956,None,230.79424839999956,None,230.7954135199994,None,None,230.79424839999956,None,['b'],[0.5800275999990845],232.7463669000008,None,b,2.5800275999990845,1,1,0.3333333333333333,235.0367922000005,None,None,235.0367922000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
6,0,6,0,,,,,,,,,,1,2,1,50,1,4.18755802100366,2.46643561303325,None,236.84647419999965,None,239.37045559999933,None,239.37956368000087,None,None,239.37045559999933,None,['b'],[0.4483608999980788],241.31289640000068,None,b,2.448360899998079,1,1,0.42857142857142855,245.5201846,None,None,245.5201846,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
7,0,7,0,,,,,,,,,,1,2,1,50,1,4.85706913915242,2.711340609857,None,247.32952870000008,None,250.09034919999976,None,250.09668748000004,None,['z'],250.09034919999976,None,None,,252.02989850000085,None,z,1.3113300999993953,0,0,0.375,256.9035935000011,None,None,256.9035935000011,None,[1.3113300999993953],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
8,0,8,0,,,,,,,,,,2,1,0,36,1,2.260653249681576,2.9722947448457,None,258.71187330000066,None,261.70945519999987,None,261.71197012000044,None,None,261.70945519999987,None,"['b', 'z']","[0.25941169999896374, 0.8358490999980859]",263.6627401000005,None,b,2.2594116999989637,0,0,0.3333333333333333,265.93614700000035,None,None,265.93614700000035,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
9,0,9,0,,,,,,,,,,0,2,0,36,1,4.08205346963855,2.18142366553255,None,267.74650699999984,None,269.9864359000003,None,269.99658558000044,None,['z'],269.9864359000003,None,None,,271.9291297,None,z,1.397847999998703,1,1,0.4,276.020401400001,None,None,276.020401400001,None,[1.397847999998703],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
10,0,10,0,,,,,,,,,,2,1,0,36,1,3.19303509672656,1.85507739556255,None,277.82980280000083,None,279.73729749999984,None,279.7463043800002,None,None,279.73729749999984,None,['b'],[0.26052200000049197],281.6787333000011,None,b,2.260522000000492,0,0,0.36363636363636365,284.8868523000001,None,None,284.8868523000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
11,0,11,0,,,,,,,,,,0,0,0,14,1,2.755584162388418,0.864984636888209,None,286.6965094999996,None,287.62009430000035,None,287.62972028,None,['z'],287.62009430000035,None,None,,289.5622423999994,None,z,1.884695799999463,1,1,0.4166666666666667,292.32892580000043,None,None,292.32892580000043,None,[1.884695799999463],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
12,0,12,0,,,,,,,,,,1,2,1,50,1,3.0109893695593497,1.93473628110684,None,294.1300929000008,None,296.12346790000083,None,296.13010018000057,None,None,296.12346790000083,None,['b'],[0.1599921999986691],298.0633833000011,None,b,2.159992199998669,1,1,0.46153846153846156,301.0881453000002,None,None,301.0881453000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
13,0,13,0,,,,,,,,,,2,0,1,50,1,2.435645686656409,3.25187717164471,None,302.8963831000001,None,306.2036819999994,None,306.2132928800005,None,['z'],306.2036819999994,None,None,,308.14653999999973,None,z,0.9398724000002403,0,0,0.42857142857142855,310.60425980000036,None,None,310.60425980000036,None,[0.9398724000002403],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
14,0,14,0,,,,,,,,,,0,2,0,36,1,2.661399651610695,2.19546497995913,None,312.4119375999999,None,314.6539506000008,None,314.6631558800003,None,['z'],314.6539506000008,None,None,,316.59626469999967,None,z,1.2362162999997963,1,1,0.4666666666666667,319.2692057000004,None,None,319.2692057000004,None,[1.2362162999997963],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
15,0,15,0,,,,,,,,,,2,0,1,50,0,3.35750049552731,2.99272735241982,None,321.07999969999946,None,324.1208700999996,None,324.1303654799998,None,None,324.1208700999996,None,['z'],[1.0146284000002197],326.06339950000074,None,z,3.0146284000002197,0,1,0.4375,329.4380662000003,None,None,329.4380662000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
16,0,16,0,,,,,,,,,,0,1,1,50,1,4.75208449114276,2.24098228083631,None,331.24647560000085,None,333.5339810000005,None,333.5463696800001,None,None,333.5339810000005,None,['b'],[0.4524189000003389],335.4790974999996,None,b,2.452418900000339,1,1,0.47058823529411764,340.2384209000011,None,None,340.2384209000011,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
17,0,17,0,,,,,,,,,,1,0,0,36,1,4.79595120749692,2.41859016397919,None,342.04666,None,344.5176697000006,None,344.52976848000105,None,None,344.5176697000006,None,['z'],[0.3291654999993625],346.46320990000095,None,z,2.3291654999993625,1,1,0.5,351.26248640000085,None,None,351.26248640000085,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
18,0,18,0,,,,,,,,,,0,1,1,50,1,4.89745263827305,1.49331160364633,None,353.06331169999976,None,354.5987771,None,354.59654384999976,None,None,354.5987771,None,['b'],[0.1342889000006835],356.54651490000106,None,b,2.1342889000006835,1,1,0.5263157894736842,361.4457545000005,None,None,361.4457545000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
19,0,19,0,,,,,,,,,,1,2,1,50,1,2.8965037234387068,1.92795341140246,None,363.24700180000036,None,365.217627,None,365.2301360799996,None,None,365.217627,None,['z'],[0.8440209000000323],367.1634802000008,None,z,2.8440209000000323,0,0,0.5,370.0704803999997,None,None,370.0704803999997,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
20,0,20,0,,,,,,,,,,0,0,0,14,1,3.0795770157756097,1.49618260131236,None,371.8798251999997,None,373.43532100000084,None,373.44666517999974,None,['z'],373.43532100000084,None,None,,375.3798989000006,None,z,1.2840613999997004,1,1,0.5238095238095238,378.47182299999986,None,None,378.47182299999986,None,[1.2840613999997004],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
21,0,21,0,,,,,,,,,,1,2,1,50,1,2.664345149861413,2.2926827756088,None,380.2795925999999,None,382.6202976000004,None,382.6299118800001,None,['b'],382.6202976000004,None,None,,384.5630388999998,None,b,1.6592301999990013,1,1,0.5454545454545454,387.2384886,None,None,387.2384886,None,[1.6592301999990013],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
22,0,22,0,,,,,,,,,,2,0,1,50,1,2.0691390047117237,2.46471651569721,None,389.0468872000001,None,391.56660120000015,None,391.56322224999985,None,['z'],391.56660120000015,None,None,,393.51331010000104,None,z,1.5077450999997382,0,0,0.5217391304347826,395.60350819999985,None,None,395.60350819999985,None,[1.5077450999997382],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
23,0,23,0,,,,,,,,,,2,0,1,50,1,2.038421555814887,1.09364692357212,None,397.41304730000047,None,398.54800050000085,None,398.5476306499995,None,['b'],398.54800050000085,None,None,,400.4966633999993,None,b,1.0897234000003664,1,1,0.5416666666666666,402.55461000000105,None,None,402.55461000000105,None,[1.0897234000003664],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
24,0,24,0,,,,,,,,,,1,1,0,14,1,3.8873543302872697,0.760509851028298,None,404.3631932999997,None,405.1827637000006,None,405.1801082799997,None,['z'],405.1827637000006,None,None,,407.11253410000063,None,z,1.5094893999994383,1,1,0.56,411.0215664999996,None,None,411.0215664999996,None,[1.5094893999994383],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
25,0,25,0,,,,,,,,,,0,2,0,36,1,3.78496720151373,3.19646747994707,None,412.8303319000006,None,416.0863019999997,None,416.09696067999937,None,['z'],416.0863019999997,None,None,,418.03006579999965,None,z,1.5145679999986896,1,1,0.5769230769230769,421.8375175000001,None,None,421.8375175000001,None,[1.5145679999986896],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
26,0,26,0,,,,,,,,,,2,1,0,36,1,3.6791616380244196,2.13476920223271,None,423.64658790000067,None,425.83436919999986,None,425.84681017999935,None,['z'],425.83436919999986,None,None,,427.7795361999997,None,z,1.2453854999985197,1,1,0.5925925925925926,431.4697507000001,None,None,431.4697507000001,None,[1.2453854999985197],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
27,0,27,0,,,,,,,,,,1,0,0,36,1,2.9608932424063896,2.71666458349534,None,433.27995100000044,None,436.0558746000006,None,436.06366467999976,None,None,436.0558746000006,None,['z'],[2.0162106999996467],437.9959565999998,None,z,4.016210699999647,1,1,0.6071428571428571,440.97151479999957,None,None,440.97151479999957,None,,,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
28,0,28,0,,,,,,,,,,0,1,1,50,0,2.070770331037005,1.90695111352951,None,442.7800980000011,None,444.7368901000009,None,444.74700838000024,None,['b'],444.7368901000009,None,None,,446.68012780000026,None,b,1.7515722999996797,1,0,0.6206896551724138,448.769859,None,None,448.769859,None,[1.7515722999996797],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
29,0,29,0,,,,,,,,,,1,0,0,36,1,4.79396941305267,2.93253104700369,None,450.580017100001,None,453.54529080000066,None,453.54644822000006,None,['z'],453.54529080000066,None,None,,455.51339089999965,None,z,1.7953094000004057,1,1,0.6333333333333333,460.32159069999943,None,None,460.32159069999943,None,[1.7953094000004057],,,,,,,,,,,,,,,,,,,,CBC_1062,1,5,1,2,15,0.95,2024-02-17_11h35.47.907,MSI_AV_v1,2022.1.1,59.81812896098395,
