trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.484572999999727,None,t,53.267040599999746,28.484572999999727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
,,,,,,,,,,None,81.77636429999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
0,0,0,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.19303509672656,3.19646747994707,None,81.97671319999972,None,85.37429350000093,None,85.37570601999904,None,None,85.37429350000093,None,['z'],[0.460478900000453],87.17647840000063,None,z,2.460478900000453,1,1,1.0,90.38313349999953,None,None,90.38313349999953,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
1,0,1,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,4.85706913915242,2.46643561303325,None,92.19330790000095,None,94.75325420000081,None,94.75977024000058,None,None,94.75325420000081,None,['b'],[0.5734193999996933],96.65987250000035,None,b,2.5734193999996933,1,1,1.0,101.53212050000002,None,None,101.53212050000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
2,0,2,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,4.79396941305267,1.931001549337,None,103.34252910000032,None,105.30886439999995,None,105.30982340000082,None,None,105.30886439999995,None,['z'],[0.022871900000609457],107.25982620000104,None,z,2.0228719000006095,1,1,1.0,112.06909489999998,None,None,112.06909489999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
3,0,3,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,3.22645636662535,2.19546497995913,None,113.87668160000067,None,116.10647720000088,None,116.10954761999928,None,None,116.10647720000088,None,['z'],[0.31546069999967585],118.07668899999953,None,z,2.315460699999676,1,1,1.0,121.3090228000001,None,None,121.3090228000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
4,0,4,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,3.0109893695593497,3.093067417437,None,123.11047789999975,None,126.24670409999999,None,126.25919570000042,None,None,126.24670409999999,None,['z'],[0.42267290000017965],128.21013400000083,None,z,2.4226729000001797,0,0,0.8,131.22592480000094,None,None,131.22592480000094,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
5,0,5,0,,,,,,,,,,1.0,2,0.0,14.0,1.0,3.3535975560099702,0.886051557539332,None,133.0268827,None,133.93392630000017,None,133.94267751999942,None,None,133.93392630000017,None,['b'],[1.595634399998744],135.89351689999967,None,b,3.595634399998744,0,0,0.6666666666666666,139.25948880000033,None,None,139.25948880000033,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
6,0,6,0,,,,,,,,,,0.0,1,0.0,14.0,1.0,4.79595120749692,2.32696722275902,None,141.06013429999985,None,143.42773810000108,None,143.4266974000002,None,None,143.42773810000108,None,['b'],[0.19189650000043912],145.37712099999953,None,b,2.191896500000439,0,0,0.5714285714285714,150.18230910000057,None,None,150.18230910000057,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
7,0,7,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,4.3560033776911595,0.872854310065634,None,151.99249220000092,None,152.90987610000047,None,152.91031909999947,None,None,152.90987610000047,None,['b'],[0.3356207999986509],154.8602245000002,None,b,2.335620799998651,1,1,0.625,159.23437689999992,None,None,159.23437689999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,002,1,3,0,22,0.95,2024-03-01_15h44.46.693,MSI_AV_v1,2022.1.1,59.9301214784644,
