trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
11,0,11,0,,,,,,,,,,2,2,0,36,1,2.533372966674614,2.46471651569721,None,425.41563390000374,None,427.866112289999,427.866112289999,z,['z'],None,,429.87043950000225,None,z,1.8663627999922028,1,1,0.5833333333333334,432.4275137000004,None,None,432.4275137000004,None,1.8663627999922028,[1.8663627999922028],,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
12,0,12,0,,,,,,,,,,0,0,0,36,1,4.75208449114276,2.99272735241982,None,434.23278310000023,None,437.1993435899982,437.1993435899982,None,[],['b'],[0.5176906999986386],439.2039886999992,None,b,2.5176906999986386,0,0,0.5384615384615384,443.9771664,None,None,443.9771664,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
13,0,13,0,,,,,,,,,,1,2,0,14,1,2.260653249681576,2.31238477131615,None,445.78251280000404,None,448.06615848999866,448.06615848999866,None,[],['z'],[0.572576200000185],450.07217700000183,None,z,2.572576200000185,1,1,0.5714285714285714,452.3458705000012,None,None,452.3458705000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
14,0,14,0,,,,,,,,,,2,1,1,50,1,4.79396941305267,2.711340609857,None,454.14948610000283,None,456.83284418999904,456.83284418999904,None,[],['b'],[0.3119834999961313],458.8307872000005,None,b,2.3119834999961313,1,1,0.6,463.64471290000074,None,None,463.64471290000074,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
15,0,15,0,,,,,,,,,,1,0,1,50,1,3.08399219778019,3.093067417437,None,465.4492625999992,None,468.51606628999946,468.51606628999946,None,[],['b'],[0.3460542999964673],470.5195139999996,None,b,2.3460542999964673,1,1,0.625,473.62675400000444,None,None,473.62675400000444,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
16,0,16,0,,,,,,,,,,2,1,1,50,1,2.0935163976022517,1.1680331695907,None,475.43262530000356,None,476.5827299900026,476.5827299900026,None,[],['z'],[0.34815499999240274],478.5857974000028,None,z,2.3481549999924027,0,0,0.5882352941176471,480.6924132999993,None,None,480.6924132999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
17,0,17,0,,,,,,,,,,0,0,0,36,1,3.0795770157756097,2.46643561303325,None,482.49925200000143,None,484.9492452899991,484.9492452899991,None,[],"['z', 'b']","[1.090408899995964, 2.068063799997617]",486.94752110000263,None,z,3.090408899995964,1,1,0.6111111111111112,490.0449202000018,None,None,490.0449202000018,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
18,0,18,0,,,,,,,,,,2,2,0,36,1,3.78496720151373,2.41859016397919,None,491.84930480000185,None,494.2496063900013,494.2496063900013,None,[],['b'],[0.6094584999955259],496.2534719000032,None,b,2.609458499995526,0,0,0.5789473684210527,500.04837650000263,None,None,500.04837650000263,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
19,0,19,0,,,,,,,,,,1,0,1,50,0,3.75606544973216,2.2926827756088,"['z', 'z']",501.84926540000015,None,504.1161925899993,504.1161925899993,b,['b'],None,,506.1197480000046,None,b,1.6988608999963617,1,0,0.6,509.8928421000019,None,None,509.8928421000019,None,1.6988608999963617,[1.6988608999963617],"[0.4423750999994809, 1.1444926999974996]",,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
20,0,20,0,,,,,,,,,,0,1,0,14,1,4.057112590273469,2.93253104700369,None,511.69938900000125,None,514.6161409899993,514.6161409899993,None,[],['z'],[1.0291995000006864],516.6223420000024,None,z,3.0291995000006864,1,1,0.6190476190476191,520.6818897000048,None,None,520.6818897000048,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
21,0,21,0,,,,,,,,,,1,0,1,50,1,2.396355568442425,2.13476920223271,None,522.482994500002,None,524.5994890900016,524.5994890900016,None,[],['b'],[0.36457289999816567],526.6032745999983,None,b,2.3645728999981657,1,1,0.6363636363636364,529.0119003,None,None,529.0119003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
22,0,22,0,,,,,,,,,,0,2,1,50,1,2.661399651610695,2.9722947448457,None,530.8153702999989,None,533.7663120900012,533.7663120900012,None,[],['z'],[0.41586760000063805],535.7650237999987,None,z,2.415867600000638,0,0,0.6086956521739131,538.4322945000022,None,None,538.4322945000022,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
23,0,23,0,,,,,,,,,,0,2,1,50,1,2.93061443445534,1.49618260131236,None,540.2330976000012,None,541.716366490005,541.716366490005,None,[],['z'],[0.798725500004366],543.713245400002,None,z,2.798725500004366,0,0,0.5833333333333334,546.6534756000037,None,None,546.6534756000037,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
24,0,24,0,,,,,,,,,,2,0,0,14,1,3.19303509672656,2.79689535976632,None,548.4655816000013,None,551.2323271900001,551.2323271900001,b,['b'],"['b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']","[0.25864110000111395, 0.8300514000002295, 1.1480002999960561, 1.4480095999970217, 1.775704300001962, 2.157384300000558, 2.4996028000023216, 2.921945100002631]",553.2287492000032,None,b,1.3975099999952363,0,0,0.56,556.4323923000047,None,['b'],556.4323923000047,None,1.3975099999952363,[1.3975099999952363],,[0.3452887000021292],,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
25,0,25,0,,,,,,,,,,1,1,0,36,1,3.00565230777806,1.49331160364633,['z'],558.233284599999,None,559.6998155899979,559.6998155899979,z,"['z', 'b']","['b', 'b', 'b', 'b', 'b', 'b']","[0.9128129000018816, 1.344520200000261, 1.5548730000009527, 1.8133495000001858, 2.252170300002035, 2.7305859999978566]",561.7044291999991,None,z,1.0952843999984907,1,1,0.5769230769230769,564.7289442000038,None,None,564.7289442000038,None,1.0952843999984907,"[1.0952843999984907, 1.1839735000030487]",[0.4216729000036139],,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
