trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,139.88926299999912,None,t,64.26284740000119,139.88926299999912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
,,,,,,,,,,None,204.168232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
0,0,0,0,,,,,,,,,,0,2,1,50,1,3.6791616380244196,0.886051557539332,None,204.36813429999893,None,205.23508031,205.23508031,None,[],['b'],[0.8341842999998335],207.24312610000015,None,b,2.8341842999998335,1,1,1.0,210.9712184,None,None,210.9712184,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
1,0,1,0,,,,,,,,,,1,0,0,36,1,2.435645686656409,1.93473628110684,None,212.75136190000012,None,214.6681377099996,214.6681377099996,None,[],['b'],[0.6585453000006964],216.67384019999918,None,b,2.6585453000006964,0,0,0.5,219.12892849999844,None,None,219.12892849999844,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
2,0,2,0,,,,,,,,,,0,1,0,36,1,3.00616914487701,0.767372347918183,None,220.9347418999987,None,221.6848616099998,221.6848616099998,None,[],['b'],[1.0750296999995044],223.69101450000016,None,b,3.0750296999995044,0,0,0.3333333333333333,226.71196379999856,None,None,226.71196379999856,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
3,0,3,0,,,,,,,,,,2,0,1,50,1,2.396355568442425,2.2926827756088,None,228.51847239999915,None,230.78492740999917,230.78492740999917,None,[],['b'],[1.0025617000010243],232.78943219999928,None,b,3.0025617000010243,1,1,0.5,235.19771729999957,None,None,235.19771729999957,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
4,0,4,0,,,,,,,,,,0,2,1,50,1,3.0109893695593497,2.18142366553255,None,237.00160119999964,None,239.1683050099984,239.1683050099984,None,[],['b'],[0.7039697999989585],241.1732166999991,None,b,2.7039697999989585,1,1,0.6,244.1979253999998,None,None,244.1979253999998,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
5,0,5,0,,,,,,,,,,2,0,1,50,1,3.3535975560099702,3.44771472893932,None,246.00165779999952,None,249.43514630999942,249.43514630999942,None,[],['b'],[0.5915123000013409],251.43871880000006,None,b,2.591512300001341,1,1,0.6666666666666666,254.81276959999923,None,None,254.81276959999923,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
6,0,6,0,,,,,,,,,,1,2,0,14,1,3.35750049552731,2.68012679460483,None,256.61815359999855,None,259.2850211099996,259.2850211099996,None,[],['z'],[0.42283039999892935],261.28965640000024,None,z,2.4228303999989294,1,1,0.7142857142857143,264.66348429999925,None,None,264.66348429999925,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
7,0,7,0,,,,,,,,,,0,1,0,36,1,2.755584162388418,2.9722947448457,None,266.4684939999988,None,269.4189003099984,269.4189003099984,None,[],['z'],[0.8907110000000102],271.4256888,None,z,2.8907110000000102,1,1,0.75,274.19784309999886,None,None,274.19784309999886,None,,,,,,,,,,,,,,,,,,,,CBC_1055,3,3,3,3,5,0.95,2024-03-03_11h11.32.283,MSI_TV_v1,2022.1.1,59.74229563364028,
