trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,38.51732970000012,None,t,51.079670899999655,38.51732970000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
,,,,,,,,,,None,89.61428510000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
0,0,0,0,,,,,,,,,,2,0,1,50,1,4.85706913915242,2.32696722275902,None,89.81385860000046,None,92.11482700000042,92.11482700000042,None,[],['b'],[0.5202799999997296],94.12480849999974,None,b,2.5202799999997296,1,1,1.0,99.0347069999998,None,None,99.0347069999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
1,0,1,0,,,,,,,,,,1,2,1,50,1,4.057112590273469,0.886051557539332,None,100.81307900000047,None,101.68137000000033,101.68137000000033,None,[],['b'],[0.8654139999998733],103.68709990000025,None,b,2.8654139999998733,1,1,1.0,107.75733140000011,None,None,107.75733140000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
2,0,2,0,,,,,,,,,,2,1,0,36,1,3.35750049552731,3.19646747994707,None,109.5643643000003,None,112.73104900000007,112.73104900000007,None,[],['b'],[0.7613887999996223],114.73503720000008,None,b,2.7613887999996223,0,0,0.6666666666666666,118.11026800000036,None,None,118.11026800000036,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
3,0,3,0,,,,,,,,,,0,2,0,36,1,2.396355568442425,2.41859016397919,None,119.91465979999975,None,122.31442479999995,122.31442479999995,None,[],['r'],[0.47904709999966144],124.3177512000002,None,r,2.4790470999996614,1,1,0.75,126.72223350000058,None,None,126.72223350000058,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
4,0,4,0,,,,,,,,,,2,0,1,50,1,2.8965037234387068,3.44771472893932,None,128.53097780000007,None,131.9641365999997,131.9641365999997,None,[],['r'],[1.0232750999994096],133.9629875999999,None,r,3.0232750999994096,0,0,0.6,136.86753670000053,None,None,136.86753670000053,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
5,0,5,0,,,,,,,,,,1,1,0,14,1,4.08205346963855,1.92795341140246,None,138.68102100000033,None,140.59799540000049,140.59799540000049,None,[],['b'],[0.5710741000002599],142.6021010000004,None,b,2.57107410000026,0,0,0.5,146.69657180000013,None,None,146.69657180000013,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
6,0,6,0,,,,,,,,,,0,0,0,14,1,3.9110799880328697,2.24098228083631,None,148.49803150000025,None,150.7147979000002,150.7147979000002,None,[],['b'],[1.3917418999999427],152.72027760000037,None,b,3.3917418999999427,0,0,0.42857142857142855,156.64444420000018,None,None,156.64444420000018,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
7,0,7,0,,,,,,,,,,1,2,1,50,1,2.143942873030107,2.93253104700369,None,158.44785200000024,None,161.3646735000003,161.3646735000003,None,[],['r'],[0.4631530999995448],163.36747509999987,None,r,2.463153099999545,0,0,0.375,165.52515570000014,None,None,165.52515570000014,None,,,,,,,,,,,,,,,,,,,,,,CBC_1104,002,6,3,0,9,0.95,2024-05-29_15h18.48.519,MSI_TV_v1,2022.1.1,60.011294125535464,
