trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,218.58176420000018,None,t,61.86448780000046,218.58176420000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
,,,,,,,,,,None,280.4736240000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
0,0,0,0,,,,,,,,,,1,1,1,50,1,2.396355568442425,3.093067417437,None,280.6733690000001,None,284.0078431000002,None,284.0053097499999,None,None,284.0078431000002,None,['b'],[0.12702449999960663],285.75632940000014,None,b,2.1270244999996066,1,1,1.0,288.17807170000015,None,None,288.17807170000015,None,,,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
1,0,1,0,,,,,,,,,,2,2,1,50,1,2.143942873030107,2.71666458349534,None,289.9730927999999,None,292.7902240000003,None,292.78965140000037,None,['b'],292.7902240000003,None,None,,294.6898086000001,None,b,1.724978999999621,1,1,1.0,296.8476962000004,None,None,296.8476962000004,None,[1.724978999999621],,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
2,0,2,0,,,,,,,,,,0,1,0,36,1,3.9110799880328697,3.44771472893932,None,298.6566023000005,None,302.1727116000002,None,302.17251380000016,None,None,302.1727116000002,None,['z'],[0.22482880000006844],304.1064594999998,None,z,2.2248288000000684,1,1,1.0,308.0301473999998,None,None,308.0301473999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
3,0,3,0,,,,,,,,,,1,2,0,36,1,2.9608932424063896,2.46643561303325,None,309.83998950000023,None,312.3552507000004,None,312.3569598500003,None,['z'],312.3552507000004,None,None,,314.3063296,None,z,1.8706491999992068,1,1,1.0,317.2810666000005,None,None,317.2810666000005,None,[1.8706491999992068],,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
4,0,4,0,,,,,,,,,,0,0,1,50,1,3.75606544973216,2.2926827756088,None,319.0896674000005,None,321.45640170000024,None,321.4559780499999,None,None,321.45640170000024,None,['b'],[0.3416754999998375],323.37310739999975,None,b,2.3416754999998375,1,1,1.0,327.1480595000003,None,None,327.1480595000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
5,0,5,0,,,,,,,,,,2,1,0,14,1,4.3560033776911595,0.864984636888209,None,328.95669819999966,None,329.87336550000055,None,329.87284855000007,None,None,329.87336550000055,None,['z'],[0.1020606999991287],331.8233190000001,None,z,2.1020606999991287,1,1,1.0,336.19714139999996,None,None,336.19714139999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
6,0,6,0,,,,,,,,,,0,2,0,14,1,2.0691390047117237,0.767372347918183,None,338.0067157000003,None,338.82175370000004,None,338.8228279500004,None,None,338.82175370000004,None,['z'],[0.1247799999991912],340.77315480000016,None,z,2.124779999999191,1,1,1.0,342.86330819999966,None,None,342.86330819999966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
7,0,7,0,,,,,,,,,,1,1,1,50,1,2.038421555814887,1.931001549337,None,344.67375150000044,None,346.6592516999999,None,346.6561737500001,None,['b'],346.6592516999999,None,None,,348.6061993000003,None,b,1.8395324999992226,1,1,1.0,350.66539639999974,None,None,350.66539639999974,None,[1.8395324999992226],,,,,,,,,,,,,,,,,,,,,CBC_1095,003,3,2,2,0,0.90,2024-05-01_14h41.11.088,MSI_AV_v1,2022.1.1,60.078245907359616,
