trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,69.06755580000026,None,t,55.32508009999947,69.06755580000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
,,,,,,,,,,None,124.42300350000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
0,0,0,0,,,,,,,,,,1,2,1,50,1,3.6791616380244196,1.49618260131236,None,124.62339760000032,None,126.37598190000062,None,126.37252287999945,None,None,126.37598190000062,None,['b'],[0.37973369999963325],128.12296010000045,None,b,2.3797336999996332,1,1,1.0,131.81221330000062,None,None,131.81221330000062,None,,,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
1,0,1,0,,,,,,,,,,2,0,1,50,1,2.755584162388418,1.49331160364633,None,133.6229733,None,135.2062289000005,None,135.20628902000044,None,None,135.2062289000005,None,['b'],[0.6086612999997669],137.10645590000058,None,b,2.608661299999767,1,1,1.0,139.8818323000005,None,None,139.8818323000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
2,0,2,0,,,,,,,,,,0,2,0,36,1,3.3535975560099702,2.711340609857,None,141.68984620000083,None,144.43253840000034,None,144.4385431999999,None,['r'],144.43253840000034,None,None,,146.37345650000043,None,r,1.3276546999995844,1,1,1.0,149.73907810000037,None,None,149.73907810000037,None,[1.3276546999995844],,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
3,0,3,0,,,,,,,,,,1,0,0,36,1,4.89745263827305,2.99272735241982,None,151.53988430000027,None,154.5751639,None,154.57311459999983,None,None,154.5751639,None,['r'],[0.6751972000001842],156.52332640000077,None,r,2.6751972000001842,1,1,1.0,161.4304978,None,None,161.4304978,None,,,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
4,0,4,0,,,,,,,,,,0,1,1,50,1,3.9110799880328697,0.760509851028298,None,163.23984810000002,None,164.05699840000034,None,164.05611534000036,None,None,164.05699840000034,None,['b'],[0.8363602999997966],165.9898320000002,None,b,2.8363602999997966,1,1,1.0,169.91289870000037,None,None,169.91289870000037,None,,,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
5,0,5,0,,,,,,,,,,2,2,0,14,1,2.038421555814887,0.767372347918183,None,171.72359300000062,None,172.53870280000046,None,172.5396609999998,None,['r'],172.53870280000046,None,None,,174.4897406,None,r,1.8401740999997855,1,1,1.0,176.54779260000032,None,None,176.54779260000032,None,[1.8401740999997855],,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
6,0,6,0,,,,,,,,,,0,0,0,14,1,3.00565230777806,0.872854310065634,None,178.35640970000077,None,179.27892050000082,None,179.28953744000046,None,None,179.27892050000082,None,['r'],[0.41517599999951926],181.2231008000008,None,r,2.4151759999995193,1,1,1.0,184.24847500000033,None,None,184.24847500000033,None,,,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
7,0,7,0,,,,,,,,,,1,2,1,50,1,4.057112590273469,3.093067417437,None,186.05645020000065,None,189.19620020000002,None,189.20634893999977,None,['b'],189.19620020000002,None,None,,191.13990140000078,None,b,1.385302399999091,1,1,1.0,195.21451440000055,None,None,195.21451440000055,None,[1.385302399999091],,,,,,,,,,,,,,,,,,,,CBC_1104,001,4,2,2,9,0.95,2024-05-29_15h10.39.224,MSI_AV_v1,2022.1.1,60.02228027020536,
