trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.809753199999705,None,t,46.77361200000041,28.809753199999705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
,,,,,,,,,,None,75.6114791,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
0,0,0,0,,,,,,,,,,0,0,1,50,1,2.260653249681576,3.19646747994707,None,75.81164889999991,None,78.99502569,78.99502569,None,[],['b'],[0.46798290000015186],81.00542180000002,None,b,2.467982900000152,1,1,1.0,83.31528789999993,None,None,83.31528789999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
1,0,1,0,,,,,,,,,,1,2,0,36,1,3.78496720151373,1.49618260131236,None,85.0952414999997,None,86.57911808999992,86.57911808999992,None,[],['b'],[0.3046087000002444],88.5830546999996,None,b,2.3046087000002444,0,0,0.5,92.38872139999967,None,None,92.38872139999967,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
2,0,2,0,,,,,,,,,,0,1,0,36,1,2.755584162388418,1.1680331695907,None,94.19484569999986,None,95.34524769000004,95.34524769000004,None,[],['z'],[0.2751305000001594],97.35048649999999,None,z,2.2751305000001594,1,1,0.6666666666666666,100.12486189999981,None,None,100.12486189999981,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
3,0,3,0,,,,,,,,,,2,2,1,50,1,3.00565230777806,0.886051557539332,None,101.92877529999987,None,102.7950247899997,102.7950247899997,None,[],['b'],[0.0772028000001228],104.79870540000002,None,b,2.077202800000123,1,1,0.75,107.82406579999997,None,None,107.82406579999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
4,0,4,0,,,,,,,,,,0,0,1,50,1,4.75208449114276,3.44771472893932,None,109.6283486999996,None,113.06193548999985,113.06193548999985,None,[],['b'],[1.1330345000001216],115.06673439999986,None,b,3.1330345000001216,1,1,0.8,119.84096399999999,None,None,119.84096399999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
5,0,5,0,,,,,,,,,,2,2,1,50,1,4.057112590273469,2.13476920223271,None,121.64545839999982,None,123.76233919,123.76233919,b,['b'],None,,125.76744169999984,None,b,1.3539267000001018,1,1,0.8333333333333334,129.84035449999965,None,None,129.84035449999965,None,1.3539267000001018,[1.3539267000001018],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
6,0,6,0,,,,,,,,,,1,0,0,14,1,3.19303509672656,0.872854310065634,None,131.64538829999992,None,132.4954739899998,132.4954739899998,z,['z'],None,,134.5025283,None,z,1.9597847999998521,1,1,0.8571428571428571,137.70759269999962,None,None,137.70759269999962,None,1.9597847999998521,[1.9597847999998521],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
7,0,7,0,,,,,,,,,,0,1,0,36,1,3.8873543302872697,1.93473628110684,None,139.5120141999996,None,141.4286698899999,141.4286698899999,None,[],['b'],[0.428973600000063],143.4327205999998,None,b,2.428973600000063,0,0,0.75,147.3401587999997,None,None,147.3401587999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
8,0,8,0,,,,,,,,,,2,2,1,50,1,2.661399651610695,2.19546497995913,None,149.14541919999965,None,151.32880028999975,151.32880028999975,b,['b'],None,,153.33492369999976,None,b,1.2737560000000485,1,1,0.7777777777777778,156.00740169999972,None,None,156.00740169999972,None,1.2737560000000485,[1.2737560000000485],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
9,0,9,0,,,,,,,,,,1,1,1,50,0,4.08205346963855,2.711340609857,None,157.81208689999994,None,160.49531758999987,160.49531758999987,None,[],['b'],[0.19391429999996035],162.49984649999988,None,b,2.1939142999999603,1,0,0.8,166.60628849999966,None,None,166.60628849999966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
10,0,10,0,,,,,,,,,,0,2,0,14,1,3.9110799880328697,2.55132244875705,None,168.4122210999999,None,170.94606018999988,170.94606018999988,None,[],['z'],[0.11886780000031649],172.9491622999999,None,z,2.1188678000003165,1,1,0.8181818181818182,176.87453229999983,None,None,176.87453229999983,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
11,0,11,0,,,,,,,,,,1,1,1,50,1,3.3535975560099702,2.2926827756088,None,178.6787743,None,180.94548629000005,180.94548629000005,None,[],['z'],[0.19131349999997838],182.9511167999999,None,z,2.1913134999999784,0,0,0.75,186.3227566999999,None,None,186.3227566999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
12,0,12,0,,,,,,,,,,2,0,0,36,1,3.0109893695593497,2.24098228083631,None,188.12880719999976,None,190.34557898999978,190.34557898999978,None,[],['z'],[0.18766260000029433],192.3497709999997,None,z,2.1876626000002943,1,1,0.7692307692307693,195.37563529999989,None,None,195.37563529999989,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
13,0,13,0,,,,,,,,,,1,2,0,36,1,3.6791616380244196,2.79689535976632,None,197.17879159999984,None,199.96297119000005,199.96297119000005,z,['z'],None,,201.9675503999997,None,z,2.0054432000001725,1,1,0.7857142857142857,205.67386859999988,None,None,205.67386859999988,None,2.0054432000001725,[2.0054432000001725],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
14,0,14,0,,,,,,,,,,2,0,0,36,1,2.9608932424063896,0.859460502749755,None,207.4790754999999,None,208.3123935899997,208.3123935899997,None,[],['z'],[0.3075843999999961],210.3168125999996,None,z,2.307584399999996,1,1,0.8,213.29134469999963,None,None,213.29134469999963,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
15,0,15,0,,,,,,,,,,1,1,1,50,1,2.0935163976022517,2.9722947448457,None,215.09571379999988,None,218.04569598999964,218.04569598999964,z,['z'],None,,220.04994999999963,None,z,1.396177500000249,0,0,0.75,222.157236,None,None,222.157236,None,1.396177500000249,[1.396177500000249],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
16,0,16,0,,,,,,,,,,2,0,0,36,1,2.038421555814887,1.92795341140246,None,223.96245739999995,None,225.87918718999967,225.87918718999967,z,['z'],None,,227.88538279999966,None,z,1.477372600000308,1,1,0.7647058823529411,229.94193189999987,None,None,229.94193189999987,None,1.477372600000308,[1.477372600000308],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
17,0,17,0,,,,,,,,,,1,1,1,50,1,4.638307379983409,1.23760834810881,None,231.74638809999988,None,232.96304618999997,232.96304618999997,z,['z'],None,,234.96646759999976,None,z,1.5082476000002316,0,0,0.7222222222222222,239.6185486999998,None,None,239.6185486999998,None,1.5082476000002316,[1.5082476000002316],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
18,0,18,0,,,,,,,,,,0,0,1,50,1,2.143942873030107,2.31238477131615,None,241.42926609999995,None,243.72918868999963,243.72918868999963,None,[],['b'],[0.14859059999980673],245.72974959999965,None,b,2.1485905999998067,1,1,0.7368421052631579,247.89075319999984,None,None,247.89075319999984,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
19,0,19,0,,,,,,,,,,2,2,1,50,1,4.89745263827305,2.96697800987238,None,249.69592239999974,None,252.64608288999975,252.64608288999975,b,['b'],None,,254.6502989999999,None,b,1.1758602999998402,1,1,0.75,259.57561929999974,None,None,259.57561929999974,None,1.1758602999998402,[1.1758602999998402],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
20,0,20,0,,,,,,,,,,0,1,0,36,1,3.8484563543876202,3.093067417437,None,261.37968079999973,None,264.4459880899998,264.4459880899998,None,[],['z'],[0.2689721000001555],266.4504766,None,z,2.2689721000001555,1,1,0.7619047619047619,270.32544119999966,None,None,270.32544119999966,None,,,,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
21,0,21,0,,,,,,,,,,2,2,1,50,1,3.35750049552731,2.93253104700369,None,272.12927790000003,None,275.04608288999987,275.04608288999987,b,['b'],None,,277.05567159999964,None,b,1.0766945000000305,1,1,0.7727272727272727,280.4252749999996,None,None,280.4252749999996,None,1.0766945000000305,[1.0766945000000305],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
22,0,22,0,,,,,,,,,,1,0,0,14,1,2.8965037234387068,2.18142366553255,None,282.2294775999999,None,284.3958425899999,284.3958425899999,z,['z'],None,,286.3999856999999,None,z,1.9508025999998608,1,1,0.782608695652174,289.29581310000003,None,None,289.29581310000003,None,1.9508025999998608,[1.9508025999998608],,,,,,,,,,,,,,,,,,,,CBC_1083,2,2,2,3,12,0.90,2024-04-10_14h07.08.183,MSI_TV_v1,2022.1.1,60.0204429629048,
