trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,1,0,0,14,1,2.396355568442425,3.19646747994707,None,328.3330939000007,None,331.5166832499992,331.5166832499992,None,[],['b'],[0.16300190000038128],333.5199776999998,None,b,2.1630019000003813,0,0,0.6428571428571429,335.92876140000044,None,None,335.92876140000044,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
28,0,28,0,,,,,,,,,,0,2,0,36,1,4.79396941305267,0.823898895776125,None,337.7336524000002,None,338.53372484999926,338.53372484999926,None,[],['b'],[0.9441640000004554],340.538862899999,None,b,2.9441640000004554,0,0,0.6206896551724138,345.34469569999965,None,None,345.34469569999965,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
29,0,29,0,,,,,,,,,,2,1,1,50,1,3.08399219778019,1.931001549337,None,347.1499301999993,None,349.0670380500007,349.0670380500007,None,[],['b'],[0.6984832000016468],351.0709232999998,None,b,2.6984832000016468,1,1,0.6333333333333333,354.1718445000006,None,None,354.1718445000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
30,0,30,0,,,,,,,,,,2,1,1,50,1,4.79595120749692,2.32696722275902,None,355.9837244999999,None,358.28321095000064,358.28321095000064,None,[],['z'],[0.5723526000001584],360.2873768999998,None,z,2.5723526000001584,0,0,0.6129032258064516,365.0935797000002,None,None,365.0935797000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
31,0,31,0,,,,,,,,,,1,2,1,50,0,2.260653249681576,1.23760834810881,None,366.90049030000046,None,368.11713275000074,368.11713275000074,None,[],['b'],[0.38433470000018133],370.1226494000002,None,b,2.3843347000001813,1,0,0.625,372.39404300000024,None,None,372.39404300000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
32,0,32,0,,,,,,,,,,2,1,1,50,1,3.9110799880328697,1.1680331695907,None,374.1999230000001,None,375.349882149999,375.349882149999,None,[],['z'],[0.664562100000694],377.35350629999994,None,z,2.664562100000694,0,0,0.6060606060606061,381.27694259999953,None,None,381.27694259999953,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
33,0,33,0,,,,,,,,,,0,2,0,36,1,2.9608932424063896,0.864984636888209,None,383.08384900000055,None,383.93382864999984,383.93382864999984,None,[],['b'],[1.408698600002026],385.9373689999993,None,b,3.408698600002026,0,0,0.5882352941176471,388.9119628999997,None,None,388.9119628999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
34,0,34,0,,,,,,,,,,2,0,0,36,1,2.664345149861413,2.99272735241982,None,390.7171865,None,393.68382004999984,393.68382004999984,None,[],['b'],[0.41840790000060224],395.68988440000066,None,b,2.4184079000006022,0,0,0.5714285714285714,398.3770616999991,None,None,398.3770616999991,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
35,0,35,0,,,,,,,,,,1,1,0,36,1,2.533372966674614,2.68012679460483,None,400.18339689999993,None,402.8506204500001,402.8506204500001,None,[],['z'],[0.35497400000167545],404.855853699999,None,z,2.3549740000016754,1,1,0.5833333333333334,407.4125750000003,None,None,407.4125750000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
36,0,36,0,,,,,,,,,,0,0,1,50,1,3.0795770157756097,2.96697800987238,None,409.2168982000003,None,412.16686475000023,412.16686475000023,b,['b'],None,,414.1715079000005,None,b,0.10382140000183426,1,1,0.5945945945945946,417.2782779999998,None,None,417.2782779999998,None,0.10382140000183426,[0.10382140000183426],,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
37,0,37,0,,,,,,,,,,1,2,1,50,1,3.8873543302872697,0.886051557539332,None,419.0841313000001,None,419.9505380500006,419.9505380500006,None,[],['z'],[0.2757831000017177],421.9533570000003,None,z,2.2757831000017177,0,0,0.5789473684210527,425.8617775999992,None,None,425.8617775999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
38,0,38,0,,,,,,,,,,2,0,0,36,1,2.143942873030107,2.2926827756088,None,427.66723769999953,None,429.934058349999,429.934058349999,None,[],['b'],[0.7998501000001852],431.9390848999992,None,b,2.799850100000185,0,0,0.5641025641025641,434.0947512999992,None,None,434.0947512999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
39,0,39,0,,,,,,,,,,0,1,0,14,1,2.0691390047117237,2.711340609857,None,435.90072359999976,None,438.6004291500005,438.6004291500005,z,['z'],None,,440.60447550000026,None,z,1.7934004000017012,1,1,0.575,442.69657259999985,None,None,442.69657259999985,None,1.7934004000017012,[1.7934004000017012],,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
40,0,40,0,,,,,,,,,,2,2,0,14,1,4.08205346963855,1.49331160364633,None,444.50053710000066,None,445.9674692500004,445.9674692500004,None,[],['b'],[0.4617675000008603],447.9705498000003,None,b,2.4617675000008603,0,0,0.5609756097560976,452.0788713000002,None,None,452.0788713000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
41,0,41,0,,,,,,,,,,0,0,1,50,1,3.75606544973216,2.24098228083631,None,453.88410900000054,None,456.1008013500006,456.1008013500006,None,[],['z'],[1.2552314000022307],458.10538239999914,None,z,3.2552314000022307,0,0,0.5476190476190477,461.8787412999991,None,None,461.8787412999991,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,463.68408699999964,None,,,,,,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.68412179999905,None,None,468.68412179999905,None,,,,,,,,,,,,CBC_1032,2,3,2,0,7,0.95,2023-10-20_11h31.15.953,MSI_TV_v1,2022.1.1,60.007909042818945,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[0, 2, 1]",b,z,0.5714285714285714,0.7142857142857143,0.35714285714285715,21,3,18,,,,,,,,,,,,
