trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,24.534835599999496,None,t,54.50988839999991,24.534835599999496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
,,,,,,,,,,None,79.07091819999914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
0,0,0,0,,,,,,,,,,1,2,0,36,1,3.00565230777806,1.93473628110684,None,79.27062870000009,None,81.18772003999966,81.18772003999966,z,['z'],1.7574896000005538,[1.7574896000005538],None,83.19696039999872,None,z,1.7574896000005538,1,1,1.0,86.26845569999932,None,None,86.26845569999932,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
1,0,1,0,,,,,,,,,,0,0,1,50,1,2.755584162388418,1.1680331695907,None,88.0208619999994,None,89.1710024399983,89.1710024399983,None,[],,,['b'],91.17335209999874,None,b,2.621175400001448,1,1,1.0,93.9506840999984,None,None,93.9506840999984,None,[0.621175400001448],,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
2,0,2,0,,,,,,,,,,2,2,1,50,1,2.0691390047117237,3.093067417437,None,95.75413209999897,None,98.82102543999845,98.82102543999845,None,[],,,['z'],100.82380159999957,None,z,3.139837400001852,0,0,0.6666666666666666,102.93747259999873,None,None,102.93747259999873,None,[1.139837400001852],,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
3,0,3,0,,,,,,,,,,0,0,1,50,1,4.79595120749692,2.41859016397919,None,104.72163829999954,None,107.12118453999956,107.12118453999956,None,[],,,['b'],109.12481639999896,None,b,2.7085498000014923,1,1,0.75,113.93368299999929,None,None,113.93368299999929,None,[0.7085498000014923],,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
4,0,4,0,,,,,,,,,,2,1,0,14,1,3.00616914487701,2.93253104700369,None,115.73780839999927,None,118.65449773999917,118.65449773999917,None,[],,,['z'],120.65383819999988,None,z,4.785171400000763,1,1,0.8,123.68327319999844,None,None,123.68327319999844,None,[2.7851714000007632],,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
5,0,5,0,,,,,,,,,,0,0,1,50,1,4.057112590273469,0.767372347918183,None,125.48687049999899,None,126.23778533999958,126.23778533999958,b,['b'],1.856465599999865,[1.856465599999865],None,128.23746629999914,None,b,1.856465599999865,1,1,0.8333333333333334,132.31623409999884,None,None,132.31623409999884,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
6,0,6,0,,,,,,,,,,1,2,0,36,1,4.75208449114276,2.99272735241982,None,134.12120089999917,None,137.08778613999874,137.08778613999874,None,[],,,['z'],139.09246659999917,None,z,2.488229100001263,1,1,0.8571428571428571,143.86663819999922,None,None,143.86663819999922,None,[0.48822910000126285],,,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
7,0,7,0,,,,,,,,,,2,0,0,36,1,2.269747919971076,2.13476920223271,None,145.67128499999853,None,147.78802893999836,147.78802893999836,None,[],,,None,149.79545119999966,None,None,[],0,3,0.75,152.1070295999998,None,['b'],152.1070295999998,None,,[0.058037500000864384],,,,,,,,,,,,,,,,,,,,,CBC_1047,2,2,3,1,0,0.95,2024-01-21_16h07.53.122,MSI_TV_v1,2022.1.1,60.00805308091734,
