trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,286.93035729999974,None,t,77.14614690000053,286.93035729999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
,,,,,,,,,,None,364.1022194999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
0,0,0,0,,,,,,,,,,1,0,0,36,1,2.435645686656409,2.41859016397919,None,364.3158965999992,None,366.71845723999957,366.71845723999957,None,[],['z'],[1.6440873000001375],368.71419759999935,None,z,3.6440873000001375,0,0,0.0,371.2152927999996,None,None,371.2152927999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
1,0,1,0,,,,,,,,,,0,2,1,50,1,3.22645636662535,0.859460502749755,None,372.9700315,None,373.80332893999946,373.80332893999946,None,[],['b'],[0.12333490000037273],375.80793299999914,None,b,2.1233349000003727,0,0,0.0,379.0489715999993,None,None,379.0489715999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
2,0,2,0,,,,,,,,,,2,0,1,50,1,3.0109893695593497,3.25187717164471,None,380.8533303999993,None,384.08679293999955,384.08679293999955,None,[],['z'],[0.7747263000010207],386.09239419999994,None,z,2.7747263000010207,1,1,0.3333333333333333,389.1409911999999,None,None,389.1409911999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
3,0,3,0,,,,,,,,,,0,2,1,50,1,4.08205346963855,1.14006717102905,None,390.9200637999993,None,392.03569833999916,392.03569833999916,None,[],['z'],[1.4338154000006398],394.03271179999956,None,z,3.43381540000064,1,1,0.5,398.1338595999996,None,None,398.1338595999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
4,0,4,0,,,,,,,,,,2,1,0,14,1,2.096051788593735,1.23760834810881,None,399.9353624999994,None,401.1532905399994,401.1532905399994,None,[],['b'],[1.8218118000004324],403.1639292,None,b,3.8218118000004324,1,1,0.6,405.26853049999954,None,None,405.26853049999954,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
5,0,5,0,,,,,,,,,,0,2,1,50,1,4.3560033776911595,0.886051557539332,None,407.0698720999999,None,407.93677073999913,407.93677073999913,None,[],['z'],[0.44147030000021914],409.9367820999996,None,z,2.441470300000219,1,1,0.6666666666666666,414.3170743999999,None,None,414.3170743999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
6,0,6,0,,,,,,,,,,1,0,0,36,1,2.143942873030107,2.55132244875705,None,416.1201820999995,None,418.65303403999985,418.65303403999985,None,[],['z'],[1.96081520000007],420.65730279999934,None,z,3.96081520000007,0,0,0.5714285714285714,422.80176159999974,None,None,422.80176159999974,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
7,0,7,0,,,,,,,,,,2,2,0,36,1,2.9608932424063896,1.931001549337,None,424.60319399999935,None,426.51973053999916,426.51973053999916,None,[],['b'],[1.3566731000009895],428.5245077999998,None,b,3.3566731000009895,1,1,0.625,431.4997115999995,None,None,431.4997115999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
8,0,8,0,,,,,,,,,,1,1,1,50,1,2.269747919971076,0.760509851028298,None,433.3024384,None,434.03685943999915,434.03685943999915,None,[],['z'],[0.6047974000002796],436.04191379999975,None,z,2.6047974000002796,1,1,0.6666666666666666,438.31913279999935,None,None,438.31913279999935,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
9,0,9,0,,,,,,,,,,2,2,0,36,1,4.79595120749692,0.872854310065634,None,440.1201566,None,440.9686386399993,440.9686386399993,b,['b'],None,,442.9663759999994,None,b,1.9025270000011005,1,1,0.7,447.78441829999974,None,None,447.78441829999974,None,1.9025270000011005,[1.9025270000011005],,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
10,0,10,0,,,,,,,,,,1,1,1,50,1,2.93061443445534,1.92795341140246,None,449.58684879999964,None,451.4864860399997,451.4864860399997,None,[],['z'],[1.1651543000007223],453.4845145999998,None,z,3.1651543000007223,1,1,0.7272727272727273,456.42916759999935,None,None,456.42916759999935,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
11,0,11,0,,,,,,,,,,2,0,1,50,1,3.08399219778019,2.24098228083631,None,458.2369325999998,None,460.4532439399994,460.4532439399994,None,[],['b'],[0.7935591000004933],462.4573606999993,None,b,2.7935591000004933,0,0,0.6666666666666666,465.5654565999994,None,None,465.5654565999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
12,0,12,0,,,,,,,,,,0,1,0,36,1,2.661399651610695,2.19546497995913,None,467.37031769999976,None,469.5531873399999,469.5531873399999,None,[],['z'],[0.9281497000010859],471.55455059999986,None,z,2.928149700001086,0,0,0.6153846153846154,474.2334288999991,None,None,474.2334288999991,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
13,0,13,0,,,,,,,,,,1,2,0,14,1,3.8484563543876202,0.823898895776125,None,476.03684669999984,None,476.8356178399994,476.8356178399994,None,[],['b'],[0.23228960000051302],478.83180489999995,None,b,2.232289600000513,1,1,0.6428571428571429,482.70000529999925,None,None,482.70000529999925,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
14,0,14,0,,,,,,,,,,2,0,1,50,1,3.3535975560099702,2.32696722275902,None,484.5032734999995,None,486.80303323999976,486.80303323999976,None,[],['b'],[1.0547138000001723],488.8083369999995,None,b,3.0547138000001723,0,0,0.6,492.16870429999926,None,None,492.16870429999926,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
15,0,15,0,,,,,,,,,,1,1,1,50,1,4.85706913915242,2.13476920223271,None,493.9703559999998,None,496.08713743999976,496.08713743999976,None,[],['z'],[0.6317540000000008],498.0913154,None,z,2.631754000000001,1,1,0.625,502.9650912999996,None,None,502.9650912999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
16,0,16,0,,,,,,,,,,2,0,1,50,1,2.8965037234387068,2.96697800987238,None,504.7699784999995,None,507.71973983999976,507.71973983999976,None,[],['z'],[1.212921300000744],509.7255000999994,None,z,3.212921300000744,1,1,0.6470588235294118,512.6489672999996,None,None,512.6489672999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
17,0,17,0,,,,,,,,,,0,1,0,36,1,3.9110799880328697,1.49618260131236,None,514.4537866999999,None,515.9205488399997,515.9205488399997,None,[],['b'],[1.044937700000446],517.9242861999992,None,b,3.044937700000446,1,1,0.6666666666666666,521.8494221999999,None,None,521.8494221999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
18,0,18,0,,,,,,,,,,2,2,0,36,1,3.8873543302872697,2.93253104700369,None,523.6533904999997,None,526.5702600399994,526.5702600399994,None,[],['b'],[0.5685716000007233],528.5717585999992,None,b,2.5685716000007233,1,1,0.6842105263157895,532.4821001,None,None,532.4821001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
19,0,19,0,,,,,,,,,,0,0,0,14,1,4.89745263827305,2.2926827756088,None,534.2870129999992,None,536.5538019399995,536.5538019399995,None,[],['b'],[1.3886963000013566],538.5604825999999,None,b,3.3886963000013566,1,1,0.7,543.4832425999994,None,None,543.4832425999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
20,0,20,0,,,,,,,,,,1,1,1,50,0,3.19303509672656,1.1680331695907,None,545.2869308999998,None,546.4372013399992,546.4372013399992,None,[],['z'],[0.5788914000013392],548.4412933999993,None,z,2.578891400001339,1,0,0.7142857142857143,551.6497628999996,None,None,551.6497628999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
21,0,21,0,,,,,,,,,,0,2,1,50,1,4.75208449114276,3.44771472893932,None,553.4539483999997,None,556.8876079399992,556.8876079399992,None,[],['z'],[1.238619200001267],558.8916118999996,None,z,3.238619200001267,1,1,0.7272727272727273,563.6661232999995,None,None,563.6661232999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
22,0,22,0,,,,,,,,,,1,0,0,36,1,2.260653249681576,1.85507739556255,None,565.4704652999999,None,567.3040846399994,567.3040846399994,None,[],['b'],[0.9936838000003263],569.3086966999999,None,b,2.9936838000003263,1,1,0.7391304347826086,571.5833876999995,None,None,571.5833876999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
23,0,23,0,,,,,,,,,,2,1,0,14,1,2.038421555814887,2.9722947448457,None,573.3874114999999,None,576.3372076399995,576.3372076399995,None,[],['b'],[1.651740600001176],578.3411883999997,None,b,3.651740600001176,1,1,0.75,580.4006258999998,None,None,580.4006258999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1106,1,6,2,5,11,0.95,2024-10-18_14h09.54.931,MSI_TV_v1,2022.1.1,60.5259462624927,
