trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,1,2,0,36,1,3.8484563543876202,2.96697800987238,None,291.6906181000004,None,294.70635480000055,None,294.70726030000014,None,['z'],294.70635480000055,None,None,,296.65731850000066,None,z,1.146561099999417,0,0,0.36363636363636365,300.5135651999999,None,None,300.5135651999999,None,,[1.146561099999417],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
22,0,22,0,,,,,,,,,,0,1,1,50,1,4.75208449114276,0.859460502749755,None,302.32435840000016,None,303.2290991,None,303.2410220000003,None,None,303.2290991,None,['b'],[0.7693269000001237],305.17367210000066,None,b,2.7693269000001237,0,0,0.34782608695652173,309.94468440000037,None,None,309.94468440000037,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
23,0,23,0,,,,,,,,,,1,0,1,50,1,3.0795770157756097,2.79689535976632,None,311.75738739999997,None,314.61099280000053,None,314.60783279999987,None,['z'],314.61099280000053,None,None,,316.55776049999986,None,z,0.9538416999994297,1,1,0.375,319.6442844000003,None,None,319.6442844000003,None,,[0.9538416999994297],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
24,0,24,0,,,,,,,,,,2,1,0,36,1,4.08205346963855,2.18142366553255,None,321.45755950000057,None,323.69416640000054,None,323.69106409999995,None,None,323.69416640000054,None,['z'],[0.29017969999949855],325.6407396000004,None,z,2.2901796999994986,0,0,0.36,329.73063980000006,None,None,329.73063980000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
25,0,25,0,,,,,,,,,,1,0,1,50,1,4.79595120749692,1.49331160364633,None,331.54126799999995,None,333.0801854000001,None,333.09090360000044,None,['z'],333.0801854000001,None,None,,335.0246477999999,None,z,1.2105354999994233,1,1,0.38461538461538464,339.8332973000006,None,None,339.8332973000006,None,,[1.2105354999994233],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
26,0,26,0,,,,,,,,,,2,2,1,50,1,2.396355568442425,1.90695111352951,None,341.64075610000054,None,343.5979627000006,None,343.6080211999999,None,None,343.5979627000006,None,['b'],[0.3268657999997231],345.5412959000005,None,b,2.326865799999723,0,0,0.37037037037037035,347.9480534000004,None,None,347.9480534000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
27,0,27,0,,,,,,,,,,1,1,0,14,1,3.6791616380244196,1.93473628110684,None,349.7576564000001,None,351.74812400000064,None,351.7578284000003,None,['z'],351.74812400000064,None,None,,353.6908974000007,None,z,1.4476623000000473,0,0,0.35714285714285715,357.3799127000002,None,None,357.3799127000002,None,,[1.4476623000000473],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
28,0,28,0,,,,,,,,,,0,0,0,36,1,3.35750049552731,2.71666458349534,None,359.1912806,None,361.96663530000023,None,361.9743650000002,None,None,361.96663530000023,None,['b'],[2.1321801999993113],363.90743980000025,None,b,4.132180199999311,1,1,0.3793103448275862,367.2821823000004,None,None,367.2821823000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
29,0,29,0,,,,,,,,,,1,2,0,36,1,2.260653249681576,1.1680331695907,None,369.0910480000002,None,370.3200652000005,None,370.32440220000007,None,None,370.3200652000005,None,['z'],[1.2879951999993864],372.25798209999994,None,z,3.2879951999993864,0,0,0.36666666666666664,374.53110819999984,None,None,374.53110819999984,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
30,0,30,0,,,,,,,,,,0,1,1,50,1,4.89745263827305,2.24098228083631,None,376.3413334000006,None,378.63334680000025,None,378.64154700000034,None,None,378.63334680000025,None,['b'],[0.10413059999973484],380.57459070000004,None,b,2.104130599999735,0,0,0.3548387096774194,385.48295510000025,None,None,385.48295510000025,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
31,0,31,0,,,,,,,,,,2,2,1,50,0,3.22645636662535,0.886051557539332,None,387.2911399000004,None,388.2306333000006,None,388.2412290000004,None,None,388.2306333000006,None,['z'],[0.4264938999995138],390.1745043000001,None,z,2.426493899999514,1,0,0.375,393.41389849999996,None,None,393.41389849999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
32,0,32,0,,,,,,,,,,1,0,1,50,1,3.08399219778019,2.46471651569721,None,395.2246562,None,397.7485913999999,None,397.7578540000006,None,['z'],397.7485913999999,None,None,,399.6910353000003,None,z,1.1351967000000514,1,1,0.3939393939393939,402.7827649999999,None,None,402.7827649999999,None,,[1.1351967000000514],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
33,0,33,0,,,,,,,,,,2,1,0,36,1,2.755584162388418,1.931001549337,None,404.5914418000002,None,406.5785278000003,None,406.57480350000014,None,['b'],406.5785278000003,None,None,,408.52496410000003,None,b,1.8229395999996996,1,1,0.4117647058823529,411.2905573000007,None,None,411.2905573000007,None,,[1.8229395999996996],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
34,0,34,0,,,,,,,,,,0,0,0,36,1,2.435645686656409,1.14006717102905,None,413.0912797000001,None,414.2818278000004,None,414.2913731999999,None,['b'],414.2818278000004,None,None,,416.22463620000053,None,b,1.4236080999999103,1,1,0.42857142857142855,418.68222500000047,None,None,418.68222500000047,None,,[1.4236080999999103],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
35,0,35,0,,,,,,,,,,2,2,1,50,1,3.00616914487701,1.23760834810881,None,420.4916524,None,421.78065870000046,None,421.79125760000005,None,None,421.78065870000046,None,['b'],[1.070824299999913],423.7246412000004,None,b,3.070824299999913,0,0,0.4166666666666667,426.7481950000001,None,None,426.7481950000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
36,0,36,0,,,,,,,,,,1,0,1,50,1,2.038421555814887,2.711340609857,None,428.55815820000043,None,431.3140299000006,None,431.3251020999998,None,None,431.3140299000006,None,['z'],[0.6506963000001633],433.2580888000002,None,z,2.6506963000001633,1,1,0.43243243243243246,435.31645840000056,None,None,435.31645840000056,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
37,0,37,0,,,,,,,,,,2,1,0,36,1,4.85706913915242,3.19646747994707,None,437.1246953,None,440.3805241,None,440.3916179999998,None,None,440.3805241,None,['z'],[1.5654091999995217],442.3249235000003,None,z,3.5654091999995217,0,0,0.42105263157894735,447.1989308000002,None,None,447.1989308000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
38,0,38,0,,,,,,,,,,0,2,0,14,1,4.638307379983409,2.41859016397919,None,449.00870660000055,None,451.48180930000035,None,451.49200990000026,None,['b'],451.48180930000035,None,None,,453.4240847000001,None,b,1.431135599999834,1,1,0.4358974358974359,458.07522880000033,None,None,458.07522880000033,None,,[1.431135599999834],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
39,0,39,0,,,,,,,,,,2,0,0,14,1,2.143942873030107,3.44771472893932,None,459.8746465000004,None,463.3574821000002,None,463.35784360000054,None,['z'],463.3574821000002,None,None,,465.32501950000005,None,z,1.3200643999998647,0,0,0.425,467.4807743000001,None,None,467.4807743000001,None,,[1.3200643999998647],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
40,0,40,0,,,,,,,,,,0,1,1,50,1,2.096051788593735,0.760509851028298,None,469.29153980000046,None,470.09480390000044,None,470.0915264999999,None,['b'],470.09480390000044,None,None,,472.0414724000002,None,b,1.582931799999642,0,0,0.4146341463414634,474.14876820000063,None,None,474.14876820000063,None,,[1.582931799999642],,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
41,0,41,0,,,,,,,,,,1,0,1,50,1,2.070770331037005,2.31238477131615,None,475.95803760000035,None,478.3312801000002,None,478.3416485999998,None,None,478.3312801000002,None,['z'],[0.3294367999997121],480.27505460000066,None,z,2.329436799999712,1,1,0.42857142857142855,482.36760520000007,None,None,482.36760520000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,484.1742774000004,None,,,,,,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.17414030000054,None,None,489.17414030000054,None,,,,,,,,,,,,CBC_1049,1,3,1,4,2,0.95,2024-01-23_15h14.42.182,MSI_AV_v1,2022.1.1,59.98458396183116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[1, 0, 2]",z,b,0.35714285714285715,0.35714285714285715,0.5714285714285714,16,1,25,,,,,,,,,,,,
