trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,193.6334109999989,None,t,70.58066780000081,193.6334109999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
,,,,,,,,,,None,264.23020729999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
0,0,0,0,,,,,,,,,,1,0,1,50,1,3.08399219778019,2.46471651569721,None,264.4304462,None,266.88086541999894,266.88086541999894,None,[],['b'],[0.5236019999993005],268.8861668999998,None,b,2.5236019999993005,1,1,1.0,272.03165459999946,None,None,272.03165459999946,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
1,0,1,0,,,,,,,,,,2,1,1,50,1,2.0691390047117237,3.25187717164471,None,273.79689139999937,None,277.03043972000035,277.03043972000035,None,[],['z'],[0.36123110000153247],279.02812520000043,None,z,2.3612311000015325,0,0,0.5,281.12083449999955,None,None,281.12083449999955,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
2,0,2,0,,,,,,,,,,0,0,0,36,1,4.79396941305267,2.41859016397919,None,282.91381229999934,None,285.3137440199995,285.3137440199995,None,[],['z'],[0.7021012000022893],287.3180455999991,None,z,2.7021012000022893,1,1,0.6666666666666666,292.11269080000056,None,None,292.11269080000056,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
3,0,3,0,,,,,,,,,,1,1,0,36,1,3.22645636662535,3.44771472893932,None,293.9136663999998,None,297.34601132000046,297.34601132000046,None,[],['b'],[0.8275221000003512],299.34243590000005,None,b,2.827522100000351,0,0,0.5,302.59003719999964,None,None,302.59003719999964,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
4,0,4,0,,,,,,,,,,0,2,1,50,1,3.9110799880328697,0.864984636888209,None,304.39696679999906,None,305.2469332200004,305.2469332200004,None,[],['z'],[0.3105946000014228],307.2459366999992,None,z,2.310594600001423,0,0,0.4,311.1741282999992,None,None,311.1741282999992,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
5,0,5,0,,,,,,,,,,2,0,0,14,1,2.143942873030107,1.931001549337,None,312.9803140999993,None,314.8965264200002,314.8965264200002,None,[],['z'],[0.8372101000004477],316.8926763999989,None,z,2.8372101000004477,1,1,0.5,319.05991189999986,None,None,319.05991189999986,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
6,0,6,0,,,,,,,,,,0,1,0,14,1,2.9608932424063896,0.859460502749755,None,320.8638960999997,None,321.6975387200006,321.6975387200006,b,['b'],None,,323.70191870000053,None,b,1.5512252999997145,0,0,0.42857142857142855,326.67402290000064,None,None,326.67402290000064,None,1.5512252999997145,[1.5512252999997145],,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
7,0,7,0,,,,,,,,,,1,0,1,50,1,2.260653249681576,1.49331160364633,None,328.4803376999989,None,329.9472606200003,329.9472606200003,None,[],['z'],[0.4319042000006448],331.9541754999991,None,z,2.4319042000006448,0,0,0.375,334.22426950000045,None,None,334.22426950000045,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
8,0,8,0,,,,,,,,,,2,2,0,36,1,2.096051788593735,2.46643561303325,None,336.03059009999924,None,338.48132062000025,338.48132062000025,None,[],['b'],[0.0392509000012069],340.4786067999994,None,b,2.039250900001207,0,0,0.3333333333333333,342.5911223000003,None,None,342.5911223000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
9,0,9,0,,,,,,,,,,0,0,0,36,1,4.18755802100366,2.19546497995913,None,344.3971352999997,None,346.5805219199998,346.5805219199998,None,[],['z'],[0.38285800000085146],348.58393669999896,None,z,2.3828580000008515,1,1,0.4,352.7919949999996,None,None,352.7919949999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
10,0,10,0,,,,,,,,,,2,2,0,36,1,4.89745263827305,2.2926827756088,None,354.5971821000003,None,356.8639506200003,356.8639506200003,None,[],['b'],[0.09058100000038394],358.8673378000003,None,b,2.090581000000384,0,0,0.36363636363636365,363.77967609999905,None,None,363.77967609999905,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
11,0,11,0,,,,,,,,,,1,0,1,50,1,2.0935163976022517,2.55132244875705,None,365.58056679999936,None,368.11386361999996,368.11386361999996,None,[],['b'],[1.0665612000011606],370.11709469999914,None,b,3.0665612000011606,1,1,0.4166666666666667,372.2261388000006,None,None,372.2261388000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
12,0,12,0,,,,,,,,,,0,2,1,50,1,4.08205346963855,1.52074017648695,None,374.02966729999935,None,375.5306737199995,375.5306737199995,None,[],['z'],[2.8174618000011833],377.5347550000006,None,z,4.817461800001183,0,0,0.38461538461538464,381.6298661000001,None,None,381.6298661000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
13,0,13,0,,,,,,,,,,2,1,1,50,1,3.19303509672656,2.31238477131615,None,383.4304895999994,None,385.7306749200003,385.7306749200003,None,[],['z'],[2.358046800000011],387.73444240000026,None,z,4.358046800000011,0,0,0.35714285714285715,390.9412154999991,None,None,390.9412154999991,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
14,0,14,0,,,,,,,,,,0,0,0,36,1,2.664345149861413,2.711340609857,None,392.74729280000065,None,395.4308435200006,395.4308435200006,None,[],['z'],[0.43531480000092415],397.4345725999992,None,z,2.435314800000924,1,1,0.4,400.1275803999997,None,None,400.1275803999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
15,0,15,0,,,,,,,,,,2,1,1,50,1,3.0109893695593497,2.9722947448457,None,401.92997040000046,None,404.88024131999975,404.88024131999975,None,[],['b'],[1.9546749000001],406.87576660000013,None,b,3.9546749000001,1,1,0.4375,409.8967324999994,None,None,409.8967324999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_1069,003,2,2,2,22,0.95,2024-03-01_16h33.01.600,MSI_TV_v1,2022.1.1,59.961420821696684,
