trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,374.0355405999999,None,t,70.6049267999997,374.0355405999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
,,,,,,,,,,None,444.6655836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
0,0,0,0,,,,,,,,,,0,0,1,50,1,2.096051788593735,2.18142366553255,None,444.8649931,None,447.32915930000036,None,447.3315622000018,None,None,447.32915930000036,None,['z'],[0.661764000000403],449.0316810000004,None,z,2.661764000000403,1,1,1.0,451.1555750000007,None,None,451.1555750000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
1,0,1,0,,,,,,,,,,1,1,0,36,1,4.08205346963855,2.711340609857,None,452.94918529999995,None,455.7706526000002,None,455.78213107000056,None,['z'],455.7706526000002,None,None,,457.66613039999993,None,z,1.3163166000003912,0,0,0.5,461.75589390000005,None,None,461.75589390000005,None,[1.3163166000003912],,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
2,0,2,0,,,,,,,,,,0,2,0,36,1,3.19303509672656,0.872854310065634,None,463.5658931000007,None,464.4771903999999,None,464.4811852500002,None,['b'],464.4771903999999,None,None,,466.4157743000005,None,b,1.2276103000003786,1,1,0.6666666666666666,469.6149451000001,None,None,469.6149451000001,None,[1.2276103000003786],,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
3,0,3,0,,,,,,,,,,2,1,1,50,1,3.6791616380244196,1.931001549337,None,471.4157642,None,473.4236086000001,None,473.43230211000036,None,['z'],473.4236086000001,None,None,,475.3491573000001,None,z,0.9466107999996893,1,1,0.75,479.04075270000067,None,None,479.04075270000067,None,[0.9466107999996893],,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
4,0,4,0,,,,,,,,,,0,0,1,50,1,3.75606544973216,1.49331160364633,None,480.8495251000004,None,482.36663490000046,None,482.36474762000034,None,['z'],482.36663490000046,None,None,,484.3324003000007,None,z,1.586834299999282,1,1,0.8,488.1069830000006,None,None,488.1069830000006,None,[1.586834299999282],,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
5,0,5,0,,,,,,,,,,2,1,1,50,1,4.3560033776911595,2.55132244875705,None,489.9159447000002,None,492.5206803000001,None,492.5323536800006,None,None,492.5206803000001,None,['z'],[0.3219970000000103],494.4665642,None,z,2.3219970000000103,1,1,0.8333333333333334,498.8416993999999,None,None,498.8416993999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
6,0,6,0,,,,,,,,,,1,0,0,14,1,3.3535975560099702,3.19646747994707,None,500.6487133999999,None,503.88552230000005,None,503.8823577500002,None,['b'],503.88552230000005,None,None,,505.83241929999986,None,b,1.4020419999997102,1,1,0.8571428571428571,509.2081760000001,None,None,509.2081760000001,None,[1.4020419999997102],,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
7,0,7,0,,,,,,,,,,0,2,0,36,1,3.0109893695593497,3.44771472893932,None,511.0157893000005,None,514.5174880000004,None,514.5157094500005,None,None,514.5174880000004,None,['z'],[0.39251899999999296],516.4665820999999,None,z,2.392518999999993,0,0,0.75,519.4897426000007,None,None,519.4897426000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
8,0,8,0,,,,,,,,,,2,1,1,50,1,3.0795770157756097,2.99272735241982,None,521.2990139000003,None,524.3344213,None,524.3329427500007,None,None,524.3344213,None,['z'],[0.244510800000171],526.2814005999999,None,z,2.244510800000171,1,1,0.7777777777777778,529.3741150000005,None,None,529.3741150000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
9,0,9,0,,,,,,,,,,1,2,1,50,1,3.08399219778019,0.823898895776125,None,531.1826323000005,None,532.1030860999999,None,532.1155366700009,None,None,532.1030860999999,None,['z'],[0.6463772000006429],533.9991597000007,None,z,2.646377200000643,1,1,0.8,537.0916698000001,None,None,537.0916698000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1084,003,4,1,7,13,0.95,2024-02-29_14h27.29.093,MSI_AV_v1,2022.1.1,59.97753241656213,
