trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,42.900386100000105,None,t,14.6265467000012,42.900386100000105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
,,,,,,,,,,None,57.546412300000156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
0,0,0,0,,,,,,,,,,1,1,0,36,1,2.269747919971076,3.44771472893932,None,57.74573600000076,None,61.17842989999936,61.17842989999936,None,[],['z'],[0.36636429999998654],63.179002499999115,None,z,2.3663642999999865,0,0,0.0,65.49960439999995,None,None,65.49960439999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
1,0,1,0,,,,,,,,,,0,0,0,36,1,2.0691390047117237,2.46471651569721,None,67.27941549999923,None,69.72932699999929,69.72932699999929,None,[],['z'],[0.0740458000000217],71.73202329999913,None,z,2.0740458000000217,0,0,0.0,73.82393980000052,None,None,73.82393980000052,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
2,0,2,0,,,,,,,,,,1,2,0,14,1,2.038421555814887,2.41859016397919,None,75.6297386999995,None,78.0295735999991,78.0295735999991,None,[],['b'],[0.4514952000008634],80.03546149999966,None,b,2.4514952000008634,1,1,0.3333333333333333,82.09019679999983,None,None,82.09019679999983,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
3,0,3,0,,,,,,,,,,2,1,1,50,1,2.0935163976022517,3.093067417437,None,83.89606029999959,None,86.9616934000007,86.9616934000007,z,['z'],None,,88.9598547000005,None,z,0.6626053999989381,1,1,0.5,91.07526110000072,None,None,91.07526110000072,None,0.6626053999989381,[0.6626053999989381],,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
4,0,4,0,,,,,,,,,,0,2,1,50,1,2.93061443445534,2.31238477131615,None,92.87924190000012,None,95.16295030000056,95.16295030000056,None,[],['z'],[0.5286921000006259],97.16101779999917,None,z,2.528692100000626,1,1,0.6,100.10778989999926,None,None,100.10778989999926,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
5,0,5,0,,,,,,,,,,0,2,1,50,1,4.85706913915242,2.13476920223271,None,101.91261870000017,None,104.02960399999957,104.02960399999957,z,['z'],None,,106.03555190000043,None,z,1.3069995999994717,1,1,0.6666666666666666,110.90968169999906,None,None,110.90968169999906,None,1.3069995999994717,[1.3069995999994717],,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
6,0,6,0,,,,,,,,,,2,1,1,50,1,4.18755802100366,1.23760834810881,None,112.71155179999914,None,113.92944189999999,113.92944189999999,None,[],['z'],[0.5371504000013374],115.93390530000033,None,z,2.5371504000013374,1,1,0.7142857142857143,120.12872629999947,None,None,120.12872629999947,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
7,0,7,0,,,,,,,,,,0,0,0,36,1,3.0795770157756097,2.2926827756088,None,121.92946169999959,None,124.19610870000015,124.19610870000015,None,[],['z'],[0.686221600000863],126.2032321000006,None,z,2.686221600000863,0,0,0.625,129.30885409999973,None,None,129.30885409999973,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,4,5,2,7,4,0.95,2024-11-02_14h54.25.240,MSI_TV_v1,2022.1.1,59.99142122735223,
