trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,40.841134300000704,None,t,58.41569570000138,40.841134300000704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
,,,,,,,,,,None,99.28113780000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
0,0,0,0,,,,,,,,,,1,0,0,36,1,4.79595120749692,1.931001549337,None,99.48134179999943,None,101.39706221999968,101.39706221999968,z,['z'],1.7273998000000574,[1.7273998000000574],None,103.3930178999999,None,z,1.7273998000000574,0,0,0.0,108.24937019999925,None,None,108.24937019999925,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
1,0,1,0,,,,,,,,,,0,1,1,50,1,4.89745263827305,1.52074017648695,None,110.01445590000003,None,111.51357882000066,111.51357882000066,z,['z'],1.6816205000013724,[1.6816205000013724],None,113.51031709999916,None,z,1.6816205000013724,1,1,0.5,118.4425124999998,None,None,118.4425124999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
2,0,2,0,,,,,,,,,,2,0,1,50,1,2.755584162388418,1.1680331695907,None,120.23134240000036,None,121.38118681999931,121.38118681999931,None,[],,,['b'],123.38589859999956,None,b,2.0384116000004724,0,0,0.3333333333333333,126.15864779999902,None,None,126.15864779999902,None,[0.03841160000047239],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
3,0,3,0,,,,,,,,,,2,0,1,50,1,2.435645686656409,2.711340609857,None,127.96453010000005,None,130.64789691999994,130.64789691999994,None,[],,,['z'],132.65538480000032,None,z,2.0244684999997844,1,1,0.5,135.10982150000018,None,None,135.10982150000018,None,[0.0244684999997844],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
4,0,4,0,,,,,,,,,,1,2,1,50,1,3.8484563543876202,3.44771472893932,None,136.9138430999992,None,140.33126972000008,140.33126972000008,None,[],,,['z'],142.33103759999904,None,z,2.8521298000014212,1,1,0.6,146.19381950000025,None,None,146.19381950000025,None,[0.8521298000014212],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
5,0,5,0,,,,,,,,,,0,1,1,50,1,3.6791616380244196,0.760509851028298,None,147.9986761,None,148.7313779199996,148.7313779199996,None,[],,,['b'],150.7358774000004,None,b,2.9474348000021564,0,0,0.5,154.4250974000006,None,None,154.4250974000006,None,[0.9474348000021564],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
6,0,6,0,,,,,,,,,,2,2,0,14,1,2.038421555814887,1.92795341140246,None,156.23122200000034,None,158.1312449199997,158.1312449199997,None,[],,,['b'],160.13086830000066,None,b,3.2923369000000093,1,1,0.5714285714285714,162.1940625999996,None,None,162.1940625999996,None,[1.2923369000000093],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
7,0,7,0,,,,,,,,,,0,1,1,50,1,3.78496720151373,0.767372347918183,None,163.99880420000045,None,164.74803042000002,164.74803042000002,z,['z'],1.4626792000017304,[1.4626792000017304],None,166.755024099999,None,z,1.4626792000017304,1,1,0.625,170.5597531000003,None,None,170.5597531000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
