trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
17,0,17,0,,,,,,,,,,0,1,0,36,1,3.08399219778019,1.52074017648695,None,418.58897160000015,None,420.1577817000016,None,420.1560058999994,None,None,420.1577817000016,None,['b'],[0.3857073999988643],422.1057595000002,None,b,2.3857073999988643,0,0,0.5,425.1948258000011,None,None,425.1948258000011,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
18,0,18,0,,,,,,,,,,2,0,0,36,1,4.3560033776911595,0.864984636888209,None,427.00493670000105,None,427.9063205000002,None,427.90573529999983,None,None,427.9063205000002,None,['b'],[0.39587679999749525],429.85575490000156,None,b,2.3958767999974953,0,0,0.47368421052631576,434.2292503000008,None,None,434.2292503000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
19,0,19,0,,,,,,,,,,1,1,1,50,0,2.755584162388418,3.44771472893932,None,436.0390817000007,None,439.52866560000075,None,439.5387395000007,None,None,439.52866560000075,None,['b'],[0.04239359999883163],441.4728724000015,None,b,2.0423935999988316,1,0,0.5,444.24530290000075,None,None,444.24530290000075,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
20,0,20,0,,,,,,,,,,0,2,0,14,1,4.79396941305267,1.1680331695907,None,446.05596760000117,None,447.26235890000135,None,447.2716946999999,None,None,447.26235890000135,None,['z'],[0.6487796999972488],449.2060807000016,None,z,2.648779699997249,1,1,0.5238095238095238,454.0107945,None,None,454.0107945,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
21,0,21,0,,,,,,,,,,1,1,1,50,1,2.9608932424063896,2.46643561303325,None,455.8226244000016,None,458.33925100000124,None,458.33954110000104,None,None,458.33925100000124,None,['b'],[0.2956871999995201],460.2888681000004,None,b,2.29568719999952,1,1,0.5454545454545454,463.2625766000001,None,None,463.2625766000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
22,0,22,0,,,,,,,,,,0,0,1,50,1,2.8965037234387068,2.18142366553255,None,465.0717516000004,None,467.29116330000033,None,467.2895321999995,None,None,467.29116330000033,None,"['b', 'z', 'z', 'z', 'z']","[0.3242633999980171, 0.7802233999973396, 1.4386530999981915, 1.948456999998598, 2.6384900999983074]",469.2393855999999,None,b,2.324263399998017,1,1,0.5652173913043478,472.1471203000001,None,None,472.1471203000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
23,0,23,0,,,,,,,,,,0,0,1,50,1,2.664345149861413,2.13476920223271,None,473.95584410000083,None,476.1466416000003,None,476.15616444000005,None,None,476.1466416000003,None,"['b', 'z']","[0.36046279999754915, 1.5553610999977536]",478.08876820000114,None,b,2.360462799997549,1,1,0.5833333333333334,480.75524920000134,None,None,480.75524920000134,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
24,0,24,0,,,,,,,,,,2,1,0,14,1,4.057112590273469,3.093067417437,None,482.5563381000011,None,485.6757789000003,None,485.6886311999997,None,None,485.6757789000003,None,['b'],[1.0659131999982492],487.63932960000056,None,b,3.065913199998249,0,0,0.56,491.7117223000005,None,None,491.7117223000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
25,0,25,0,,,,,,,,,,1,2,0,36,1,3.8484563543876202,2.99272735241982,None,493.52204920000077,None,496.5650108000009,None,496.5732432399993,None,['z'],496.5650108000009,None,None,,498.5051930000009,None,z,1.6007599999975355,1,1,0.5769230769230769,502.3605849000014,None,None,502.3605849000014,None,[1.6007599999975355],,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
26,0,26,0,,,,,,,,,,2,0,0,36,1,3.9110799880328697,2.68012679460483,None,504.172695700001,None,506.9110714000017,None,506.922784040001,None,None,506.9110714000017,None,['b'],[2.564942199998768],508.8551937000011,None,b,4.564942199998768,0,0,0.5555555555555556,512.7801995000009,None,None,512.7801995000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
27,0,27,0,,,,,,,,,,0,1,0,36,1,4.89745263827305,2.31238477131615,None,514.5897339000003,None,516.9463432000011,None,516.9560383399996,None,None,516.9463432000011,None,['z'],[0.13868089999778022],518.8884608000008,None,z,2.13868089999778,1,1,0.5714285714285714,523.7968372000014,None,None,523.7968372000014,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
