trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,27.340075299999626,None,t,40.39127660000031,27.340075299999626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
,,,,,,,,,,None,67.75100179999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
0,0,0,0,,,,,,,,,,2,1,1,50,1,2.269747919971076,1.90695111352951,None,67.95038620000014,None,70.11589499999991,None,70.11813387999918,None,None,70.11589499999991,None,['b'],[0.5566979000004721],71.85091289999946,None,b,2.556697900000472,1,1,1.0,74.15455239999937,None,None,74.15455239999937,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
1,0,1,0,,,,,,,,,,1,0,1,50,1,4.79396941305267,3.25187717164471,None,75.95041059999949,None,79.3140469,None,79.31773488999916,None,None,79.3140469,None,['b'],[0.5120354000009684],81.20065879999947,None,b,2.5120354000009684,1,1,1.0,86.004997,None,None,86.004997,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
2,0,2,0,,,,,,,,,,2,2,0,36,1,2.0691390047117237,2.79689535976632,None,87.81769529999929,None,90.69153079999978,None,90.70107576999962,None,None,90.69153079999978,None,['z'],[0.6113798000005772],92.61769939999976,None,z,2.6113798000005772,1,1,1.0,94.70784709999953,None,None,94.70784709999953,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
3,0,3,0,,,,,,,,,,0,0,0,36,1,3.75606544973216,2.93253104700369,None,96.5174919000001,None,99.52794919999997,None,99.53448356999942,None,None,99.52794919999997,None,['z'],[0.46339870000065275],101.45058019999942,None,z,2.4633987000006528,1,1,1.0,105.22683329999927,None,None,105.22683329999927,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
4,0,4,0,,,,,,,,,,2,1,1,50,1,4.638307379983409,1.85507739556255,None,107.03411770000002,None,108.93645089999973,None,108.93433764999918,None,None,108.93645089999973,None,['b'],[0.25521610000032524],110.8842482,None,b,2.2552161000003252,1,1,1.0,115.53786630000013,None,None,115.53786630000013,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
5,0,5,0,,,,,,,,,,1,2,0,14,1,3.8484563543876202,0.859460502749755,None,117.35111909999978,None,118.25993589999962,None,118.26775205999893,None,None,118.25993589999962,None,['z'],[0.921638200000416],120.20065129999966,None,z,2.921638200000416,1,1,1.0,124.05909599999995,None,None,124.05909599999995,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
6,0,6,0,,,,,,,,,,0,1,0,14,1,4.18755802100366,2.2926827756088,None,125.8677889999999,None,128.20762899999954,None,128.21798715999904,None,None,128.20762899999954,None,['z'],[0.2171385999999984],130.1515688999998,None,z,2.2171385999999984,1,1,1.0,134.3578736999998,None,None,134.3578736999998,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
7,0,7,0,,,,,,,,,,1,0,1,50,1,2.143942873030107,1.23760834810881,None,136.1684669999995,None,137.45723499999986,None,137.46890785999932,None,None,137.45723499999986,None,['z'],[0.19523400000070978],139.40100299999995,None,z,2.19523400000071,0,0,0.875,141.55786379999972,None,None,141.55786379999972,None,,,,,,,,,,,,,,,,,,,,,CBC_1105,002,1,1,0,10,0.95,2024-06-16_13h39.47.465,MSI_AV_v1,2022.1.1,59.97882747415283,
