trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,2,2,0,36,1,3.3535975560099702,2.68012679460483,None,431.5999452000001,None,434.33853020000015,None,434.35002836000024,None,None,434.33853020000015,None,['z'],[0.3603567000000112],436.2834820000003,None,z,2.360356700000011,1,1,0.7777777777777778,439.65751790000013,None,None,439.65751790000013,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
27,0,27,0,,,,,,,,,,0,1,0,36,1,3.6791616380244196,1.1680331695907,None,441.4668534000002,None,442.68849880000016,None,442.70004076000043,None,None,442.68849880000016,None,['z'],[0.261638700000276],444.63335430000006,None,z,2.261638700000276,1,1,0.7857142857142857,448.3249065,None,None,448.3249065,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
28,0,28,0,,,,,,,,,,2,2,0,36,1,2.260653249681576,2.18142366553255,None,450.133832,None,452.37291589999995,None,452.38334516000043,None,None,452.37291589999995,None,['z'],[1.3773326000000452],454.31611040000007,None,z,3.377332600000045,1,1,0.7931034482758621,456.5897938000003,None,None,456.5897938000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
29,0,29,0,,,,,,,,,,1,1,1,50,0,2.096051788593735,1.92795341140246,None,458.40024889999995,None,460.3729996000002,None,460.3836003600005,None,None,460.3729996000002,None,['b'],[0.7771246000002066],462.31684110000015,None,b,2.7771246000002066,1,0,0.8,464.4235222000002,None,None,464.4235222000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
30,0,30,0,,,,,,,,,,0,0,0,14,1,3.78496720151373,1.93473628110684,None,466.2334969000003,None,468.22269700000015,None,468.2339441600003,None,None,468.22269700000015,None,['z'],[0.26727009999967777],470.16739529999995,None,z,2.2672700999996778,1,1,0.8064516129032258,473.9742129000001,None,None,473.9742129000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
31,0,31,0,,,,,,,,,,1,2,0,14,1,2.070770331037005,2.19546497995913,None,475.7839845000003,None,478.02507860000014,None,478.0331127500003,None,None,478.02507860000014,None,['z'],[0.963861199999883],479.98408530000006,None,z,2.963861199999883,1,1,0.8125,482.07464130000017,None,None,482.07464130000017,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
32,0,32,0,,,,,,,,,,2,0,1,50,1,2.755584162388418,3.25187717164471,None,483.88395100000025,None,487.1927584,None,487.20065016000046,None,None,487.1927584,None,['b'],[0.4805537000002005],489.13390630000004,None,b,2.4805537000002005,1,1,0.8181818181818182,491.90882290000036,None,None,491.90882290000036,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
33,0,33,0,,,,,,,,,,0,1,0,36,1,4.057112590273469,2.9722947448457,None,493.71698719999995,None,496.74018730000034,None,496.7503539600003,None,None,496.74018730000034,None,['z'],[1.241242599999623],498.6832956000003,None,z,3.241242599999623,1,1,0.8235294117647058,502.7581835000001,None,None,502.7581835000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
34,0,34,0,,,,,,,,,,2,0,1,50,1,4.85706913915242,2.41859016397919,None,504.5670104000001,None,507.04207339999994,None,507.0506470600004,None,None,507.04207339999994,None,['b'],[0.46293089999971926],508.9837120000002,None,b,2.4629308999997193,1,1,0.8285714285714286,513.8563471000002,None,None,513.8563471000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
35,0,35,0,,,,,,,,,,0,1,0,36,1,2.269747919971076,2.31238477131615,None,515.6671138000002,None,518.0265074000004,None,518.0341124600001,None,None,518.0265074000004,None,['z'],[0.49034660000006625],519.9673747000002,None,z,2.4903466000000662,1,1,0.8333333333333334,522.2589581000002,None,None,522.2589581000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
36,0,36,0,,,,,,,,,,1,0,0,36,1,2.664345149861413,2.99272735241982,None,524.0674596000003,None,527.1079490000002,None,527.1174578600004,None,None,527.1079490000002,None,['z'],[0.4122196999996959],529.0507200000002,None,z,2.412219699999696,1,1,0.8378378378378378,531.7256753000001,None,None,531.7256753000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
37,0,37,0,,,,,,,,,,0,2,1,50,1,2.143942873030107,2.46471651569721,None,533.5338928000001,None,536.0571454999999,None,536.0674132600003,None,None,536.0571454999999,None,['b'],[0.44878620000008596],538.0008846999999,None,b,2.448786200000086,1,1,0.8421052631578947,540.1590232000003,None,None,540.1590232000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
38,0,38,0,,,,,,,,,,1,0,0,36,1,3.8484563543876202,0.872854310065634,None,541.9675278,None,542.8874476000001,None,542.8839862500004,None,None,542.8874476000001,None,['z'],[1.8998646999998527],544.8340509,None,z,3.8998646999998527,1,1,0.8461538461538461,548.6909817000001,None,None,548.6909817000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
39,0,39,0,,,,,,,,,,0,2,1,50,0,4.08205346963855,3.093067417437,None,550.5002895000002,None,553.6418861000002,None,553.6504296600002,None,None,553.6418861000002,None,['b'],[0.580294700000195],555.5840848000003,None,b,2.580294700000195,1,0,0.85,559.6662699000003,None,None,559.6662699000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
40,0,40,0,,,,,,,,,,1,1,1,50,1,4.18755802100366,1.49618260131236,None,561.4672288000002,None,563.0272260000002,None,563.0341754600005,None,None,563.0272260000002,None,['z'],[1.770756800000072],564.9676524000001,None,z,3.770756800000072,0,0,0.8292682926829268,569.1743087,None,None,569.1743087,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
41,0,41,0,,,,,,,,,,2,0,1,50,1,4.638307379983409,2.93253104700369,None,570.9842341000003,None,573.9722984,None,573.9841545600003,None,None,573.9722984,None,['b'],[0.5178041999997731],575.9176454000003,None,b,2.517804199999773,1,1,0.8333333333333334,580.5740304999999,None,None,580.5740304999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,582.3837882000003,None,,,,,,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.3837446000002,None,None,587.3837446000002,None,,,,,,,,,,,,CBC_1055,1,1,1,1,5,0.90,2024-03-03_09h33.19.069,MSI_AV_v1,2022.1.1,59.982353191630565,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[2, 1, 0]",b,z,0.8571428571428571,0.7142857142857143,0.9285714285714286,31,1,10,,,,,,,,,,,,
