trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,212.01988510000047,None,t,67.80504279999877,212.01988510000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
,,,,,,,,,,None,279.8514756000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
0,0,0,0,,,,,,,,,,2.0,1,0.0,36.0,1.0,2.269747919971076,2.46471651569721,None,280.0518291999997,None,282.5020694000006,282.5020694000006,None,[],['z'],[0.2476070000011532],284.5143640999995,None,z,2.247607000001153,0,0,0.0,286.82357460000094,None,None,286.82357460000094,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
1,0,1,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,2.435645686656409,1.90695111352951,None,288.60150350000004,None,290.48531479999946,290.48531479999946,None,[],['z'],[0.5249124000001757],292.4905204000006,None,z,2.5249124000001757,1,1,0.5,294.9497016000005,None,None,294.9497016000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
2,0,2,0,,,,,,,,,,2.0,1,0.0,36.0,1.0,3.08399219778019,2.19546497995913,None,296.7516422000008,None,298.9184742999998,298.9184742999998,None,[],['z'],[0.6340019999988726],300.9236562999995,None,z,2.6340019999988726,0,0,0.3333333333333333,304.03126800000064,None,None,304.03126800000064,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
3,0,3,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,2.0691390047117237,2.46643561303325,None,305.8349261000003,None,308.2854677999996,308.2854677999996,None,[],['b'],[1.0054185000008147],310.2901271999999,None,b,3.0054185000008147,1,1,0.5,312.37943480000104,None,None,312.37943480000104,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
4,0,4,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,3.19303509672656,2.41859016397919,None,314.1847312000009,None,316.585035700001,316.585035700001,None,[],['z'],[0.5845140000001265],318.5826029,None,z,2.5845140000001265,1,1,0.6,321.7974596999993,None,None,321.7974596999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
5,0,5,0,,,,,,,,,,1.0,1,0.0,14.0,1.0,2.661399651610695,2.13476920223271,None,323.60140330000104,None,325.71852470000084,325.71852470000084,None,[],['z'],[1.0804099999986647],327.7162590000007,None,z,3.0804099999986647,0,0,0.5,330.3958414000008,None,None,330.3958414000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
6,0,6,0,,,,,,,,,,0.0,2,0.0,14.0,1.0,4.79595120749692,0.864984636888209,None,332.2016519000008,None,333.05180240000044,333.05180240000044,None,[],['b'],[1.5336892999985139],335.05114390000017,None,b,3.533689299998514,1,1,0.5714285714285714,339.86348240000007,None,None,339.86348240000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
7,0,7,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,4.75208449114276,2.31238477131615,None,341.66829680000046,None,343.9513519999993,343.9513519999993,None,[],['z'],[0.482341599999927],345.96135590000085,None,z,2.482341599999927,1,1,0.625,350.7287355999997,None,None,350.7287355999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1133,003,2,1,4,14,0.95,2024-10-11_15h17.15.320,MSI_TV_v1,2022.1.1,59.866903898972566,
