trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,68.51779220000026,None,t,58.53050539999913,68.51779220000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
,,,,,,,,,,None,127.07905970000047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
0,0,0,0,,,,,,,,,,1,0,0,36,1,2.0691390047117237,0.864984636888209,None,127.27879470000062,None,128.39668660000007,None,128.39517540000207,None,None,128.39668660000007,None,['b'],[0.8499857000006159],130.1457433000005,None,b,2.849985700000616,1,1,1.0,132.24932680000074,None,None,132.24932680000074,None,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
1,0,1,0,,,,,,,,,,0,1,0,36,1,4.3560033776911595,2.55132244875705,None,134.04558370000086,None,136.69518490000064,None,136.69526450000123,None,None,136.69518490000064,None,['b'],[0.46998359999997774],138.5946967,None,b,2.4699835999999777,1,1,1.0,142.97023010000066,None,None,142.97023010000066,None,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
2,0,2,0,,,,,,,,,,1,2,0,14,1,2.396355568442425,0.886051557539332,None,144.77892060000067,None,145.74615770000037,None,145.7453520000011,None,['z'],145.74615770000037,None,None,,147.6626965000005,None,z,1.4458003999998255,0,0,0.6666666666666666,150.06940470000063,None,None,150.06940470000063,None,[1.4458003999998255],,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
3,0,3,0,,,,,,,,,,2,0,1,50,1,3.78496720151373,2.79689535976632,None,151.87911750000058,None,154.7514811000001,None,154.76227650000084,None,None,154.7514811000001,None,['z'],[0.37149200000021665],156.6787920000006,None,z,2.3714920000002166,1,1,0.75,160.4868763000004,None,None,160.4868763000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
4,0,4,0,,,,,,,,,,0,2,1,50,1,2.0935163976022517,3.25187717164471,None,162.2954281000002,None,165.60134330000074,None,165.61205800000099,None,None,165.60134330000074,None,['z'],[0.9937358000006498],167.54562990000068,None,z,2.9937358000006498,1,1,0.8,169.6539687000004,None,None,169.6539687000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
5,0,5,0,,,,,,,,,,0,2,1,50,1,2.8965037234387068,2.41859016397919,None,171.46249480000006,None,173.98436430000038,None,173.9958615000015,None,['z'],173.98436430000038,None,None,,175.87921040000037,None,z,1.4903990000002523,1,1,0.8333333333333334,178.78703270000005,None,None,178.78703270000005,None,[1.4903990000002523],,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
6,0,6,0,,,,,,,,,,2,0,1,50,1,2.143942873030107,1.93473628110684,None,180.5957010000002,None,182.5830375000005,None,182.59542450000063,None,None,182.5830375000005,None,['z'],[0.4111371999997573],184.52891900000031,None,z,2.4111371999997573,1,1,0.8571428571428571,186.68675240000084,None,None,186.68675240000084,None,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
7,0,7,0,,,,,,,,,,0,1,0,36,1,3.75606544973216,2.19546497995913,None,188.4955490000002,None,190.72093180000047,None,190.72852700000067,None,None,190.72093180000047,None,['b'],[0.49061560000063764],192.67908239999997,None,b,2.4906156000006376,1,1,0.875,196.45282430000043,None,None,196.45282430000043,None,,,,,,,,,,,,,,,,,,,,,,CBC_1046,002,5,2,7,23,0.95,2024-01-27_10h07.22.626,MSI_AV_v1,2022.1.1,59.96814492112745,
